"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.alpha","log2fold_change","Auc"
"83","ANKRD29","hurdle",0.000777640381724194,-1.713293,3.172161,4.885454,0.524
"2130","ZNF142","hurdle",0.281240217552842,2.829492,3.805298,0.975806,0.523
"2105","ZBED6","hurdle",0.344656075020696,4.095301,4.724927,0.629626,0.523
"1942","TMEM249","hurdle",0.0385784410742195,0.5353675,2.7607294,2.2253619,0.523
"1842","STK10","hurdle",0.215808175712337,2.833545,3.868418,1.034873,0.523
"1753","SLC40A1","hurdle",0.144435984570239,6.853847,7.58439,0.730543,0.523
"1633","RXRB","hurdle",0.206369667684547,4.578697,5.176009,0.597312,0.523
"1489","PRH2","hurdle",0.0137973511204455,-0.1053483,1.6422591,1.7476074,0.523
"1257","NEK3","hurdle",0.163701196309348,2.830542,3.726099,0.895557,0.523
"1256","NEK1","hurdle",0.237645373946716,5.142554,5.834786,0.692232000000001,0.523
"1237","NAALADL1","hurdle",0.337316556031906,2.308152,3.050421,0.742269,0.523
"1225","MYO15B","hurdle",0.405274005896631,2.775646,3.381834,0.606188,0.523
"1170","METTL20","hurdle",0.245590194431029,2.361405,3.226378,0.864973,0.523
"1150","MATN2","hurdle",0.404344555387488,4.119499,4.752865,0.633366,0.523
"1148","MARK4","hurdle",0.44573701871491,3.719105,4.283671,0.564566,0.523
"819","GRAMD2","hurdle",0.0186561822718447,0.6033746,2.9325777,2.3292031,0.523
"787","GNE","hurdle",0.0563987775502975,4.608824,5.274228,0.665404,0.523
"676","FASN","hurdle",0.0172591264180698,5.08771,6.298206,1.210496,0.523
"548","DOHH","hurdle",0.211940286540454,4.38914,5.094041,0.704901,0.523
"534","DNAH10","hurdle",0.0254350422908181,-0.7872668,1.1904901,1.9777569,0.523
"517","DGKH","hurdle",0.341793340652081,3.073626,3.862109,0.788483,0.523
"261","C4orf32","hurdle",0.144274745012883,3.28704,4.256099,0.969059,0.523
"248","C1QTNF3","hurdle",0.248596393686352,2.487767,3.920263,1.432496,0.523
"219","C11orf53","hurdle",0.0025853375280713,-0.784347,2.698986,3.483333,0.523
"195","BCORL1","hurdle",0.0278645655131968,2.427445,3.52039,1.092945,0.523
"52","AGMAT","hurdle",0.0457046725767149,1.056544,2.893707,1.837163,0.523
"24","ACMSD","hurdle",0.0107076498069051,-0.5811567,3.0596126,3.6407693,0.523
"2200","ZNF839","hurdle",0.26442483857389,3.255328,3.979709,0.724381,0.522
"2175","ZNF628","hurdle",0.186412826105595,1.818769,3.036994,1.218225,0.522
"2174","ZNF607","hurdle",0.275866944072432,2.65377,3.267147,0.613377,0.522
"2109","ZCCHC18","hurdle",0.117224456733668,2.571897,3.807886,1.235989,0.522
"2070","VPS9D1","hurdle",0.382488812068205,2.353925,3.235792,0.881867,0.522
"2053","USP39","hurdle",0.292050791922931,5.196313,5.700468,0.504155,0.522
"1991","TRPC4","hurdle",0.0972695169375527,1.35813,2.32921,0.97108,0.522
"1815","SPRYD4","hurdle",0.149709158618191,5.195727,5.826182,0.630455,0.522
"1801","SPATA2L","hurdle",0.0715451048126646,3.935827,4.800716,0.864889,0.522
"1741","SLC35D1","hurdle",0.0122083792393743,3.981768,5.175347,1.193579,0.522
"1734","SLC29A2","hurdle",0.21429044160767,3.73532,4.595692,0.860371999999999,0.522
"1689","SH3KBP1","hurdle",0.00822236279064219,6.027169,6.704242,0.677073,0.522
"1619","RPP38","hurdle",0.35461693476114,4.91622,5.475754,0.559534,0.522
"1564","RALGPS2","hurdle",0.350543158749724,3.751267,4.328244,0.576977,0.522
"1516","PTGDR2","hurdle",0.222378043595784,2.818313,3.798175,0.979862,0.522
"1400","PHF8","hurdle",0.241232636684009,4.207943,4.963937,0.755993999999999,0.522
"1177","MICAL1","hurdle",0.53182289069714,4.352305,4.954597,0.602291999999999,0.522
"889","HS3ST3B1","hurdle",0.0348692099029067,0.0907449,2.2232423,2.1324974,0.522
"821","GRAMD4","hurdle",0.383683249432835,3.312297,3.897028,0.584731,0.522
"778","GLTPD2","hurdle",0.0288762607331962,-1.09346,1.777577,2.871037,0.522
"742","GAA","hurdle",0.110038340034579,6.725377,7.433163,0.707786,0.522
"687","FBXO42","hurdle",0.118565428669985,4.178297,4.904897,0.7266,0.522
"654","FAM218A","hurdle",0.0380024113516129,2.030743,2.704508,0.673765,0.522
"567","EFCAB12","hurdle",0.0632985216398353,0.7385589,2.7540371,2.0154782,0.522
"509","DDX42","hurdle",0.00516810845218599,5.46355,5.978947,0.515397,0.522
"500","DBR1","hurdle",0.393616531904253,4.097384,4.606857,0.509473,0.522
"391","CGREF1","hurdle",0.0660915133753321,0.9899517,1.7732208,0.7832691,0.522
"350","CDC42BPG","hurdle",0.323365409032768,2.65511,3.555433,0.900323,0.522
"149","ASTN1","hurdle",0.211764174802275,2.513974,3.512815,0.998841,0.522
"142","ASB16","hurdle",0.0415667693795621,0.5154634,2.3394475,1.8239841,0.522
"141","ASB13","hurdle",0.333327258514885,4.162136,4.980568,0.818432,0.522
"123","ARHGEF26","hurdle",0.140869718242353,2.916186,3.444889,0.528703,0.522
"85","ANKRD53","hurdle",0.0532460050957191,0.3490091,2.4377411,2.088732,0.522
"2187","ZNF726","hurdle",0.0533460808631827,-0.1401426,1.147544,1.2876866,0.521
"2128","ZNF140","hurdle",0.132344313557162,4.22618,5.033456,0.807276,0.521
"2100","XRCC3","hurdle",0.022094379686013,0.4020465,2.7120863,2.3100398,0.521
"2063","VILL","hurdle",0.116924944095186,1.776879,2.878298,1.101419,0.521
"1710","SLC15A4","hurdle",0.753561865783151,4.92974,5.435017,0.505277,0.521
"1664","SEMA4A","hurdle",0.0870632904099723,1.564194,3.094809,1.530615,0.521
"1395","PGP","hurdle",0.519778088155048,4.987088,5.769602,0.782514,0.521
"1302","NRG2","hurdle",0.062103127505874,0.5703969,2.2751524,1.7047555,0.521
"1195","MROH8","hurdle",0.125548278832043,1.654512,2.729228,1.074716,0.521
"1137","MAPK8IP3","hurdle",0.564008826062538,3.941339,4.456652,0.515313,0.521
"1085","LRP2BP","hurdle",0.266872261374645,2.567218,3.320568,0.75335,0.521
"1066","LIG3","hurdle",0.50692845225648,3.456088,4.10901,0.652922,0.521
"1017","KISS1","hurdle",0.0361130407962057,1.279322,3.308286,2.028964,0.521
"868","HIST1H2BG","hurdle",0.00317200470037733,-1.187073,2.676047,3.86312,0.521
"850","HCST","hurdle",0.0458977990879708,0.2980476,2.7829233,2.4848757,0.521
"814","GPRIN1","hurdle",0.209197126572124,3.067643,3.662065,0.594422,0.521
"657","FAM228B","hurdle",0.189314787694467,3.539182,4.325214,0.786032,0.521
"636","FAM155B","hurdle",0.22573833990725,1.667015,3.046024,1.379009,0.521
"600","ERC2","hurdle",0.0790427190727796,0.4087634,2.5407315,2.1319681,0.521
"530","DLL4","hurdle",0.222134998056394,2.248773,3.354865,1.106092,0.521
"506","DDB2","hurdle",0.414681468885569,4.046396,4.550153,0.503757,0.521
"441","COL4A3","hurdle",0.0531936825496967,-0.8654932,1.7858622,2.6513554,0.521
"220","C11orf70","hurdle",0.0321984097085565,2.789062,4.027138,1.238076,0.521
"126","ARID3B","hurdle",0.225753878424205,1.218148,2.154255,0.936107,0.521
"107","APTX","hurdle",0.297897731268001,5.065282,5.689757,0.624475,0.521
"98","APLN","hurdle",0.0228751992095723,-0.2371339,2.5032463,2.7403802,0.521
"35","ADAM22","hurdle",0.0730699944037831,2.484736,3.284997,0.800261,0.521
"21","ACBD6","hurdle",0.0483871409667931,5.405651,5.975354,0.569703000000001,0.521
"2211","ZSWIM5","hurdle",0.357667604668261,2.424644,3.379749,0.955105,0.52
"2188","ZNF747","hurdle",0.391771264838921,2.606009,3.2076,0.601591,0.52
"2185","ZNF718","hurdle",0.317022620614434,2.49716,3.597618,1.100458,0.52
"2158","ZNF550","hurdle",0.314094722855727,2.2937,3.209364,0.915664,0.52
"2132","ZNF223","hurdle",0.102487223761164,1.400675,3.200556,1.799881,0.52
"2114","ZFAND4","hurdle",0.220260384773251,2.617105,3.791437,1.174332,0.52
"2056","UTY","hurdle",0.333572877432102,3.675233,4.305268,0.630035,0.52
"1781","SNAPC4","hurdle",0.104597980484258,2.124834,3.41043,1.285596,0.52
"1737","SLC2A6","hurdle",0.579463576396386,4.091925,4.595622,0.503697,0.52
"1703","SIRT5","hurdle",0.30618013448138,4.008853,4.54423,0.535377,0.52
"1622","RPS6KL1","hurdle",0.421379456002772,2.901824,3.636834,0.73501,0.52
"1449","POLR3G","hurdle",0.163169078505908,1.146388,2.243618,1.09723,0.52
"1420","PKN1","hurdle",0.367782477188124,5.131715,5.753304,0.621589,0.52
"1351","PCDHAC1","hurdle",0.116070298025303,0.7207138,2.1755486,1.4548348,0.52
"1333","PAPLN","hurdle",0.0954304965583182,0.6316766,2.5603867,1.9287101,0.52
"1312","OAZ3","hurdle",0.13373992935678,1.839399,3.301121,1.461722,0.52
"1291","NPAS1","hurdle",0.0450696403259274,0.2642682,2.4411839,2.1769157,0.52
"1281","NLGN2","hurdle",0.574220652511135,3.335729,4.018911,0.683182,0.52
"1266","NGF","hurdle",0.0432961688711131,0.6346042,3.0796647,2.4450605,0.52
"1263","NEURL4","hurdle",0.446621639312551,2.899999,3.634269,0.73427,0.52
"1241","NANP","hurdle",0.264744079744701,3.080222,3.93082,0.850598,0.52
"1239","NAGLU","hurdle",0.0647240626377079,5.583959,6.244574,0.660615,0.52
"1208","MTO1","hurdle",0.122291197140824,4.481882,5.51526,1.033378,0.52
"1187","MOB3C","hurdle",0.140983344671041,3.650035,4.555862,0.905827,0.52
"1028","KLHL25","hurdle",0.333268201591914,2.483647,3.671487,1.18784,0.52
"974","KCND3","hurdle",0.215135398751845,1.712487,3.105577,1.39309,0.52
"946","IRF5","hurdle",0.150825736622269,2.28241,3.505647,1.223237,0.52
"867","HIST1H1E","hurdle",0.619300369307405,3.658589,4.162145,0.503556,0.52
"822","GRAP2","hurdle",0.0379991495339352,0.2106969,2.4986113,2.2879144,0.52
"725","FOXRED2","hurdle",0.483288669770875,4.510834,5.406032,0.895198,0.52
"556","DSCAM","hurdle",0.216357320650196,2.505077,3.821553,1.316476,0.52
"524","DIS3L","hurdle",0.535606285105688,4.280855,5.018501,0.737646,0.52
"401","CHML","hurdle",0.40985180343273,2.592108,3.340099,0.747991,0.52
"321","CCDC62","hurdle",0.000149687876548331,-3.3219281,0.1634319,3.48536,0.52
"309","CCDC121","hurdle",0.227370546043607,1.813977,3.232859,1.418882,0.52
"257","C2orf81","hurdle",0.451560439032696,3.26511,3.861772,0.596662,0.52
"256","C2orf54","hurdle",0.0728793488370432,1.777774,3.567802,1.790028,0.52
"168","ATP8B2","hurdle",0.102106539678906,2.752232,3.590343,0.838111,0.52
"167","ATP8A2","hurdle",0.0428577008240027,0.1870396,2.4276803,2.2406407,0.52
"12","ABHD1","hurdle",0.0975588846206387,-0.3853844,1.1558596,1.541244,0.52
"2182","ZNF703","hurdle",0.24330276020745,4.029553,4.678286,0.648733,0.519
"2151","ZNF497","hurdle",0.288070451821695,1.048252,1.981214,0.932962,0.519
"1921","TM4SF5","hurdle",0.101316943740089,1.91522,3.680929,1.765709,0.519
"1776","SMG9","hurdle",0.287812611077104,4.0354,4.582625,0.547225,0.519
"1709","SLC14A1","hurdle",7.87808762204791e-06,-3.298039,2.480266,5.778305,0.519
"1705","SLC11A1","hurdle",0.220073087089629,1.752854,3.171487,1.418633,0.519
"1630","RTTN","hurdle",0.221647651019529,1.554698,2.591567,1.036869,0.519
"1553","RAB6C","hurdle",0.0580346391312085,-1.9045345,-0.1886513,1.7158832,0.519
"1536","PYY","hurdle",0.0567236020346181,1.394446,2.987021,1.592575,0.519
"1454","PORCN","hurdle",0.275107055147066,3.148837,4.136189,0.987352,0.519
"1354","PCDHB12","hurdle",0.190147481534097,1.878731,2.927252,1.048521,0.519
"1238","NAGA","hurdle",0.312067866079726,4.924006,5.726935,0.802929,0.519
"1130","MAP7D3","hurdle",0.321918175276369,4.215794,4.906489,0.690695,0.519
"1056","LEKR1","hurdle",0.140342399791996,0.5569321,2.6949004,2.1379683,0.519
"1027","KLHL23","hurdle",0.360503478927148,2.806165,3.496617,0.690452,0.519
"1016","KIRREL2","hurdle",0.434293691945653,4.179928,4.813932,0.634004,0.519
"885","HPSE","hurdle",0.127843890905257,1.581879,2.728556,1.146677,0.519
"751","GARNL3","hurdle",0.289437391074319,2.067593,2.943757,0.876164,0.519
"727","FRMPD4","hurdle",0.0656865451217509,-0.1579997,1.450938,1.6089377,0.519
"660","FAM46B","hurdle",0.0277890420839021,-0.08729403,2.86089116,2.94818519,0.519
"651","FAM200A","hurdle",0.541958379663491,3.325506,3.826554,0.501048,0.519
"369","CECR6","hurdle",0.110743464916942,1.241025,2.319079,1.078054,0.519
"260","C3orf67","hurdle",0.0817295410065183,1.353921,2.172213,0.818292,0.519
"154","ATG7","hurdle",0.143730716065658,4.297634,4.857816,0.560181999999999,0.519
"110","AQP4","hurdle",0.0495748031823467,0.691877,2.69165,1.999773,0.519
"66","ALKBH1","hurdle",0.348375130266923,3.463382,4.258307,0.794925,0.519
"31","ACTR5","hurdle",0.42632307937028,2.3685,3.401862,1.033362,0.519
"9","ABCB9","hurdle",0.184804478314097,2.580079,3.534989,0.95491,0.519
"2196","ZNF81","hurdle",0.351171902097933,2.51621,3.221411,0.705201,0.518
"2195","ZNF799","hurdle",0.337635884132269,1.996572,2.661543,0.664971,0.518
"2181","ZNF7","hurdle",0.472042883157666,4.485168,4.987487,0.502319,0.518
"2178","ZNF671","hurdle",0.33492816184665,3.231934,3.95809,0.726156,0.518
"1989","TRMT2B","hurdle",0.513985744501453,3.439537,4.369587,0.93005,0.518
"1941","TMEM231","hurdle",0.0609495209505668,2.494058,3.486252,0.992194,0.518
"1929","TMEM132B","hurdle",0.153495258977066,2.22363,2.927949,0.704319,0.518
"1922","TM6SF1","hurdle",0.176748775722753,-0.6222195,0.465945,1.0881645,0.518
"1738","SLC30A4","hurdle",0.156682648181058,2.39504,3.806573,1.411533,0.518
"1691","SH3TC1","hurdle",0.439213751288928,3.774972,4.281028,0.506056,0.518
"1653","SCML2","hurdle",0.364016611759874,2.227526,2.916713,0.689187,0.518
"1640","SAMSN1","hurdle",0.0128540888755655,0.1078458,3.7285283,3.6206825,0.518
"1605","RNF166","hurdle",0.567792140606462,3.067023,3.604226,0.537203,0.518
"1462","PPM1F","hurdle",0.600753979917987,3.382464,4.092557,0.710093,0.518
"1384","PDZD4","hurdle",0.253352104134433,1.983959,3.183669,1.19971,0.518
"1323","OVGP1","hurdle",0.0446170647293672,0.2255458,0.9025652,0.6770194,0.518
"1277","NKAIN1","hurdle",0.176126956174991,1.642436,3.511371,1.868935,0.518
"1252","NDUFAF5","hurdle",0.24538269220937,3.655131,4.388035,0.732904,0.518
"1249","NCAPD3","hurdle",0.60842396933951,3.469417,4.090256,0.620839,0.518
"1202","MSL2","hurdle",0.569957975476598,4.015581,4.606559,0.590978,0.518
"1183","MMGT1","hurdle",0.415860095613544,5.069335,5.785371,0.716036,0.518
"1114","MAFK","hurdle",0.307069299288275,2.436899,3.329325,0.892426,0.518
"780","GLUL","hurdle",0.0623849464239204,7.484234,8.213952,0.729718000000001,0.518
"774","GLOD5","hurdle",0.226198280447701,1.304942,2.360634,1.055692,0.518
"634","FAM153B","hurdle",0.0134674339970013,-1.245072,1.978632,3.223704,0.518
"628","FAM122B","hurdle",0.511554980414416,3.867247,4.848119,0.980872,0.518
"566","EEF1A2","hurdle",0.744492020900367,3.314444,3.872697,0.558253,0.518
"562","EBF4","hurdle",0.180328308308687,2.621124,3.867419,1.246295,0.518
"448","CORO6","hurdle",0.0944641134014309,0.1056642,2.5213271,2.4156629,0.518
"410","CLASRP","hurdle",0.651198218727185,3.771887,4.359713,0.587826,0.518
"379","CENPT","hurdle",0.115230366413451,4.7201,5.255098,0.534998,0.518
"378","CENPO","hurdle",0.354108075807494,1.730906,2.666663,0.935757,0.518
"262","C5orf34","hurdle",0.108219283825449,0.5099103,2.2418282,1.7319179,0.518
"218","C10orf95","hurdle",0.479461433473248,1.626937,2.426371,0.799434,0.518
"173","ATXN7L1","hurdle",0.138239848094342,2.582244,3.670222,1.087978,0.518
"2194","ZNF791","hurdle",0.360997398728931,5.316678,5.935457,0.618779000000001,0.517
"2193","ZNF79","hurdle",0.389437331720426,2.334145,3.104783,0.770638,0.517
"2171","ZNF594","hurdle",0.344893668885889,2.379182,3.087061,0.707879,0.517
"2093","WNK4","hurdle",0.431141946391059,2.891466,3.625241,0.733775,0.517
"2091","WNK1","hurdle",0.0904723976377762,6.357398,6.92128,0.563882,0.517
"2066","VPRBP","hurdle",0.33541618890359,4.07122,4.659052,0.587832,0.517
"2018","TUBB1","hurdle",0.156270757430012,0.3072102,1.6758672,1.368657,0.517
"1847","STMN4","hurdle",0.030444705789293,0.5282568,4.0095637,3.4813069,0.517
"1822","SRCIN1","hurdle",0.24225153177909,1.244249,2.337311,1.093062,0.517
"1811","SPOCK2","hurdle",0.0176927997777169,-0.6019476,1.6949856,2.2969332,0.517
"1754","SLC45A1","hurdle",0.160476532468883,2.539589,3.697688,1.158099,0.517
"1666","SEMA6C","hurdle",0.169922358936422,0.04783409,1.28759104,1.23975695,0.517
"1593","RHCE","hurdle",0.0400127779756566,0.1842242,1.0357281,0.8515039,0.517
"1355","PCDHB13","hurdle",0.187700157941543,1.092344,2.686704,1.59436,0.517
"1346","PCDHA2","hurdle",0.12693489091728,-0.8697795,1.2394453,2.1092248,0.517
"1089","LRRC16B","hurdle",0.339276629142847,0.6920342,1.9625902,1.270556,0.517
"1068","LIMD1","hurdle",0.604759863734061,2.615284,3.174925,0.559641,0.517
"1026","KLHL15","hurdle",0.63637482177454,3.254482,3.791457,0.536975,0.517
"975","KCNG3","hurdle",0.0525697518896826,1.148205,2.529239,1.381034,0.517
"891","HS6ST2","hurdle",0.160515271235932,1.453156,2.138011,0.684855,0.517
"856","HELZ2","hurdle",0.338110666352337,2.873689,3.625919,0.75223,0.517
"722","FOXJ2","hurdle",0.470367941497843,4.252912,4.794933,0.542021,0.517
"345","CD83","hurdle",0.177325237126495,1.873502,3.229889,1.356387,0.517
"224","C12orf66","hurdle",0.370383880907453,2.955564,3.536975,0.581411,0.517
"163","ATP6V0C","hurdle",0.000917818603512965,6.943167,7.902049,0.958882,0.517
"139","ASAH2","hurdle",0.0121515373023406,-0.1974022,1.5038005,1.7012027,0.517
"74","AMIGO1","hurdle",0.370392878890013,2.131015,3.062175,0.93116,0.517
"2173","ZNF606","hurdle",0.747263981932077,3.614409,4.231264,0.616855,0.516
"2135","ZNF285","hurdle",0.319931760018511,1.402012,2.141301,0.739289,0.516
"2134","ZNF280B","hurdle",0.660663470244059,3.578979,4.234406,0.655427,0.516
"2126","ZNF134","hurdle",0.203178256226995,3.079418,4.022627,0.943209,0.516
"2086","WDR76","hurdle",0.322604395556796,1.723176,2.739516,1.01634,0.516
"2044","UPF1","hurdle",0.0340977838146702,4.160883,4.987976,0.827093,0.516
"2027","TYSND1","hurdle",0.0986036824512869,3.42849,4.272318,0.843828,0.516
"1988","TRMT10B","hurdle",0.393341118120494,3.764148,4.374398,0.61025,0.516
"1912","TIGD4","hurdle",0.302428189263819,1.119131,2.36082,1.241689,0.516
"1874","TAF5","hurdle",0.292223312955376,2.261551,3.008245,0.746694,0.516
"1854","SUMO4","hurdle",0.215724433837971,0.2226085,0.7661783,0.5435698,0.516
"1736","SLC2A4","hurdle",0.52331705882975,-1.857554,-1.343162,0.514392,0.516
"1599","RINT1","hurdle",0.726367704121248,3.897556,4.658394,0.760838000000001,0.516
"1510","PRSS27","hurdle",0.0859732619306181,-0.3864334,1.9396027,2.3260361,0.516
"1443","POC5","hurdle",0.639337198444207,2.951725,3.514015,0.56229,0.516
"1426","PLCD4","hurdle",0.12571808813821,0.173949,2.727909,2.55396,0.516
"1399","PHF21B","hurdle",0.207529483174218,1.470117,2.006421,0.536304,0.516
"1373","PDE1B","hurdle",0.265673643814581,1.722371,2.277959,0.555588,0.516
"1220","MYL7","hurdle",0.0277432833052245,0.01284765,0.70073633,0.68788868,0.516
"1199","MSANTD2","hurdle",0.225064557353621,1.842693,3.102321,1.259628,0.516
"1192","MPP3","hurdle",0.288920682483197,2.389658,3.252777,0.863119,0.516
"1143","MARCH10","hurdle",0.0854599185580232,-0.04528348,2.21776891,2.26305239,0.516
"1142","MARCH1","hurdle",0.395185471698027,2.1045,2.965012,0.860512,0.516
"1078","LNPEP","hurdle",0.629929189540176,4.434694,4.950429,0.515734999999999,0.516
"1011","KIF13A","hurdle",0.0392798505554818,4.667582,5.272952,0.60537,0.516
"1006","KIAA1328","hurdle",0.450667725760014,2.365481,3.126927,0.761446,0.516
"994","KDM5D","hurdle",0.542862239317626,4.407576,4.946059,0.538483,0.516
"978","KCNJ2","hurdle",0.12201941302291,2.887684,3.709111,0.821427,0.516
"941","IQCC","hurdle",0.190800079603183,1.738273,3.49797,1.759697,0.516
"933","INCENP","hurdle",0.21528704535933,0.2354402,1.6993028,1.4638626,0.516
"897","HSDL2","hurdle",0.406552561454874,5.11047,5.643397,0.532927,0.516
"870","HKR1","hurdle",0.732755002107358,4.534464,5.17356,0.639096,0.516
"767","GIN1","hurdle",0.492788392289511,3.383206,3.944927,0.561721,0.516
"701","FGF9","hurdle",0.329670137625217,2.876717,3.605863,0.729146,0.516
"274","C8orf44","hurdle",0.504650703397629,2.889929,3.51039,0.620461,0.516
"184","B4GALNT4","hurdle",0.0925174730936309,0.8866881,2.6176549,1.7309668,0.516
"146","ASPDH","hurdle",0.487069628235982,3.374284,3.954524,0.58024,0.516
"136","ARTN","hurdle",0.0311869287187719,-0.9828431,1.9539019,2.936745,0.516
"117","ARHGAP19-SLIT1","hurdle",0.215862903648627,0.9825005,2.3096075,1.327107,0.516
"5","ABCA2","hurdle",0.349288860522185,4.929847,5.484231,0.554384000000001,0.516
"2206","ZPBP","hurdle",0.0991778189672082,0.1071315,2.4194319,2.3123004,0.515
"2205","ZP3","hurdle",0.207500231990045,0.3588642,1.9930418,1.6341776,0.515
"2199","ZNF836","hurdle",0.655465116620549,2.626692,3.224902,0.59821,0.515
"2142","ZNF414","hurdle",0.331312904567803,3.873608,4.430247,0.556639,0.515
"2021","TUBGCP3","hurdle",0.554891879695593,3.520729,4.057072,0.536343,0.515
"1913","TIGD5","hurdle",0.254595182658097,2.622696,3.464022,0.841326,0.515
"1805","SPHKAP","hurdle",0.00119817761615866,-3.3219281,0.4182364,3.7401645,0.515
"1720","SLC22A4","hurdle",0.428263586818842,2.053788,2.970113,0.916325,0.515
"1700","SIMC1","hurdle",0.328704634465612,3.132582,3.800115,0.667533,0.515
"1680","SFXN1","hurdle",0.241311183756682,5.654913,6.183619,0.528706000000001,0.515
"1556","RAC3","hurdle",0.127452165512532,4.23011,4.855529,0.625419,0.515
"1347","PCDHA3","hurdle",0.267612131086017,0.6601451,1.2597226,0.5995775,0.515
"1259","NELL2","hurdle",0.123503082436543,0.883857,2.802234,1.918377,0.515
"1141","MARC1","hurdle",0.0490863047960093,0.09353038,2.28990438,2.196374,0.515
"1091","LRRC29","hurdle",0.129682706763663,3.472939,4.152895,0.679956,0.515
"1057","LEMD3","hurdle",0.191121547624424,4.131284,4.667135,0.535851,0.515
"999","KIAA0513","hurdle",0.111889049086992,3.260094,4.147022,0.886928,0.515
"937","INPP5J","hurdle",0.434212121471532,2.131044,2.805047,0.674003,0.515
"786","GNB3","hurdle",0.284333448472689,1.495672,2.503745,1.008073,0.515
"768","GIT1","hurdle",0.102893545904506,4.338318,5.114872,0.776554,0.515
"658","FAM41C","hurdle",0.0478397952793724,-0.7080698,2.3275327,3.0356025,0.515
"591","EPG5","hurdle",0.0737677537121099,4.42496,5.193441,0.768481,0.515
"516","DGCR8","hurdle",0.0189729288995024,4.011133,4.934971,0.923838,0.515
"365","CDNF","hurdle",0.311551035768339,1.332821,2.205552,0.872731,0.515
"330","CCNB3","hurdle",0.125297118941731,0.2238792,1.7543217,1.5304425,0.515
"328","CCL15","hurdle",0.0320761859555917,-0.9926254,1.8950522,2.8876776,0.515
"305","CARNS1","hurdle",0.117696094502606,-0.3314783,1.9382458,2.2697241,0.515
"264","C5orf49","hurdle",0.38198164816585,2.599387,3.341156,0.741769,0.515
"242","C1orf194","hurdle",0.0458144077364347,0.1359745,1.6396355,1.503661,0.515
"238","C1orf141","hurdle",0.00119817761615869,-3.321928,1.293974,4.615902,0.515
"202","BOC","hurdle",0.310630018122959,2.378183,3.119434,0.741251,0.515
"144","ASGR1","hurdle",0.205688398838094,1.707471,3.171954,1.464483,0.515
"46","ADORA2A","hurdle",0.00119817761615866,-3.321928,1.284451,4.606379,0.515
"28","ACOXL","hurdle",0.115436452320248,0.02695139,1.60415613,1.57720474,0.515
"2207","ZPLD1","hurdle",0.159187124641093,0.5322307,2.5163072,1.9840765,0.514
"2180","ZNF682","hurdle",0.399574304750476,2.246698,3.177891,0.931193,0.514
"2163","ZNF574","hurdle",0.45790734109468,3.979496,4.741059,0.761563,0.514
"2122","ZIM2","hurdle",0.17525432173715,-0.3607478,2.1754243,2.5361721,0.514
"2110","ZCWPW2","hurdle",0.514804007622665,1.549358,2.671921,1.122563,0.514
"2099","XPO4","hurdle",0.39037434496241,3.507304,4.054511,0.547207,0.514
"2003","TTBK1","hurdle",0.159476026269933,0.1704421,1.7625079,1.5920658,0.514
"1985","TRIM55","hurdle",0.0247039440635289,-2.516828,1.30016,3.816988,0.514
"1937","TMEM178A","hurdle",0.0090697310834227,-0.3762202,3.2787112,3.6549314,0.514
"1715","SLC17A5","hurdle",0.0067949398553929,5.926292,6.486417,0.560125,0.514
"1628","RTN4RL1","hurdle",0.486461158461783,1.700192,2.548425,0.848233,0.514
"1153","MBNL3","hurdle",0.279252278439513,2.40246,3.317356,0.914896,0.514
"1052","LDHD","hurdle",0.693584620981041,3.101889,3.808799,0.70691,0.514
"957","IZUMO2","hurdle",0.0141828577980158,-1.337159,1.256838,2.593997,0.514
"921","IGSF21","hurdle",0.303343885115661,2.389449,3.553245,1.163796,0.514
"806","GPR183","hurdle",0.165116290114033,-0.995968,0.6730544,1.6690224,0.514
"773","GLIPR2","hurdle",0.387160373496882,4.070874,4.82749,0.756616,0.514
"706","FIGNL1","hurdle",0.343938381657635,2.599251,3.375206,0.775955,0.514
"573","EGR4","hurdle",0.536506059198762,3.385715,3.937242,0.551527,0.514
"549","DPF1","hurdle",0.075600617918051,0.1415389,2.4677825,2.3262436,0.514
"349","CDC14A","hurdle",0.481139449820792,1.825309,2.521837,0.696528,0.514
"271","C7orf61","hurdle",0.0225888719892391,-2.424267,1.57638,4.000647,0.514
"101","APOBEC3D","hurdle",0.148471628942095,0.2941964,1.7412876,1.4470912,0.514
"55","AIF1","hurdle",0.0400138591936762,0.5587906,1.7418729,1.1830823,0.514
"26","ACOT13","hurdle",0.0391820465855619,5.969185,6.588081,0.618895999999999,0.514
"2210","ZSWIM1","hurdle",0.667621857719869,2.48102,3.178616,0.697596,0.513
"2184","ZNF713","hurdle",0.289137557744848,0.8457815,1.9324944,1.0867129,0.513
"2176","ZNF662","hurdle",0.693512136172991,3.621809,4.125774,0.503965,0.513
"2159","ZNF559","hurdle",0.809402121628038,4.358588,4.937114,0.578526,0.513
"2156","ZNF530","hurdle",0.411350986428281,1.153135,2.54378,1.390645,0.513
"2080","WASF1","hurdle",0.602468534870809,3.937479,4.525955,0.588476,0.513
"2046","UPRT","hurdle",0.639295140770746,3.920261,4.443116,0.522855,0.513
"2045","UPK3A","hurdle",0.0976952808265699,-0.3677938,1.950079,2.3178728,0.513
"1986","TRIM59","hurdle",0.33484821524448,2.990429,3.685717,0.695288,0.513
