"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.duct","log2fold_change","Auc"
"1760","SHANK2","hurdle",8.28031882363846e-07,1.880907,4.756964,2.876057,0.571
"1755","SH2D4A","hurdle",0.000791790114199901,3.965001,5.43045,1.465449,0.571
"609","EFNA4","hurdle",4.29061249700751e-05,2.772121,4.855626,2.083505,0.571
"523","CYS1","hurdle",3.49143410538238e-06,1.678916,4.594565,2.915649,0.571
"453","CLUH","hurdle",0.000162704072480378,4.14989,5.643503,1.493613,0.571
"201","BAMBI","hurdle",0.00321909870232354,4.261574,5.486295,1.224721,0.571
"67","AHNAK","hurdle",0.00610222031527178,4.94422,6.009554,1.065334,0.571
"26","ACSS1","hurdle",2.08189175433311e-05,2.771465,5.213637,2.442172,0.571
"2064","TNC","hurdle",8.30471783086463e-07,2.605971,5.602852,2.996881,0.57
"1715","SDC3","hurdle",1.25629152709559e-06,2.016567,4.586073,2.569506,0.57
"1565","PTPN14","hurdle",0.00052871081989032,3.235643,5.04876,1.813117,0.57
"1428","PDE5A","hurdle",2.29267397844358e-05,3.73175,5.430454,1.698704,0.57
"1363","NUAK2","hurdle",1.0120236617325e-05,3.337012,5.307537,1.970525,0.57
"1333","NME5","hurdle",0.00258677093233557,3.872945,5.039774,1.166829,0.57
"1302","NDUFA10","hurdle",0.00262971410586821,6.936481,7.494988,0.558507000000001,0.57
"1264","MUC15","hurdle",2.23877863277705e-09,-0.08143461,4.32567282,4.40710743,0.57
"900","HLA-F","hurdle",0.000250484638014001,5.299,6.349391,1.050391,0.57
"666","EXT1","hurdle",0.00563794289436075,4.71847,5.926914,1.208444,0.57
"432","CLCN2","hurdle",2.47405231412563e-06,1.447443,4.625052,3.177609,0.57
"317","CASP10","hurdle",5.35992686817423e-05,2.562268,4.607422,2.045154,0.57
"293","CA2","hurdle",4.50417443783493e-07,1.578647,5.519996,3.941349,0.57
"281","C6orf132","hurdle",0.000208818540935932,3.193288,5.175751,1.982463,0.57
"157","ARSD","hurdle",0.000875756780365574,5.497603,6.318154,0.820551,0.57
"1929","SULT1C2","hurdle",5.06046165399031e-12,-2.998809,4.177125,7.175934,0.569
"1476","PKP3","hurdle",0.0189147995937201,5.412748,6.135983,0.723235000000001,0.569
"1453","PFKP","hurdle",0.0129928127912497,6.481997,7.169001,0.687004,0.569
"1415","PBX1","hurdle",0.010424401971093,6.018253,6.667209,0.648956,0.569
"1402","PAH","hurdle",1.54924610962827e-08,1.600386,5.364569,3.764183,0.569
"824","GMDS","hurdle",0.0071346396505395,5.439352,6.181116,0.741764,0.569
"540","DECR1","hurdle",0.00147481119768435,6.784075,7.507253,0.723178000000001,0.569
"385","CDS1","hurdle",0.000567632822354209,4.795681,5.979873,1.184192,0.569
"308","CAPN5","hurdle",0.000146417006925065,3.608919,5.44482,1.835901,0.569
"184","ATP8B1","hurdle",0.000534444817620724,4.739975,6.114267,1.374292,0.569
"2194","VGLL4","hurdle",0.0122977831748779,5.425306,6.194872,0.769566,0.568
"2081","TNKS1BP1","hurdle",0.000443114072006065,4.52942,5.678431,1.149011,0.568
"2011","TLR3","hurdle",1.95377760274011e-05,2.560126,4.860064,2.299938,0.568
"1958","TAPBPL","hurdle",0.00613117492384308,5.316606,6.208328,0.891722,0.568
"1654","RIPK2","hurdle",0.000411211949204888,4.428294,5.777854,1.34956,0.568
"1648","RHOU","hurdle",0.000321633919710975,2.565791,4.381747,1.815956,0.568
"1424","PCSK5","hurdle",6.17657617742312e-05,3.232635,5.252502,2.019867,0.568
"1266","MUM1L1","hurdle",3.33133597744773e-05,2.203278,4.809365,2.606087,0.568
"1247","MPST","hurdle",0.0567665544728828,5.727462,6.31975,0.592288,0.568
"418","CHMP4B","hurdle",0.103674027722534,6.45747,6.975982,0.518512,0.568
"1827","SLC45A4","hurdle",3.0734653052604e-06,2.130874,4.98062,2.849746,0.567
"1665","RNF19A","hurdle",5.85527832803754e-05,5.706849,7.103028,1.396179,0.567
"932","ICAM1","hurdle",0.0034463010467125,5.013548,6.37836,1.364812,0.567
"63","AGR3","hurdle",4.80233832402199e-06,2.739327,5.02311,2.283783,0.567
"2199","VPS37B","hurdle",0.00199517522933699,4.483456,5.829818,1.346362,0.566
"2140","TTC39C","hurdle",0.00633546587761248,4.541483,5.656907,1.115424,0.566
"1683","RTF1","hurdle",0.00224760543900849,6.098295,6.755702,0.657407,0.566
"1533","PRDM16","hurdle",5.19650950402475e-05,2.519324,4.762876,2.243552,0.566
"1376","ODF3B","hurdle",0.00821844048244581,4.152897,4.999456,0.846559,0.566
"845","GRHL2","hurdle",0.000111205794202623,2.525826,4.281957,1.756131,0.566
"492","CTNNB1","hurdle",0.00749002256781252,7.678202,8.436891,0.758689,0.566
"491","CTNNAL1","hurdle",0.0262914986376469,4.708368,5.680148,0.97178,0.566
"172","ATP10B","hurdle",0.00267877798398691,4.992133,6.19574,1.203607,0.566
"115","AP1M2","hurdle",0.0116119930726523,6.551914,7.128824,0.57691,0.566
"2193","VGLL3","hurdle",1.5333349793717e-06,1.085917,3.966585,2.880668,0.565
"2128","TSPAN14","hurdle",0.000300280097644676,4.881418,6.243765,1.362347,0.565
"2107","TRIM38","hurdle",0.0033437983458053,4.754033,5.672144,0.918111000000001,0.565
"2043","TMEM27","hurdle",0.000804807007594721,5.018468,6.529983,1.511515,0.565
"1582","RAB11FIP4","hurdle",0.00261144731120212,4.193472,5.450979,1.257507,0.565
"1526","PPP1R14B","hurdle",0.000512967222122736,5.290171,6.16275,0.872579,0.565
"1276","MYO1E","hurdle",0.00443008640943079,4.240154,5.47233,1.232176,0.565
"1064","KLHL5","hurdle",0.0161193956746836,5.168373,5.928204,0.759831,0.565
"953","IGSF3","hurdle",4.87688026548812e-07,0.3072486,4.543093,4.2358444,0.565
"827","GNG12","hurdle",0.0220004132657418,6.92259,7.458921,0.536331000000001,0.565
"681","FAM150B","hurdle",1.73348484938784e-07,0.7446475,4.3330234,3.5883759,0.565
"542","DEGS2","hurdle",0.000308124631539215,3.430495,5.064886,1.634391,0.565
"528","DBN1","hurdle",0.000634459433338446,5.089489,6.082747,0.993258,0.565
"376","CDH3","hurdle",4.70881254993203e-07,1.669679,4.955598,3.285919,0.565
"2169","UNC5CL","hurdle",0.0174494712259078,5.266565,6.025715,0.75915,0.564
"1964","TBC1D16","hurdle",0.00745799016427651,4.512457,5.797456,1.284999,0.564
"1739","SERPINB2","hurdle",6.0537579641732e-06,2.993826,5.958299,2.964473,0.564
"1438","PDP1","hurdle",0.00072098186329719,4.919973,6.316992,1.397019,0.564
"1390","OSMR","hurdle",0.00601472516580674,4.617445,5.556459,0.939014,0.564
"1379","ONECUT1","hurdle",0.000190693054479199,3.282123,4.839899,1.557776,0.564
"1038","KIAA1671","hurdle",0.00140877664197075,4.438729,5.666314,1.227585,0.564
"743","FHIT","hurdle",0.00422033153925688,3.691635,5.073822,1.382187,0.564
"586","DTX4","hurdle",4.99499844274583e-05,3.519024,5.332356,1.813332,0.564
"571","DOCK5","hurdle",0.000122852903461127,2.07095,4.15922,2.08827,0.564
"412","CHD3","hurdle",0.022182375703798,6.261588,6.771518,0.509930000000001,0.564
"35","ADAM28","hurdle",1.48840368750045e-07,0.6719278,4.0036621,3.3317343,0.564
"2185","VASN","hurdle",0.00130554739023654,4.398483,5.850287,1.451804,0.563
"1974","TEAD2","hurdle",0.00496764224633054,3.650297,4.976791,1.326494,0.563
"1845","SMARCD3","hurdle",0.0370379918081103,4.746219,5.602007,0.855788,0.563
"1584","RAB25","hurdle",0.000302188509652538,6.439243,7.236995,0.797752,0.563
"1491","PLEKHA4","hurdle",0.000530542609545029,3.156908,4.968387,1.811479,0.563
"1340","NOTCH2NL","hurdle",7.99738771533014e-05,3.303958,5.31493,2.010972,0.563
"1223","MID1","hurdle",0.00193080269977164,3.443379,4.853674,1.410295,0.563
"1104","LASP1","hurdle",0.00272283871506764,6.486293,7.131436,0.645143,0.563
"739","FGFR4","hurdle",0.000104464086786864,3.309533,5.351372,2.041839,0.563
"176","ATP13A4","hurdle",1.38822969797862e-06,0.920019,4.236469,3.31645,0.563
"1764","SHISA2","hurdle",2.40424125305846e-09,-0.649129,4.978352,5.627481,0.562
"1729","SEMA4A","hurdle",1.79828514498466e-06,0.883089,3.927916,3.044827,0.562
"1347","NPY1R","hurdle",2.90315603130445e-08,0.2479134,4.3066168,4.0587034,0.562
"1196","MCL1","hurdle",0.00303260102776076,6.969643,7.499446,0.529803,0.562
"1037","KIAA1551","hurdle",0.00447590087207127,4.630687,5.749368,1.118681,0.562
"865","HADHB","hurdle",0.0019435681252851,7.385134,8.002697,0.617563,0.562
"761","FOXO3","hurdle",0.00384577993574777,5.377971,6.260089,0.882118,0.562
"662","EVPL","hurdle",1.41517878631077e-08,-1.508608,3.837889,5.346497,0.562
"310","CAPS","hurdle",0.000684687610277166,3.916354,5.464403,1.548049,0.562
"2104","TRIM22","hurdle",0.000702602993842518,3.16081,4.804468,1.643658,0.561
"1939","SYNGR1","hurdle",0.00309191481454851,5.295322,6.203186,0.907864,0.561
"1876","SPATS2L","hurdle",5.89343095225719e-05,7.394285,8.00247,0.608185000000001,0.561
"1835","SLCO3A1","hurdle",0.00396297021520871,3.553683,4.92796,1.374277,0.561
"1569","PTPRH","hurdle",0.00969046296745458,4.27867,4.950434,0.671764,0.561
"1359","NT5C","hurdle",0.0239368857913443,5.737201,6.327668,0.590467,0.561
"1289","NAPG","hurdle",0.000235456323066062,5.647507,6.612986,0.965479,0.561
"1025","KCTD1","hurdle",0.000472225432223378,2.748442,4.53596,1.787518,0.561
"822","GLUL","hurdle",0.032975547248614,7.51084,8.113366,0.602525999999999,0.561
"641","EPN3","hurdle",0.000521360420376759,3.041777,4.528355,1.486578,0.561
"456","CMPK1","hurdle",0.000308191012922217,7.437307,8.118098,0.680791,0.561
"156","ARRDC1","hurdle",0.00500849095279215,5.119903,5.879032,0.759129,0.561
"2099","TRAP1","hurdle",0.0129391311856142,6.100117,6.769389,0.669272,0.56
"1775","SLC12A7","hurdle",0.000802796958324485,5.249148,6.243401,0.994253,0.56
"1481","PLCD1","hurdle",0.000612505558665218,2.791791,4.61049,1.818699,0.56
"1470","PIK3IP1","hurdle",0.00192139870188119,4.762157,6.153696,1.391539,0.56
"1381","OPN3","hurdle",0.000932727276121933,2.796784,4.5705,1.773716,0.56
"1160","LYN","hurdle",0.0167842729210436,4.787889,5.454651,0.666762,0.56
"483","CRYZ","hurdle",0.0855351232752465,6.634902,7.189736,0.554834,0.56
"323","CAT","hurdle",0.000635537549924198,6.375645,7.192845,0.817200000000001,0.56
"269","C1QTNF1","hurdle",4.83585118186187e-05,1.645199,3.919436,2.274237,0.56
"215","BCO2","hurdle",0.00049715322088485,2.589599,4.445004,1.855405,0.56
"2341","ZNF83","hurdle",0.022081608713891,5.421136,6.108358,0.687222,0.559
"2228","WNT7A","hurdle",1.85584155788616e-10,-3.145836,4.843621,7.989457,0.559
"2149","TTYH3","hurdle",0.00107048945687957,3.613903,5.233518,1.619615,0.559
"2009","TLR1","hurdle",4.13474382241659e-05,1.447243,4.221087,2.773844,0.559
"1591","RALB","hurdle",0.00699975710613922,5.018448,5.824644,0.806196,0.559
"1538","PRKCI","hurdle",0.00272357426120939,4.043374,5.184555,1.141181,0.559
"980","IQCE","hurdle",0.00543395313533799,4.40324,5.596637,1.193397,0.559
"964","IL1R1","hurdle",0.0240015104400185,4.301066,5.314689,1.013623,0.559
"883","HIP1R","hurdle",0.00404187827271592,4.910113,5.889256,0.979143,0.559
"644","EPS8L1","hurdle",0.000537018292392338,2.433235,4.500934,2.067699,0.559
"187","AUTS2","hurdle",0.00260458037751995,2.771284,4.503413,1.732129,0.559
"134","ARF6","hurdle",0.000613635589502265,6.247758,6.753423,0.505665,0.559
"2012","TLR5","hurdle",0.000121687636067851,2.263588,4.475968,2.21238,0.558
"1268","MX1","hurdle",0.0185469149123536,4.493216,5.090854,0.597638,0.558
"1234","MMP24","hurdle",7.16168306560016e-05,1.934732,4.380089,2.445357,0.558
"1127","LMTK3","hurdle",2.51113632078778e-07,0.8497322,4.8218853,3.9721531,0.558
"1073","KRT15","hurdle",4.05236589832559e-08,-0.6629116,4.1474965,4.8104081,0.558
"788","GALNT1","hurdle",5.95174264287345e-08,5.552577,6.808641,1.256064,0.558
"499","CTTNBP2NL","hurdle",0.00116173498957043,4.45677,5.782838,1.326068,0.558
"431","CLCF1","hurdle",0.000394195182707854,1.95396,4.044555,2.090595,0.558
"391","CECR5","hurdle",0.0215414133008551,5.491874,6.185492,0.693618,0.558
"289","C9orf116","hurdle",0.00282864020336428,3.025501,4.578838,1.553337,0.558
"84","ALDH4A1","hurdle",0.00017337932245894,2.130898,4.379196,2.248298,0.558
"2219","WEE1","hurdle",0.0209111409133471,4.109407,5.003504,0.894097,0.557
"2182","VANGL1","hurdle",0.00262447653151871,3.158987,4.724058,1.565071,0.557
"2147","TTN","hurdle",0.000265415145652396,4.878335,6.312727,1.434392,0.557
"2075","TNFRSF21","hurdle",0.00164263671913239,7.358443,8.09745,0.739007,0.557
"1509","PNPLA2","hurdle",0.0241096060169298,6.135176,6.713354,0.578177999999999,0.557
"1297","NCK2","hurdle",0.0105855752954516,4.198336,5.640621,1.442285,0.557
"997","ITGB8","hurdle",0.00582249918070413,4.679761,6.299064,1.619303,0.557
"946","IFT140","hurdle",0.00119362951737022,2.830978,4.554846,1.723868,0.557
"902","HMGCS1","hurdle",0.033317975655399,5.721053,6.53127,0.810217,0.557
"809","GGT6","hurdle",0.0172108476218271,4.523068,5.320803,0.797734999999999,0.557
"698","FAM60A","hurdle",0.00017921875949208,5.04271,5.963574,0.920864000000001,0.557
"417","CHMP3","hurdle",0.120220914376261,5.898952,6.463115,0.564163,0.557
"223","BLNK","hurdle",0.000169565465071588,2.311022,4.415693,2.104671,0.557
"162","ASAP2","hurdle",0.000822737075509333,3.398095,4.849889,1.451794,0.557
"39","ADAMTS10","hurdle",0.000539974322880831,2.320427,4.26639,1.945963,0.557
"2","AAMDC","hurdle",0.00464767757366042,5.341224,6.085137,0.743912999999999,0.557
"2168","UNC13D","hurdle",2.99780694435208e-07,-0.6863214,4.4642151,5.1505365,0.556
"2058","TMPRSS2","hurdle",0.0102476853326352,5.285722,5.807696,0.521974,0.556
"1192","MBOAT1","hurdle",0.000354253971337909,3.283221,5.146182,1.862961,0.556
"844","GRB7","hurdle",0.0020228945580874,3.276211,5.005623,1.729412,0.556
"787","GALK1","hurdle",0.0259968696054469,4.278454,5.071256,0.792802,0.556
"556","DHRS7B","hurdle",0.0357395177948588,5.232094,6.064448,0.832354,0.556
"450","CLN3","hurdle",0.100752971676149,5.407134,6.120949,0.713815,0.556
"265","C1orf186","hurdle",1.1037925077209e-07,-1.780415,3.159287,4.939702,0.556
"34","ADAM15","hurdle",0.0271886188208074,4.77362,5.69678,0.92316,0.556
"1770","SIPA1L1","hurdle",0.070730930868657,4.984859,5.523865,0.539006,0.555
"1749","SFTA2","hurdle",1.77791904491669e-05,1.061303,4.122772,3.061469,0.555
"1525","PPP1R13L","hurdle",0.00197519336167306,3.567536,5.13853,1.570994,0.555
"1349","NR0B2","hurdle",0.0416950619518949,5.357907,6.356771,0.998864,0.555
"1335","NMI","hurdle",0.0304789309860871,4.546248,5.576563,1.030315,0.555
"1217","MFSD10","hurdle",0.00171915556904479,6.391491,7.048519,0.657028,0.555
"1043","KIF1C","hurdle",0.000241710470114476,4.984257,5.920697,0.936439999999999,0.555
"1001","ITPR2","hurdle",0.0527591975281305,4.690853,5.410688,0.719835000000001,0.555
"975","INSIG2","hurdle",0.00122228859757357,5.401751,6.480601,1.07885,0.555
"673","FAIM","hurdle",0.00885513875635329,4.854608,5.664781,0.810173,0.555
"605","EFEMP1","hurdle",0.00614071234049135,4.202898,5.342678,1.13978,0.555
"577","DPCD","hurdle",0.000357747946573143,5.037986,6.088357,1.050371,0.555
"572","DOK4","hurdle",0.0114249617987444,5.000394,5.868923,0.868529,0.555
"406","CGN","hurdle",0.021946041763454,4.828415,5.368965,0.540550000000001,0.555
"80","ALDH1L1","hurdle",1.22148348792935e-05,1.237002,4.429086,3.192084,0.555
"2224","WNK2","hurdle",0.0224778475070267,4.045192,5.391849,1.346657,0.554
"2059","TMPRSS3","hurdle",1.84232914754372e-07,0.298611,4.823365,4.524754,0.554
"1901","ST6GAL1","hurdle",0.00224274469099722,3.555752,4.972667,1.416915,0.554
"1878","SPECC1","hurdle",0.0186780940147053,4.417561,5.252626,0.835065,0.554
"1661","RND1","hurdle",0.0129476100690116,4.500566,5.281154,0.780588,0.554
"1619","RBPMS","hurdle",0.000711863800034384,5.768278,7.009779,1.241501,0.554
"1417","PCCA","hurdle",0.023691451119636,4.544586,5.660861,1.116275,0.554
"1405","PALMD","hurdle",2.76149542571994e-09,-3.169082,3.640215,6.809297,0.554
"1296","NCK1","hurdle",0.00193489079036117,5.203364,6.205154,1.00179,0.554
"1220","MICA","hurdle",0.00740366646080009,3.193201,4.401061,1.20786,0.554
"1119","LIF","hurdle",0.000269877164132571,3.967346,5.673606,1.70626,0.554
"876","HEG1","hurdle",0.00326749033398211,3.635343,5.163419,1.528076,0.554
"613","EGFR","hurdle",0.0100484195264605,3.706129,5.199889,1.49376,0.554
"595","DZIP1","hurdle",0.00519790919581093,4.302551,5.492343,1.189792,0.554
"320","CASP7","hurdle",0.0499422855603088,5.039442,5.681939,0.642497,0.554
"191","B3GALT5","hurdle",0.000349239313345233,1.692055,4.288536,2.596481,0.554
"146","ARHGEF40","hurdle",0.0776347650537929,5.166466,5.709044,0.542578,0.554
"118","AP5B1","hurdle",0.0175585064156892,4.124567,5.054878,0.930311000000001,0.554
"2328","ZNF704","hurdle",0.00891261176501521,3.349883,4.802076,1.452193,0.553
"2200","VSIG10","hurdle",0.00196723366831234,3.751305,5.341901,1.590596,0.553
"1956","TAP1","hurdle",0.0664654391981477,4.768456,5.467181,0.698725,0.553
"1919","STS","hurdle",0.000189985138117619,3.130349,4.952598,1.822249,0.553
"1799","SLC25A10","hurdle",0.0257995915635427,4.36809,5.299848,0.931758,0.553
"1471","PIK3R1","hurdle",0.0563510579864225,4.399495,5.094888,0.695393,0.553
"1330","NLN","hurdle",0.0101209976970295,3.688432,5.020728,1.332296,0.553
"1311","NEK6","hurdle",0.00216389704946301,4.525012,5.085355,0.560343,0.553
"1221","MICALL1","hurdle",0.00489975389718295,2.771133,4.280273,1.50914,0.553
"826","GMPR","hurdle",0.00207737278967965,3.113778,4.776091,1.662313,0.553
"727","FERMT1","hurdle",2.78652199310379e-06,0.6316789,4.6260912,3.9944123,0.553
"651","ERRFI1","hurdle",0.0415128452861721,5.682987,6.214982,0.531995,0.553
"588","DUSP10","hurdle",0.00386606600665894,3.494873,5.141151,1.646278,0.553
"459","CNFN","hurdle",0.000889483185524096,2.539477,4.610734,2.071257,0.553
"425","CISH","hurdle",0.00188556456862882,3.23889,4.683129,1.444239,0.553
"267","C1orf35","hurdle",0.136121266230068,4.954921,5.634517,0.679596,0.553
"182","ATP5C1","hurdle",0.00179828415814487,7.937093,8.512622,0.575529,0.553
"2123","TSFM","hurdle",0.0297488045293382,5.258186,5.892242,0.634056,0.552
"2032","TMEM140","hurdle",0.000147654121588537,3.821171,5.753147,1.931976,0.552
"2027","TMEM127","hurdle",0.00317142271200305,5.335883,6.099792,0.763909,0.552
"2023","TMEM106B","hurdle",0.000395220772262717,6.50455,7.206537,0.701987,0.552
"1766","SHMT1","hurdle",0.00113261919348819,2.122611,4.484698,2.362087,0.552
"1605","RASGRP3","hurdle",0.00199251279548255,4.053622,4.700986,0.647364,0.552
"1285","NACC2","hurdle",0.0307813476016259,3.416708,4.5709,1.154192,0.552
"951","IGFBP3","hurdle",0.00923478190322661,6.917635,8.095025,1.17739,0.552
"922","HSPA1A","hurdle",0.00222450645428158,5.509917,6.25097,0.741053,0.552
"601","EDEM2","hurdle",0.0461131333611498,5.732053,6.385551,0.653498000000001,0.552
"192","B3GNT3","hurdle",0.00171282676952535,3.129378,5.080543,1.951165,0.552
"2287","ZNF326","hurdle",0.000604107892678921,5.156838,6.015924,0.859086,0.551
"2239","YWHAZ","hurdle",8.83632786921264e-05,7.859122,8.47129,0.612168,0.551
"2098","TRAF4","hurdle",0.00391901537535047,5.477473,6.196232,0.718759,0.551
"1889","SPTLC2","hurdle",0.00633115194912224,4.438129,5.52285,1.084721,0.551
"1666","RNF207","hurdle",0.0148184931465406,3.248464,4.516837,1.268373,0.551
"1474","PIWIL4","hurdle",0.000344058490083591,1.319219,3.711792,2.392573,0.551
"1411","PARP14","hurdle",0.00225040424712783,5.265053,6.252796,0.987743,0.551
"1279","MYO5C","hurdle",0.0514764718833355,4.112063,4.869855,0.757792,0.551
"1237","MNS1","hurdle",0.000736133014859854,1.583124,3.972841,2.389717,0.551
"892","HLA-DOA","hurdle",1.81365133298623e-08,-1.16301,4.746808,5.909818,0.551
"768","FRK","hurdle",0.0177060178896053,3.634248,4.947646,1.313398,0.551
"723","FDFT1","hurdle",0.0291780764059904,8.00577,8.658813,0.653043,0.551
"209","BCL2","hurdle",2.76517070607283e-06,0.2131747,3.423864,3.2106893,0.551
"206","BCL10","hurdle",0.000329385477314374,5.044331,6.128561,1.08423,0.551
"171","ATOH8","hurdle",0.000559583270726591,1.905649,4.462862,2.557213,0.551
"101","ANKRD9","hurdle",0.0162582658784105,2.917434,4.531771,1.614337,0.551
"2113","TRIOBP","hurdle",0.105575061789434,4.889699,5.792498,0.902799,0.55
"2046","TMEM44","hurdle",0.00115579134910957,2.357523,4.438706,2.081183,0.55
"2035","TMEM170A","hurdle",0.0406955960562547,4.323859,5.285624,0.961765000000001,0.55
"1954","TANC1","hurdle",0.00256531107703639,3.223425,4.745112,1.521687,0.55
"1936","SYK","hurdle",0.0519531244123285,4.126564,5.061003,0.934439,0.55
"1788","SLC19A3","hurdle",5.64782764139964e-05,1.361434,3.922238,2.560804,0.55
"1751","SGK223","hurdle",0.00147063826139323,2.237096,4.256179,2.019083,0.55
"1740","SERPINB8","hurdle",0.0465941217914389,3.968046,5.206596,1.23855,0.55
"1705","SBSPON","hurdle",1.7096140820781e-09,-0.986864,4.350563,5.337427,0.55
"1259","MTAP","hurdle",0.037828122897155,4.643677,5.476608,0.832930999999999,0.55
"1180","MAP3K1","hurdle",0.00813709526781217,4.039778,5.223987,1.184209,0.55
"850","GSDMD","hurdle",0.0634385974554529,5.714073,6.286142,0.572069,0.55
"837","GPR143","hurdle",0.000778039066622581,1.411253,3.717769,2.306516,0.55
"835","GPR108","hurdle",0.0341814790273421,6.438333,7.089222,0.650889,0.55
"813","GIPC1","hurdle",0.00541826385981823,5.702006,6.549569,0.847563,0.55
"631","EPB41L1","hurdle",6.63487537150945e-06,4.346999,5.819689,1.47269,0.55
"573","DOK5","hurdle",0.000160623759761809,1.63456,4.400151,2.765591,0.55
"2318","ZNF664","hurdle",0.0382450339554547,5.621741,6.147775,0.526034,0.549
"2271","ZNF217","hurdle",0.027259617181484,4.041347,5.089136,1.047789,0.549
"1808","SLC2A1","hurdle",0.00599586839662461,5.121512,5.813717,0.692205,0.549
"1321","NFKBIE","hurdle",0.00582924165849644,3.392671,4.883998,1.491327,0.549
"1246","MPRIP","hurdle",0.00570540193450206,4.978402,5.93907,0.960668,0.549
"939","IFI44","hurdle",0.0110028307832927,2.852447,4.127314,1.274867,0.549
"555","DHRS7","hurdle",0.00947323430362417,7.509495,8.070208,0.560712999999999,0.549
"398","CEP70","hurdle",0.0756282352279286,4.496442,5.467615,0.971173,0.549
"332","CCDC141","hurdle",0.000331893372394354,1.539029,4.220674,2.681645,0.549
"263","C1orf116","hurdle",0.00518726875597449,5.33191,6.613694,1.281784,0.549
"221","BID","hurdle",0.00795457145881508,5.508061,6.278237,0.770176,0.549
"104","ANXA1","hurdle",0.00749390183951047,5.505233,7.577477,2.072244,0.549
"5","ABHD11","hurdle",0.0152707856160836,5.392349,6.026975,0.634626,0.549
"2156","UBAC2","hurdle",0.00609716103982629,5.87365,6.497247,0.623597,0.548
"2038","TMEM185B","hurdle",0.042371677605679,4.142303,5.237126,1.094823,0.548
"2015","TM4SF18","hurdle",2.85759456199843e-07,-0.326093,3.951945,4.278038,0.548
"1805","SLC27A1","hurdle",0.00477102291606042,3.290575,4.945033,1.654458,0.548
"1786","SLC19A1","hurdle",0.000328889503236899,1.472809,3.181933,1.709124,0.548
"1757","SH3BP4","hurdle",0.0631831968473139,5.136577,5.886896,0.750319,0.548
"1684","RTKN","hurdle",0.0164002886989931,4.807934,5.561276,0.753342,0.548
"1629","RELB","hurdle",0.00508432139112556,3.795467,5.140253,1.344786,0.548
"1607","RASSF4","hurdle",0.005874733572716,4.74355,5.845582,1.102032,0.548
"1592","RALBP1","hurdle",0.0151966833233141,5.668219,6.293141,0.624922000000001,0.548
"1543","PROCR","hurdle",0.0954314941898467,4.790461,5.581232,0.790771,0.548
"1418","PCCB","hurdle",0.0524106038819608,5.678995,6.481577,0.802582,0.548
"1316","NFE2L3","hurdle",0.000238703122228293,1.596145,4.095465,2.49932,0.548
"1255","MSI2","hurdle",0.00743724960482773,4.362543,5.463764,1.101221,0.548
"1219","MGAT4B","hurdle",0.0456368027729779,6.080407,6.737601,0.657194,0.548
"1171","MAGOH","hurdle",0.00434946748215443,4.742642,5.560956,0.818314,0.548
"1118","LGR4","hurdle",0.0951999526948218,5.018424,5.759774,0.74135,0.548
"1027","KCTD3","hurdle",0.0699769588181493,5.215463,5.899246,0.683783,0.548
"907","HNF4G","hurdle",0.00406047887841164,2.24747,3.794333,1.546863,0.548
"839","GPR39","hurdle",0.00043141314955933,0.7743568,3.3324467,2.5580899,0.548
"748","FLNB","hurdle",0.00614359805110872,6.478222,6.999727,0.521505,0.548
"709","FANK1","hurdle",0.00127805961216087,1.711311,4.016502,2.305191,0.548
"677","FAM129B","hurdle",0.00719301420355308,4.915079,6.113079,1.198,0.548
"562","DLG3","hurdle",0.0825182992527647,4.470577,5.376511,0.905934,0.548
"538","DDX52","hurdle",0.044611273426544,5.542162,6.070676,0.528513999999999,0.548
"482","CRYAB","hurdle",0.020169123939349,3.524881,5.330535,1.805654,0.548
"174","ATP11B","hurdle",0.0131315051761098,4.921126,5.843837,0.922711,0.548
"77","ALDH1A2","hurdle",3.35423811533069e-07,-1.035844,3.885314,4.921158,0.548
"2086","TP53","hurdle",0.0709249566055899,4.351788,5.116578,0.76479,0.547
"2003","TJP1","hurdle",0.0699734897362733,6.181797,6.684587,0.502789999999999,0.547
"1892","SQRDL","hurdle",0.132894222182671,5.794931,6.320575,0.525644,0.547
"1814","SLC35F2","hurdle",0.00460851424693659,2.955596,4.629664,1.674068,0.547
"1731","SEMA7A","hurdle",0.000726445647734978,1.826845,4.056431,2.229586,0.547
"1434","PDIA5","hurdle",0.0251736907961041,4.780066,5.655958,0.875892,0.547
"1342","NOV","hurdle",8.29711313028935e-05,1.203173,4.539036,3.335863,0.547
"638","EPHB4","hurdle",0.00280229589007706,2.871202,4.51909,1.647888,0.547
"316","CASP1","hurdle",0.00948735313398988,2.754716,4.15655,1.401834,0.547
"205","BBC3","hurdle",0.0361582390022619,3.33162,4.329359,0.997739,0.547
"195","B4GALT4","hurdle",0.0169967784161994,5.264698,6.015505,0.750807,0.547
"175","ATP13A3","hurdle",0.00572881330180794,6.083256,6.897565,0.814309,0.547
"103","ANO6","hurdle",0.134557369571553,5.494121,6.173995,0.679874,0.547
"1680","RRAS2","hurdle",0.000255956731732285,4.057602,5.353513,1.295911,0.546
"1503","PLS3","hurdle",0.0139022771325534,6.053133,6.627945,0.574812000000001,0.546
"1262","MTMR12","hurdle",0.0838495341396429,4.278174,5.348974,1.0708,0.546
