"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.stellate","log2fold_change","Auc"
"4080","TSPAN4","hurdle",1.272656407419e-09,4.479201,6.274251,1.79505,0.649
"3957","TMEM243","hurdle",8.19080972944483e-10,4.190763,6.00189,1.811127,0.649
"3944","TMEM189","hurdle",9.05500376864094e-09,4.736332,6.196081,1.459749,0.649
"3195","RNF7","hurdle",8.11011367153166e-06,7.403785,8.052133,0.648347999999999,0.649
"2954","PSMC4","hurdle",9.59291745360573e-06,6.600179,7.476737,0.876558,0.649
"2861","PPIA","hurdle",2.59464417249058e-06,8.841983,9.626433,0.78445,0.649
"1733","HSPA9","hurdle",7.11951456600624e-07,7.411981,8.422575,1.010594,0.649
"1685","HMG20B","hurdle",4.55104190771442e-08,5.68464,6.754842,1.070202,0.649
"1252","EXT1","hurdle",2.73298466374458e-09,4.683531,6.013866,1.330335,0.649
"842","COX6B1","hurdle",1.85587439815839e-06,8.820678,9.373937,0.553259000000001,0.649
"820","COLEC11","hurdle",3.86485447493985e-26,-2.02495,5.828797,7.853747,0.649
"405","BZW2","hurdle",8.69291478528949e-09,4.591976,5.97618,1.384204,0.649
"240","ARL4A","hurdle",3.51908775880649e-08,4.707107,6.022366,1.315259,0.649
"106","AIFM2","hurdle",1.07167541360983e-09,4.440235,6.019838,1.579603,0.649
"3635","SNX6","hurdle",3.54296525021268e-08,5.920846,6.705336,0.78449,0.648
"3237","RPL34","hurdle",1.81780714432256e-05,10.97924,11.71932,0.740079999999999,0.648
"3228","RPL26L1","hurdle",3.85117730879161e-07,5.28288,6.107769,0.824889000000001,0.648
"3218","RPL17","hurdle",2.93371610460612e-07,6.694277,7.203033,0.508756,0.648
"2950","PSMB9","hurdle",3.52824417698934e-08,5.283768,6.610078,1.32631,0.648
"1266","FADS1","hurdle",2.04194805822112e-08,6.372081,7.935204,1.563123,0.648
"1166","ELK3","hurdle",1.88938442283644e-15,1.630608,4.967483,3.336875,0.648
"1027","DNAJC15","hurdle",8.68655064773642e-06,6.85975,7.573221,0.713471,0.648
"638","CDC42EP2","hurdle",2.52449933852463e-12,4.086965,5.948509,1.861544,0.648
"3593","SMG6","hurdle",2.72111554616588e-10,4.070593,5.939679,1.869086,0.647
"3537","SLC2A3","hurdle",5.63553394940269e-16,2.27291,6.061142,3.788232,0.647
"3388","SEC24D","hurdle",9.08972805778068e-07,6.704993,7.685541,0.980548,0.647
"3255","RPL9","hurdle",0.000404007742571986,10.05789,10.78695,0.729059999999999,0.647
"3158","RILPL2","hurdle",7.05375744211324e-11,3.52959,5.735209,2.205619,0.647
"2436","NFIC","hurdle",2.33032432266706e-06,6.980808,7.873186,0.892378,0.647
"2216","MFSD12","hurdle",2.64148794512202e-08,4.979233,6.159837,1.180604,0.647
"2114","MAGED2","hurdle",6.41554530608445e-06,8.252992,8.807187,0.554195,0.647
"1765","IFITM10","hurdle",2.45925241420345e-14,2.606417,5.676941,3.070524,0.647
"1558","GOLGA7","hurdle",1.46352846105059e-07,6.004606,6.904147,0.899541,0.647
"1347","FBLIM1","hurdle",8.35951320381956e-08,5.907204,6.750352,0.843148,0.647
"1157","EIF4H","hurdle",4.82025006630122e-07,6.745343,7.401498,0.656155,0.647
"1136","EIF2A","hurdle",1.09759228703674e-06,6.207111,7.130348,0.923236999999999,0.647
"868","CRK","hurdle",1.37443736819293e-07,5.887167,6.874968,0.987801,0.647
"827","COMT","hurdle",9.59829392132379e-06,7.356875,8.05296,0.696085000000001,0.647
"4137","UBE2D2","hurdle",6.46693998524873e-06,7.077321,7.801701,0.72438,0.646
"3723","STARD4","hurdle",3.08772945679441e-10,3.724104,5.646803,1.922699,0.646
"3098","RBPMS","hurdle",4.15607860836662e-08,5.818599,6.873604,1.055005,0.646
"2758","PKIG","hurdle",4.11525646889889e-07,5.632969,6.775242,1.142273,0.646
"2724","PHF23","hurdle",1.16123098265841e-07,4.964278,6.224865,1.260587,0.646
"2623","PARK7","hurdle",7.8549895413335e-05,8.705383,9.263615,0.558232,0.646
"2417","NDUFS5","hurdle",6.71093239325188e-06,8.618972,9.16062,0.541648,0.646
"2315","MRPS5","hurdle",3.17517690296493e-08,6.236221,6.884771,0.64855,0.646
"2272","MPDZ","hurdle",5.82470363840222e-10,4.195641,5.964224,1.768583,0.646
"1951","KIRREL","hurdle",1.22326012554891e-19,1.127679,5.317463,4.189784,0.646
"1814","IMPDH1","hurdle",6.16657075036768e-10,4.075323,5.934348,1.859025,0.646
"1695","HNRNPAB","hurdle",7.55036669693751e-07,5.967965,7.10986,1.141895,0.646
"1350","FBLN5","hurdle",1.38032196219053e-15,2.281379,5.653005,3.371626,0.646
"1265","FADD","hurdle",1.01305497652297e-08,4.728056,6.276004,1.547948,0.646
"1211","EPN1","hurdle",1.21288838157477e-06,5.46574,6.409207,0.943467,0.646
"958","DCUN1D5","hurdle",2.57162610939053e-07,5.032163,6.131473,1.09931,0.646
"335","BAZ1A","hurdle",1.95857788260736e-08,5.208581,6.127948,0.919367,0.646
"313","AXL","hurdle",3.47991938810774e-35,1.544304,7.081465,5.537161,0.646
"4399","ZNF532","hurdle",7.75351631363481e-12,2.883306,5.351494,2.468188,0.645
"4272","XPOT","hurdle",1.01448038192749e-11,4.490602,6.451233,1.960631,0.645
"3691","SRPRB","hurdle",7.01984078551451e-07,6.717911,7.516291,0.79838,0.645
"3470","SHFM1","hurdle",2.22556495961607e-05,7.563744,8.166089,0.602345,0.645
"3208","RPF2","hurdle",5.22685772492541e-07,4.923913,6.175379,1.251466,0.645
"3009","PYCARD","hurdle",1.31477533450428e-08,4.570691,5.947237,1.376546,0.645
"2938","PSAT1","hurdle",9.59265256342377e-11,4.496962,6.790509,2.293547,0.645
"2795","PLOD3","hurdle",1.87221627451487e-07,6.035402,7.148571,1.113169,0.645
"2720","PHF11","hurdle",3.53445370920536e-08,4.477784,6.064834,1.58705,0.645
"2607","PAICS","hurdle",4.83880667827502e-08,5.064994,6.430756,1.365762,0.645
"1680","HLX","hurdle",9.92868449045193e-28,-3.321928,4.951223,8.273151,0.645
"314","AZI2","hurdle",4.64092685879539e-07,5.628824,6.734436,1.105612,0.645
"253","ARPC4","hurdle",2.91014401922124e-06,7.029169,7.692849,0.66368,0.645
"241","ARL4C","hurdle",2.20404677421024e-11,4.230173,6.505283,2.27511,0.645
"35","ACOT9","hurdle",1.00915690440257e-08,4.745179,6.114535,1.369356,0.645
"4405","ZNF580","hurdle",1.68381894403081e-06,6.282875,7.042864,0.759989,0.644
"3755","SUMO2","hurdle",6.03568997633841e-06,7.922845,8.730034,0.807189,0.644
"3184","RNF168","hurdle",3.87182044606958e-09,4.248828,5.925307,1.676479,0.644
"2867","PPM1G","hurdle",8.97458124004401e-06,6.513797,7.274354,0.760556999999999,0.644
"2769","PLBD2","hurdle",1.29604302957717e-07,5.692022,7.221837,1.529815,0.644
"2691","PEAK1","hurdle",1.60775560821082e-09,3.951621,6.104568,2.152947,0.644
"2380","NANS","hurdle",1.0424994004496e-06,5.763254,6.563601,0.800347,0.644
"2153","MARK3","hurdle",2.77205962228072e-06,5.768453,6.734258,0.965805,0.644
"2081","LSM1","hurdle",4.96490292405229e-06,6.045008,6.835428,0.79042,0.644
"942","DAXX","hurdle",9.09659568325426e-08,5.411562,6.410628,0.999066,0.644
"482","C4orf3","hurdle",3.62865059141407e-05,7.684965,8.348529,0.663563999999999,0.644
"3620","SNRPB","hurdle",1.21083247746518e-05,7.180258,7.937696,0.757438,0.643
"3438","SFT2D1","hurdle",8.76345658637071e-07,6.000442,6.880291,0.879849,0.643
"3431","SF3B2","hurdle",1.40027557172641e-05,7.40868,8.002077,0.593397,0.643
"3068","RASA3","hurdle",7.5871769173662e-21,0.265922,5.322174,5.056252,0.643
"2410","NDUFAF2","hurdle",2.4371076289345e-06,5.27137,6.2959,1.02453,0.643
"2155","MARVELD1","hurdle",5.00347121264861e-12,3.371453,5.70593,2.334477,0.643
"1476","GALK1","hurdle",9.48408389202969e-11,4.058109,5.647096,1.588987,0.643
"1114","EFEMP1","hurdle",4.77355777180192e-14,3.382601,6.467591,3.08499,0.643
"1068","DTX1","hurdle",6.68790128539112e-20,0.6017898,4.853998,4.2522082,0.643
"729","CHST12","hurdle",2.11835843407429e-08,4.396227,5.854444,1.458217,0.643
"293","ATP5O","hurdle",1.50669092861111e-05,8.354004,8.897858,0.543854,0.643
"4453","ZP1","hurdle",6.85293359563719e-22,0.7158046,6.3259362,5.6101316,0.642
"4299","ZBTB38","hurdle",1.82823539299018e-06,6.250112,7.316049,1.065937,0.642
"3894","TIMM50","hurdle",7.53113114339434e-07,5.334418,6.373199,1.038781,0.642
"3584","SLFN11","hurdle",7.51041215785666e-23,-0.8675254,5.0210512,5.8885766,0.642
"3528","SLC25A5","hurdle",2.20381147802949e-05,8.538166,9.106677,0.568510999999999,0.642
"3083","RBFA","hurdle",8.47654671224433e-09,4.624079,5.784553,1.160474,0.642
"2440","NHP2","hurdle",1.15574893912471e-06,6.668027,7.322555,0.654528,0.642
"2312","MRPS25","hurdle",1.0766671851508e-06,5.556201,6.585443,1.029242,0.642
"1815","IMPDH2","hurdle",5.82026660032285e-06,6.580785,7.470388,0.889603,0.642
"1694","HNRNPA1","hurdle",0.000227723031541649,8.366304,9.340088,0.973784,0.642
"1165","ELK1","hurdle",2.97934103225017e-13,3.348658,5.965446,2.616788,0.642
"823","COMMD1","hurdle",4.55835291123155e-07,5.802898,6.649881,0.846983,0.642
"171","ANXA5","hurdle",2.26456176801754e-07,8.646248,9.787985,1.141737,0.642
"4406","ZNF581","hurdle",1.38895652249014e-08,4.577661,6.125874,1.548213,0.641
"4085","TSR3","hurdle",6.96504916205543e-07,5.263024,6.396154,1.13313,0.641
"3058","RAP1A","hurdle",1.04693840062471e-05,5.60385,6.574676,0.970826,0.641
"2833","POLR2E","hurdle",2.13599413008521e-07,7.047094,7.571661,0.524566999999999,0.641
"2690","PEA15","hurdle",8.5119117524635e-08,5.833922,7.222304,1.388382,0.641
"2608","PAIP1","hurdle",1.65966742773946e-06,5.797965,6.652842,0.854877,0.641
"2602","PABPN1","hurdle",5.19856280001933e-08,4.402427,5.761603,1.359176,0.641
"2570","ORAI2","hurdle",2.63209861287976e-07,5.887059,6.678372,0.791313000000001,0.641
"2374","NAB2","hurdle",3.02596659326603e-13,2.851435,5.644249,2.792814,0.641
"1488","GAS2L1","hurdle",1.23100601878412e-10,3.603853,5.451055,1.847202,0.641
"1412","FLYWCH2","hurdle",4.48338769027583e-07,5.267323,6.429997,1.162674,0.641
"1330","FAM92A1","hurdle",1.82435398373711e-07,4.821939,5.953016,1.131077,0.641
"971","DDX18","hurdle",3.06030532805117e-06,6.094031,6.827586,0.733555,0.641
"409","C11orf31","hurdle",1.82696042398942e-05,7.329917,8.008174,0.678257,0.641
"153","ANGPTL4","hurdle",1.14575851636223e-09,6.028111,8.668916,2.640805,0.641
"4166","UFD1L","hurdle",8.34239542241165e-07,6.002393,6.989136,0.986743000000001,0.64
"4111","TWIST2","hurdle",9.43936197764471e-27,-3.321928,4.595652,7.91758,0.64
"3917","TMED1","hurdle",2.0781627295077e-07,6.363703,7.017343,0.65364,0.64
"3622","SNRPC","hurdle",8.25279204267296e-06,6.681626,7.367807,0.686181,0.64
"3169","RNASEH1","hurdle",1.7807543889234e-07,4.79705,6.029701,1.232651,0.64
"2920","PRPF31","hurdle",3.72172223872334e-07,5.833314,6.728284,0.894970000000001,0.64
"2696","PES1","hurdle",8.96984543625574e-07,5.261956,6.24153,0.979574,0.64
"2197","METAP2","hurdle",6.86340129138881e-06,6.507485,7.170887,0.663402,0.64
"1740","HTRA2","hurdle",8.60893567987076e-08,4.336141,5.53041,1.194269,0.64
"1647","HDDC2","hurdle",1.62770828696675e-06,6.373873,7.280198,0.906325000000001,0.64
"577","CCDC59","hurdle",2.75249337169635e-07,4.76329,6.016938,1.253648,0.64
"328","BANF1","hurdle",3.63620695531399e-05,6.629806,7.403751,0.773944999999999,0.64
"6","AAMDC","hurdle",8.17095940021981e-08,5.311111,6.18814,0.877028999999999,0.64
"3904","TIPRL","hurdle",3.93429717024192e-06,5.683408,6.71336,1.029952,0.639
"3748","STX8","hurdle",7.77528060967057e-07,5.426412,6.486331,1.059919,0.639
"3740","STRA6","hurdle",2.46221525136793e-24,-2.003438,6.753876,8.757314,0.639
"3682","SQLE","hurdle",1.23342824431365e-06,6.512419,7.322444,0.810025,0.639
"3660","SPATS2","hurdle",4.1836870740185e-07,5.284348,6.163741,0.879393,0.639
"2966","PSMG2","hurdle",1.6911167816848e-06,6.109488,6.921038,0.81155,0.639
"2905","PRKAR2A","hurdle",2.32800813723843e-07,4.998026,6.119267,1.121241,0.639
"2806","PML","hurdle",1.41276372406026e-07,4.820353,6.007278,1.186925,0.639
"2681","PDIA4","hurdle",7.39095282031498e-06,7.287581,7.958057,0.670476,0.639
"2185","MEF2C","hurdle",2.19332304975104e-19,0.76496,5.51194,4.74698,0.639
"2003","LBH","hurdle",1.66691073088973e-08,5.485877,7.035078,1.549201,0.639
"1385","FGFR1OP2","hurdle",1.01267916016068e-06,4.831453,6.158645,1.327192,0.639
"1226","ESD","hurdle",7.53231997267704e-06,7.099323,7.849067,0.749744,0.639
"964","DDIT3","hurdle",2.84772645581226e-07,6.140539,7.631991,1.491452,0.639
"853","CPSF3L","hurdle",1.25480273963592e-07,5.553153,6.478081,0.924928,0.639
"787","CNRIP1","hurdle",4.81663906531777e-09,4.361169,5.969895,1.608726,0.639
"4147","UBE2S","hurdle",2.89203204025764e-08,3.764961,5.67501,1.910049,0.638
"3826","TCEA1","hurdle",8.08524324990521e-06,6.320838,7.140355,0.819516999999999,0.638
"3233","RPL3","hurdle",6.89429487355252e-05,11.58981,12.14304,0.553229999999999,0.638
"3225","RPL23A","hurdle",2.87360463953025e-05,9.759892,10.4918,0.731907999999999,0.638
"2955","PSMC5","hurdle",2.21904100567413e-05,7.173203,7.774582,0.601379,0.638
"2947","PSMB4","hurdle",4.56015282254874e-07,7.468447,8.031773,0.563325999999999,0.638
"2685","PDLIM4","hurdle",2.979044202545e-06,6.115644,7.28238,1.166736,0.638
"2568","OPTN","hurdle",7.90382999989784e-06,6.931396,7.67938,0.747984,0.638
"2500","NR3C1","hurdle",4.44117743908822e-06,6.071535,7.222649,1.151114,0.638
"2211","MFAP4","hurdle",6.43915993099653e-23,-0.2895199,7.5355986,7.8251185,0.638
"1479","GALNT1","hurdle",4.68641220812986e-08,5.677901,6.435348,0.757447,0.638
"1453","FUS","hurdle",4.77797161972139e-06,6.985281,7.585796,0.600515000000001,0.638
"878","CSGALNACT2","hurdle",5.45280321006513e-11,3.672935,6.143634,2.470699,0.638
"798","COL14A1","hurdle",8.88444968473332e-23,-1.357586,6.187977,7.545563,0.638
"609","CCT8","hurdle",7.21581400463748e-05,7.295073,7.942578,0.647505,0.638
"580","CCDC71L","hurdle",1.04827667696747e-10,3.004265,5.41141,2.407145,0.638
"383","BOP1","hurdle",1.34001525682497e-10,3.369147,5.2599,1.890753,0.638
"203","ARFRP1","hurdle",1.24912864462588e-07,4.690286,6.090987,1.400701,0.638
"167","ANO6","hurdle",1.27034710294849e-08,5.251186,6.834315,1.583129,0.638
"3840","TCIRG1","hurdle",3.64963785251967e-09,5.671222,6.454767,0.783545,0.637
"3449","SH2B3","hurdle",4.50112850915593e-13,3.553814,6.218633,2.664819,0.637
"3389","SEC31A","hurdle",6.6640843745085e-07,7.630526,8.508826,0.878299999999999,0.637
"3066","RARS","hurdle",3.2378168851343e-06,6.39076,7.108103,0.717343,0.637
"2662","PDAP1","hurdle",1.93984021242264e-05,6.361493,7.179491,0.817997999999999,0.637
"2042","LMF2","hurdle",5.60636530697235e-07,5.970093,6.943529,0.973436,0.637
"1863","ITGBL1","hurdle",1.73334274017279e-13,2.029717,5.547704,3.517987,0.637
"1536","GLRX","hurdle",2.24523497080652e-06,5.866832,6.726021,0.859189000000001,0.637
"845","COX7B","hurdle",5.49016520033714e-05,8.523174,9.169203,0.646029,0.637
"608","CCT6A","hurdle",1.01723054834443e-05,7.245586,7.835166,0.58958,0.637
"4105","TUFM","hurdle",1.55154082072255e-05,7.740006,8.354603,0.614596999999999,0.636
"3570","SLC52A2","hurdle",6.8090460866472e-07,5.724331,6.563073,0.838742,0.636
"3285","RPS28","hurdle",0.00103538992264423,10.47132,11.10961,0.63829,0.636
"3149","RHOA","hurdle",5.80363034980872e-06,8.736264,9.357101,0.620837,0.636
"2892","PRDM1","hurdle",2.71650448987376e-24,-0.2092249,5.7181155,5.9273404,0.636
"2718","PHB","hurdle",5.58588983254983e-06,6.837433,7.362361,0.524928,0.636
"2710","PGF","hurdle",1.03648917358804e-20,0.2728425,5.8457453,5.5729028,0.636
"2435","NFE2L2","hurdle",1.4526351286302e-05,7.232665,8.039804,0.807139,0.636
"2431","NEXN","hurdle",3.80056498459625e-12,2.552999,4.893067,2.340068,0.636
"2364","MYO1E","hurdle",8.91677063513904e-10,3.821982,6.188372,2.36639,0.636
"1919","KDM5B","hurdle",1.59466899969163e-06,5.738939,6.763422,1.024483,0.636
"1653","HEG1","hurdle",1.38130842860354e-11,3.253868,5.732312,2.478444,0.636
"107","AIMP1","hurdle",2.97917899031467e-06,6.326074,6.967554,0.64148,0.636
"1","A1BG","hurdle",2.03739681748057e-06,5.463601,6.30568,0.842079,0.636
"4425","ZNF703","hurdle",1.91601920660633e-10,3.801773,5.318857,1.517084,0.635
"4409","ZNF593","hurdle",1.37316139219437e-06,6.041293,6.704676,0.663383000000001,0.635
"4186","UROS","hurdle",1.58428798810335e-05,6.424258,7.164771,0.740513,0.635
"4091","TTC9C","hurdle",2.80987376711138e-08,4.222059,5.5267,1.304641,0.635
"3828","TCEAL8","hurdle",6.17111682799503e-05,7.346596,7.942436,0.59584,0.635
"3718","STAG1","hurdle",4.94443911776094e-08,4.056201,5.516601,1.4604,0.635
"3283","RPS27A","hurdle",0.00112698466509611,10.8099,11.60807,0.798169999999999,0.635
"2972","PTDSS1","hurdle",1.10287458817606e-06,5.501102,6.746561,1.245459,0.635
"2790","PLIN3","hurdle",6.03222398443478e-06,6.336864,7.191333,0.854469,0.635
"2598","PA2G4","hurdle",4.49332468939652e-05,6.468452,7.229714,0.761262,0.635
"2514","NSA2","hurdle",1.7027706745557e-05,6.331542,7.029926,0.698384,0.635
"1622","GUCY1A3","hurdle",1.54379384242978e-06,5.922843,7.330357,1.407514,0.635
"1121","EFS","hurdle",9.39245839972209e-20,-0.0694304,4.8892464,4.9586768,0.635
"974","DDX39A","hurdle",3.19019148679044e-06,5.995648,6.913205,0.917557,0.635
"894","CTDNEP1","hurdle",1.66495966109165e-05,5.584526,6.554933,0.970407,0.635
"893","CTBP2","hurdle",4.98519972247592e-07,5.237489,6.324284,1.086795,0.635
"630","CDC123","hurdle",6.64284601615257e-06,6.154512,6.973742,0.819229999999999,0.635
"86","ADRM1","hurdle",2.27051177691372e-07,6.685198,7.319728,0.63453,0.635
"10","ABCA1","hurdle",5.30940469266263e-10,3.785337,6.01232,2.226983,0.635
"4116","TXN2","hurdle",5.05905792999708e-08,6.81616,7.365809,0.549649,0.634
"4073","TSC22D4","hurdle",1.59269664906153e-06,5.178969,6.037536,0.858567,0.634
"3997","TNIP2","hurdle",2.33284502432437e-07,4.535935,5.850295,1.31436,0.634
"3893","TIMM44","hurdle",1.50134600442185e-06,4.965736,6.121831,1.156095,0.634
"2967","PSMG3","hurdle",1.41064115619199e-06,5.715375,6.507111,0.791736,0.634
"2792","PLK3","hurdle",1.74902993340354e-11,3.101305,5.611625,2.51032,0.634
"2547","NXPH4","hurdle",8.58970006131566e-19,0.2554298,5.0830299,4.8276001,0.634
"2512","NRP2","hurdle",2.31173508219712e-16,1.529911,5.408109,3.878198,0.634
"2409","NDUFA8","hurdle",2.55386195251514e-05,6.543619,7.253047,0.709428,0.634
"2290","MRPL32","hurdle",9.16278364003428e-07,6.2845,6.962034,0.677534,0.634
"2248","MMP19","hurdle",1.29773184081764e-25,-3.262362,4.963557,8.225919,0.634
"2038","LLPH","hurdle",3.3923157615705e-06,5.095489,5.97535,0.879861,0.634
"1607","GSTK1","hurdle",1.72468628481035e-05,7.085447,7.63851,0.553063,0.634
"1349","FBLN2","hurdle",2.5465673926853e-24,-2.393964,5.528296,7.92226,0.634
"1171","ELOVL1","hurdle",2.95992995098956e-06,6.810508,7.565511,0.755003,0.634
"1161","ELAVL1","hurdle",3.74196897281075e-06,5.724364,6.807306,1.082942,0.634
"1022","DNAJB11","hurdle",1.29770931074464e-05,6.541939,7.402311,0.860372,0.634
"826","COMMD7","hurdle",7.75307532024214e-06,6.09229,7.03313,0.94084,0.634
"634","CDC26","hurdle",5.96536939369652e-06,5.008733,5.954797,0.946064,0.634
"448","C1orf123","hurdle",1.97559187088128e-06,5.598701,6.623288,1.024587,0.634
"142","AMD1","hurdle",1.44276410013691e-07,5.895083,6.559961,0.664878000000001,0.634
"4262","WLS","hurdle",3.75817207316435e-06,6.607263,7.443439,0.836176,0.633
"4040","TRIAP1","hurdle",1.08043622753191e-06,5.275169,6.199396,0.924227,0.633
"3309","RRP36","hurdle",6.65563710129239e-07,4.929754,6.163454,1.2337,0.633
"2937","PSAP","hurdle",5.6049042426364e-05,10.88675,11.78877,0.90202,0.633
"2923","PRR16","hurdle",2.87617146869094e-22,-1.234919,5.547642,6.782561,0.633
"2424","NEDD8","hurdle",0.000120476538605104,7.80608,8.533128,0.727048,0.633
"2193","MESDC2","hurdle",3.0455059539011e-05,6.922841,7.5817,0.658859,0.633
"1868","ITPRIP","hurdle",5.11477073894279e-18,0.9909229,6.0851468,5.0942239,0.633
"1753","IDH3G","hurdle",1.18439962214773e-06,6.680931,7.373328,0.692397,0.633
"1154","EIF4B","hurdle",4.01308388615787e-05,7.482425,8.090893,0.608467999999999,0.633
"1098","ECHDC1","hurdle",9.57303726515867e-07,5.720449,6.521197,0.800748,0.633
"769","CLPP","hurdle",5.28743717606917e-06,5.939607,6.653416,0.713809,0.633
"710","CHD4","hurdle",2.55659849265026e-07,6.858935,7.374539,0.515604000000001,0.633
"302","ATXN1","hurdle",1.12999511983839e-07,4.175916,5.677858,1.501942,0.633
"4015","TP53RK","hurdle",5.95475970179108e-07,4.682862,6.028365,1.345503,0.632
"3908","TLE3","hurdle",1.72847848102681e-09,3.063383,5.289967,2.226584,0.632
"2881","PPP2R4","hurdle",3.16587738417024e-06,6.16533,7.291253,1.125923,0.632
"2667","PDCD6","hurdle",2.5636128340311e-06,7.162647,7.746841,0.584194,0.632
"2284","MRPL16","hurdle",1.31714086149149e-06,5.296263,6.303989,1.007726,0.632
"2148","MAPKAP1","hurdle",4.18557204744392e-07,5.292604,6.16477,0.872166,0.632
"1985","LACC1","hurdle",1.08363737895348e-09,3.373979,5.996453,2.622474,0.632
"1736","HSPE1","hurdle",8.31161876656675e-05,7.133875,8.048174,0.914299,0.632
"1457","FXR1","hurdle",3.66192851277324e-07,5.861252,6.456721,0.595469,0.632
"1204","EPB41L2","hurdle",5.41858517947093e-08,4.159139,5.796556,1.637417,0.632
"1176","EMC3","hurdle",5.39072195897457e-07,6.880233,7.401957,0.521724000000001,0.632
"1170","ELOF1","hurdle",1.47128865914312e-05,6.383692,7.110903,0.727211,0.632
"914","CUEDC2","hurdle",4.40966957169046e-05,6.128794,6.957176,0.828382,0.632
"404","BZW1","hurdle",1.85693502502142e-05,6.157424,6.819618,0.662194,0.632
"4271","XPNPEP1","hurdle",1.2836243872101e-06,5.87227,6.760645,0.888375,0.631
"3837","TCF7","hurdle",7.81594979483971e-12,2.645761,4.997099,2.351338,0.631
"3814","TBC1D7","hurdle",1.77572416202428e-07,4.291028,5.766464,1.475436,0.631
"3670","SPOCD1","hurdle",3.10792485071276e-20,0.7863295,5.688604,4.9022745,0.631
"3649","SP100","hurdle",1.95559424281865e-06,5.986948,6.826924,0.839976,0.631
"3379","SDHC","hurdle",3.1169712392744e-05,6.549117,7.240401,0.691284,0.631
"3363","SCARA3","hurdle",3.97137844707531e-22,-0.6301973,5.9905832,6.6207805,0.631
"3261","RPP30","hurdle",7.10143138195735e-07,4.691317,5.728655,1.037338,0.631
"3155","RHOQ","hurdle",1.14164005623722e-06,4.790807,6.16717,1.376363,0.631
"2940","PSMA3","hurdle",2.55964668820158e-05,7.197681,7.837889,0.640207999999999,0.631
"2839","POLR2J3","hurdle",7.83853065080787e-06,5.763778,6.778338,1.01456,0.631
"2811","PNKP","hurdle",1.7085593365485e-06,5.201653,6.317598,1.115945,0.631
"2289","MRPL3","hurdle",5.387011448965e-06,6.436916,7.037263,0.600347,0.631
"2183","MED8","hurdle",3.79328678882467e-06,5.593635,6.647281,1.053646,0.631
"2106","LZTS2","hurdle",5.39133796989347e-08,4.03065,5.540376,1.509726,0.631
"2087","LSM7","hurdle",2.58654970580383e-05,6.803374,7.450096,0.646722,0.631
"1827","INSIG1","hurdle",1.78882080554144e-05,7.46764,8.230715,0.763075,0.631
"1206","EPDR1","hurdle",1.49600558410709e-08,4.33954,6.123995,1.784455,0.631
"969","DDX1","hurdle",4.5712641774688e-06,6.872782,7.562426,0.689644,0.631
"489","C5orf56","hurdle",1.96565804678662e-09,3.217855,5.431974,2.214119,0.631
"340","BCAR1","hurdle",8.26237633644017e-06,5.898113,6.862401,0.964288,0.631
"4144","UBE2L3","hurdle",6.94043153257458e-06,6.890425,7.436265,0.54584,0.63
"4113","TWSG1","hurdle",1.46123207283735e-09,4.247372,6.249069,2.001697,0.63
"4046","TRIM22","hurdle",4.09014546939056e-12,2.64769,5.459568,2.811878,0.63
"4001","TNS3","hurdle",9.9984212200927e-07,5.509736,6.236915,0.727179,0.63
"3713","ST6GALNAC4","hurdle",2.90167268083534e-07,5.131835,6.36106,1.229225,0.63
"3685","SRGAP1","hurdle",1.8454853844299e-07,4.685144,6.022395,1.337251,0.63
"3615","SNHG7","hurdle",3.7867673232924e-05,6.46829,7.311518,0.843228000000001,0.63
"3609","SNAP29","hurdle",4.99071718108581e-06,5.437407,6.362681,0.925274,0.63
"3575","SLC6A6","hurdle",1.14573677192249e-07,4.568754,5.959806,1.391052,0.63
"3092","RBM8A","hurdle",4.79459796583788e-05,6.621895,7.309756,0.687861,0.63
"3075","RASSF1","hurdle",1.11798843727902e-07,4.548351,5.66099,1.112639,0.63
"2784","PLEKHH2","hurdle",1.06510187251682e-12,2.544544,5.505323,2.960779,0.63
"2347","MUM1","hurdle",4.91285343511841e-06,5.114769,6.046686,0.931917,0.63
"1981","KXD1","hurdle",1.87696361210711e-06,6.214735,6.829547,0.614812,0.63
"1531","GLI3","hurdle",4.14573762006071e-16,1.323393,4.930321,3.606928,0.63
"1223","ERI3","hurdle",9.1793521293119e-07,5.952453,6.62829,0.675837,0.63
"1158","EIF5","hurdle",0.000214014966709428,7.749424,8.470482,0.721058,0.63
"1030","DNAJC4","hurdle",2.12585132536178e-06,5.951525,6.697617,0.746092,0.63
"271","ATAD3A","hurdle",2.41316618507482e-08,3.655712,5.233919,1.578207,0.63
"53","ADA","hurdle",2.95705578257623e-13,2.245662,5.24769,3.002028,0.63
"3547","SLC35B3","hurdle",1.21349159872324e-06,5.253262,6.204304,0.951041999999999,0.629
"3248","RPL41","hurdle",0.00915534896494979,10.99109,11.63203,0.640940000000001,0.629
"3040","RABEPK","hurdle",6.6936253494096e-08,4.317922,5.851591,1.533669,0.629
"2632","PCBP2","hurdle",5.16789208560435e-05,7.407261,8.024907,0.617646000000001,0.629
"2600","PABPC4","hurdle",5.668846607708e-05,5.684287,6.560135,0.875848,0.629
"2413","NDUFB5","hurdle",5.91028888677362e-05,7.138916,7.661821,0.522905,0.629
"2329","MSX1","hurdle",5.28081463298877e-24,-2.901896,4.516012,7.417908,0.629
