"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.delta","log2fold_change","Auc"
"1229","MDH1B","hurdle",0.0058122654196472,1.630834,3.949536,2.318702,0.531
"1090","KIF5A","hurdle",0.0701911282543908,2.305215,3.539963,1.234748,0.531
"1089","KIF3C","hurdle",0.225582286377779,4.850276,5.389259,0.538983,0.531
"1023","JPH3","hurdle",0.016662755849064,2.478785,3.034937,0.556152,0.531
"1005","INPP4A","hurdle",0.268019846406464,4.378123,4.941531,0.563408,0.531
"781","FKBP14","hurdle",0.227341295365333,4.605125,5.117817,0.512691999999999,0.531
"617","E2F6","hurdle",0.159623204494929,3.664681,4.424977,0.760296,0.531
"515","DCAF12","hurdle",0.316002764498883,5.031036,5.608641,0.577605,0.531
"508","CYP2U1","hurdle",0.218492198667872,4.112092,4.765168,0.653076,0.531
"282","CACNG4","hurdle",0.0564455089633438,2.260731,3.095192,0.834461,0.531
"243","C2orf15","hurdle",0.144108645203246,3.165426,4.297548,1.132122,0.531
"218","C18orf32","hurdle",0.35144047815688,4.083692,4.633829,0.550137,0.531
"166","BANK1","hurdle",0.0405855396905645,1.688681,3.842059,2.153378,0.531
"126","ARMC2","hurdle",0.0063313451216348,1.546604,3.672063,2.125459,0.531
"61","ALG10B","hurdle",0.109314862123733,2.813909,3.626384,0.812475,0.531
"2434","ZNF721","hurdle",0.0935428762701597,4.797614,5.498497,0.700883,0.53
"2389","ZNF462","hurdle",0.238094845110991,4.260244,4.978095,0.717851,0.53
"2379","ZNF362","hurdle",0.140129601729076,3.471671,4.26586,0.794189,0.53
"2159","TRMT2B","hurdle",0.102468927725241,3.48666,4.210265,0.723605,0.53
"2115","TMEM25","hurdle",0.494791530075375,5.644021,6.180476,0.536454999999999,0.53
"2018","SYT16","hurdle",0.0579633860720027,2.693585,4.110752,1.417167,0.53
"1893","SLC44A5","hurdle",0.0243945811616654,1.779778,3.360438,1.58066,0.53
"1868","SLC16A2","hurdle",0.116100381582973,2.828304,3.795551,0.967247,0.53
"1782","RYR2","hurdle",0.0155525562149107,1.153643,2.51546,1.361817,0.53
"1709","REL","hurdle",0.395297705325687,4.640105,5.381001,0.740896,0.53
"1609","PRLHR","hurdle",0.0139812026996051,1.334402,3.201441,1.867039,0.53
"1556","PLEKHG6","hurdle",0.129082124687407,3.165747,4.157878,0.992131,0.53
"1541","PKP2","hurdle",0.214528404677637,3.798308,4.388103,0.589795,0.53
"1428","OXGR1","hurdle",0.00191857909733845,0.8665242,3.174872,2.3083478,0.53
"1156","LRRC37A2","hurdle",0.0208682154799485,0.3053988,2.1024389,1.7970401,0.53
"1046","KCNH8","hurdle",5.39475897032845e-05,-1.209614,2.652374,3.861988,0.53
"1009","IPMK","hurdle",0.175111220505466,3.166696,3.993882,0.827186,0.53
"905","GTF2A1","hurdle",0.0770913780076113,4.51541,5.308851,0.793441,0.53
"840","GFRA1","hurdle",0.0351992450171125,2.370336,3.983577,1.613241,0.53
"801","FPGT","hurdle",0.0645259893160603,3.942638,4.711933,0.769295,0.53
"692","FAM120A","hurdle",0.0466524545802593,6.553605,7.109515,0.55591,0.53
"663","EPHA8","hurdle",2.41293808888942e-06,-3.321928,2.935383,6.257311,0.53
"588","DNM3","hurdle",0.133154482836759,2.918904,3.857035,0.938131,0.53
"540","DENND4B","hurdle",0.278452432586736,4.14615,4.704844,0.558694,0.53
"387","CEACAM19","hurdle",0.161846523432185,3.296031,4.186988,0.890957,0.53
"322","CCDC113","hurdle",0.125104091795972,2.278542,3.329379,1.050837,0.53
"270","CABIN1","hurdle",0.252602667395518,4.523391,5.258385,0.734993999999999,0.53
"188","BMPER","hurdle",2.41293808888943e-06,-3.321928,2.762806,6.084734,0.53
"85","ANKRD34C","hurdle",0.00314235261930175,-0.2619049,1.9786212,2.2405261,0.53
"2369","ZNF304","hurdle",0.153736972019775,2.919622,4.270845,1.351223,0.529
"2341","ZMYND12","hurdle",0.00576159032344558,1.589561,3.820804,2.231243,0.529
"2308","ZBTB37","hurdle",0.0443910095158011,1.598766,2.987151,1.388385,0.529
"2256","VPS54","hurdle",0.158326480027349,4.076018,4.882984,0.806966,0.529
"2171","TSGA10","hurdle",0.339953464428654,3.918673,4.71453,0.795857,0.529
"2094","TMED8","hurdle",0.285566582130832,3.909306,4.439353,0.530047,0.529
"2045","TBL1XR1","hurdle",0.0744316212970708,6.193233,6.705062,0.511829,0.529
"1865","SLC12A6","hurdle",0.187962356607291,3.318866,4.065284,0.746418,0.529
"1804","SCRN3","hurdle",0.188973675139125,4.037006,4.733128,0.696122,0.529
"1759","RPGR","hurdle",0.241299130131088,3.196174,4.005608,0.809434,0.529
"1724","RGS6","hurdle",8.42849304163025e-05,-1.339826,2.69774,4.037566,0.529
"1447","PARP11","hurdle",0.0783872555623636,2.477847,3.423175,0.945328,0.529
"1429","OXSM","hurdle",0.381360306173402,4.186488,4.689389,0.502901,0.529
"1420","ORC2","hurdle",0.344446916240245,3.816076,4.336039,0.519963000000001,0.529
"1325","NAPEPLD","hurdle",0.310645692134242,3.981188,4.779947,0.798759,0.529
"1246","METTL21A","hurdle",0.099337345532789,4.290603,4.897448,0.606845,0.529
"1194","MAP3K7","hurdle",0.325449661412858,5.004957,5.610791,0.605834,0.529
"1135","LONRF1","hurdle",0.137552127194285,3.405321,4.240777,0.835456,0.529
"1079","KIAA1468","hurdle",0.325263787469698,4.026606,4.597899,0.571293,0.529
"930","HERC6","hurdle",0.371674970798505,4.209108,4.84573,0.636622,0.529
"731","FAM73B","hurdle",0.101216935008094,3.152827,4.145958,0.993131,0.529
"600","DRD2","hurdle",0.000126291128224265,-2.245829,2.179825,4.425654,0.529
"494","CTU2","hurdle",0.253226584994672,3.703126,4.540991,0.837865,0.529
"418","CHIC1","hurdle",0.252876577835466,3.445229,3.961673,0.516444,0.529
"380","CDKAL1","hurdle",0.0493535840269711,3.858497,4.581461,0.722964,0.529
"190","BRD1","hurdle",0.252495221055586,4.010261,4.522464,0.512203,0.529
"115","ARHGEF38","hurdle",0.0304306000374484,2.821078,3.81774,0.996662,0.529
"96","APOBEC2","hurdle",0.266588746512304,4.951274,5.700669,0.749395000000001,0.529
"16","ACACA","hurdle",0.491933113972693,4.844507,5.483629,0.639122,0.529
"2440","ZNF773","hurdle",0.102493489298259,1.872597,3.203368,1.330771,0.528
"2437","ZNF746","hurdle",0.10115447319376,3.54802,4.242386,0.694366,0.528
"2388","ZNF451","hurdle",0.26974655137128,5.249548,6.109263,0.859715,0.528
"2385","ZNF445","hurdle",0.39420443266488,3.920395,4.749148,0.828753,0.528
"2221","ULK3","hurdle",0.476381974312292,4.88152,5.520441,0.638921,0.528
"1940","SOX5","hurdle",0.104408303222709,3.038592,3.794371,0.755779,0.528
"1935","SOGA3","hurdle",0.187600970071315,2.935809,3.882741,0.946932,0.528
"1836","SGK2","hurdle",0.230798264991167,3.104949,4.018974,0.914025,0.528
"1684","RAPGEF6","hurdle",0.067263586510054,3.661852,5.013914,1.352062,0.528
"1506","PEX3","hurdle",0.275620561875365,4.206211,4.768357,0.562146,0.528
"1485","PDE1B","hurdle",0.0400401704696176,1.492727,2.956686,1.463959,0.528
"1474","PCGF2","hurdle",0.27248877985578,3.630468,4.356492,0.726024,0.528
"1425","OTUD6B","hurdle",0.276297989714345,3.175202,3.821186,0.645984,0.528
"1316","N4BP2L1","hurdle",0.128276726071343,3.961461,4.924549,0.963088,0.528
"1232","ME2","hurdle",0.295087583695418,5.393246,5.977735,0.584489,0.528
"1163","LRRCC1","hurdle",0.00709628829263077,3.215185,4.707794,1.492609,0.528
"1160","LRRC4C","hurdle",0.000361616664233281,-1.20979,3.569319,4.779109,0.528
"1125","LGR5","hurdle",0.000356725362261479,-1.41719,3.507725,4.924915,0.528
"1118","LCMT2","hurdle",0.314505214695673,3.615479,4.212371,0.596892,0.528
"995","IL10","hurdle",0.0374658182171542,1.150245,2.895733,1.745488,0.528
"920","HCN1","hurdle",0.000163879334531653,-2.536944,2.988786,5.52573,0.528
"906","GTF2H2C","hurdle",0.0570273942466066,2.122762,3.258783,1.136021,0.528
"880","GPR173","hurdle",0.111737774499043,1.82807,2.970438,1.142368,0.528
"811","FYCO1","hurdle",0.353839750003188,4.457482,5.113881,0.656399,0.528
"687","FAAH2","hurdle",0.282186029812737,4.378336,5.017529,0.639193,0.528
"559","DLEU1","hurdle",0.113525167069133,4.542994,5.18932,0.646326,0.528
"425","CHUK","hurdle",0.106152276639788,4.852699,5.543342,0.690643,0.528
"336","CCDC73","hurdle",0.0753921883244455,-0.9623198,0.8310518,1.7933716,0.528
"252","C5AR1","hurdle",0.00825744140261861,0.004408719,2.712087082,2.707678363,0.528
"176","BDH1","hurdle",0.327168573581333,3.66141,4.305385,0.643975,0.528
"170","BBS5","hurdle",0.268550776963768,2.693284,3.479336,0.786052,0.528
"2373","ZNF329","hurdle",0.14062568924106,2.437325,3.454989,1.017664,0.527
"2310","ZBTB43","hurdle",0.389849941919911,4.75222,5.256978,0.504758,0.527
"2237","USP30","hurdle",0.0472942497488803,4.266095,5.163189,0.897094,0.527
"2173","TSHZ3","hurdle",0.158814451102775,2.586077,3.485751,0.899674,0.527
"2162","TRPC1","hurdle",0.319494682854631,3.185842,3.882796,0.696954,0.527
"2148","TRDMT1","hurdle",0.019151084002534,2.460307,4.117514,1.657207,0.527
"2114","TMEM241","hurdle",0.0570814669483905,2.060807,3.368536,1.307729,0.527
"2100","TMEM135","hurdle",0.375633611568115,4.536558,5.229797,0.693238999999999,0.527
"2009","SYNGAP1","hurdle",0.229499212576221,2.656298,3.440904,0.784606,0.527
"1984","STK11IP","hurdle",0.270700737434769,3.849181,4.384289,0.535108,0.527
"1918","SMARCAD1","hurdle",0.172054756105154,4.677857,5.182427,0.504569999999999,0.527
"1748","RNF144B","hurdle",0.0118426171693533,2.852282,3.454519,0.602237,0.527
"1659","RAB30","hurdle",0.00707883668055955,3.226412,5.050256,1.823844,0.527
"1614","PRPF40B","hurdle",0.324630250930813,3.476374,4.035188,0.558814,0.527
"1530","PIP4K2B","hurdle",0.0708656725941393,4.629647,5.215745,0.586098,0.527
"1421","ORC3","hurdle",0.0571251962709743,4.940963,5.585162,0.644199,0.527
"1343","NECAB1","hurdle",0.129440330417409,2.344721,3.008624,0.663903,0.527
"1173","LYPD3","hurdle",0.00730800092678229,0.9937816,3.1117122,2.1179306,0.527
"1107","KLRD1","hurdle",0.0125604600745368,1.53033,2.662462,1.132132,0.527
"1102","KLHL29","hurdle",0.0351685424725857,1.341457,3.054818,1.713361,0.527
"1065","KCTD19","hurdle",0.00147005329620872,-0.3917827,2.5196029,2.9113856,0.527
"1014","IRGQ","hurdle",0.420374959853446,4.930398,5.447937,0.517538999999999,0.527
"977","IDNK","hurdle",0.449563396768652,4.656406,5.199033,0.542627,0.527
"774","FGFBP3","hurdle",0.219153437170539,2.847143,3.578947,0.731804,0.527
"550","DHX40","hurdle",0.291447435298017,5.054048,5.619971,0.565923,0.527
"460","COQ7","hurdle",0.261953262161819,4.53212,5.084052,0.551932,0.527
"381","CDKL3","hurdle",0.0108805568540906,2.081716,3.780894,1.699178,0.527
"355","CD6","hurdle",0.00119205251797993,-0.3652801,2.6809749,3.046255,0.527
"298","CAMSAP1","hurdle",0.180706672504757,4.222397,4.832147,0.60975,0.527
"192","BRPF3","hurdle",0.445858599414675,4.41105,4.914565,0.503514999999999,0.527
"120","ARIH2OS","hurdle",0.108257098574668,2.283539,3.411211,1.127672,0.527
"2433","ZNF714","hurdle",0.115172908981511,3.058171,4.0353,0.977129,0.526
"2421","ZNF665","hurdle",0.0845682536550291,1.960495,3.152552,1.192057,0.526
"2287","WNT7B","hurdle",0.0528958098654984,2.024091,3.579788,1.555697,0.526
"2105","TMEM161B","hurdle",0.195307986684645,3.54099,4.517171,0.976181,0.526
"1906","SLC8A1","hurdle",0.272377504574502,3.862919,4.608416,0.745497,0.526
"1745","RMND5A","hurdle",0.376419779480064,5.2105,5.927541,0.717041,0.526
"1518","PHF7","hurdle",0.118540234575561,2.238215,3.415849,1.177634,0.526
"1402","NUDT15","hurdle",0.107700325568082,4.530722,5.03488,0.504158,0.526
"1384","NR1D2","hurdle",0.13391550353725,5.129691,5.953243,0.823551999999999,0.526
"1273","MPDZ","hurdle",0.402045574679928,4.528575,5.08298,0.554405,0.526
"1215","MAST3","hurdle",0.352263223383281,4.865347,5.567948,0.702601,0.526
"1150","LRRC2","hurdle",0.0372444271789251,2.478816,4.234572,1.755756,0.526
"923","HDAC8","hurdle",0.436039632319485,4.747008,5.342976,0.595968,0.526
"862","GNB3","hurdle",0.051627584626642,1.206441,3.128496,1.922055,0.526
"776","FHDC1","hurdle",0.0498717973603406,1.496735,3.403403,1.906668,0.526
"759","FBXO48","hurdle",0.14704368422426,2.211412,2.836181,0.624769,0.526
"746","FBLL1","hurdle",0.161164592663252,2.712334,3.671029,0.958695,0.526
"713","FAM189A1","hurdle",0.0469645966598542,1.421264,2.930288,1.509024,0.526
"685","EZH1","hurdle",0.123085252830175,4.873085,5.438876,0.565791,0.526
"329","CCDC171","hurdle",0.029386745628999,1.562556,3.417172,1.854616,0.526
"259","C7orf60","hurdle",0.291233904463405,3.206761,3.832341,0.62558,0.526
"138","ASIC1","hurdle",0.046184510220534,1.223132,2.948408,1.725276,0.526
"2429","ZNF708","hurdle",0.0566114675107946,3.036503,4.179552,1.143049,0.525
"2372","ZNF324B","hurdle",0.0408040256421589,0.492325,2.524541,2.032216,0.525
"2324","ZDHHC18","hurdle",0.319801559636401,3.112758,3.616999,0.504241,0.525
"2315","ZC3H6","hurdle",0.192518502900514,4.77725,5.308237,0.530987,0.525
"2198","TUBD1","hurdle",0.11505264626759,3.13936,4.181586,1.042226,0.525
"2196","TUBA8","hurdle",0.141062009024909,1.790008,3.39608,1.606072,0.525
"2125","TMEM99","hurdle",0.199644427320693,4.861376,5.552213,0.690837,0.525
"2084","TIGD7","hurdle",0.193290113608101,2.506887,3.285448,0.778561,0.525
"2042","TBCK","hurdle",0.487906705075584,4.682853,5.281623,0.59877,0.525
"1986","STK39","hurdle",0.26333578868444,3.664672,4.300072,0.6354,0.525
"1870","SLC18A3","hurdle",1.89535851457045e-05,-3.321928,2.956704,6.278632,0.525
"1864","SLC10A7","hurdle",0.209124851149623,2.882997,4.121369,1.238372,0.525
"1755","RNLS","hurdle",0.0354196666134942,3.473836,4.570942,1.097106,0.525
"1512","PGS1","hurdle",0.278197181121316,4.362465,4.980265,0.6178,0.525
"1454","PBX2","hurdle",0.250632049095473,3.023122,3.601245,0.578123,0.525
"1445","PAQR8","hurdle",0.016125811860135,1.959229,3.800872,1.841643,0.525
"1266","MMGT1","hurdle",0.108598793575658,5.107054,5.638556,0.531502000000001,0.525
"1259","MIB1","hurdle",0.0539108330063645,4.811135,5.5162,0.705065,0.525
"1213","MASP1","hurdle",8.37523288654819e-05,-1.499409,3.079233,4.578642,0.525
"1113","L2HGDH","hurdle",0.244125234434259,3.535461,4.289045,0.753584,0.525
"1110","KRBOX4","hurdle",0.335099713069864,3.393874,3.988782,0.594908,0.525
"1058","KCNQ3","hurdle",0.0461224180226471,1.286835,2.836662,1.549827,0.525
"993","IKZF4","hurdle",0.379946379003929,3.424113,3.977202,0.553089,0.525
"966","HSPA2","hurdle",0.345317132104896,3.782521,4.53431,0.751789,0.525
"904","GTDC1","hurdle",0.262295499287077,2.728127,3.493019,0.764892,0.525
"841","GGN","hurdle",0.00492761312142284,-0.3412626,2.5397137,2.8809763,0.525
"792","FNDC5","hurdle",0.00987527393127867,0.1715125,1.8038139,1.6323014,0.525
"683","EXPH5","hurdle",0.288233374649235,3.426909,4.056653,0.629744,0.525
"533","DDX58","hurdle",0.247665931683838,4.190322,5.036663,0.846341,0.525
"350","CCSER1","hurdle",0.170768269664281,2.746926,4.106063,1.359137,0.525
"292","CALCR","hurdle",1.8953585145702e-05,-3.321928,2.904974,6.226902,0.525
"286","CADM3","hurdle",1.89535851457046e-05,-3.321928,2.344578,5.666506,0.525
"263","C9orf40","hurdle",0.0923762808829171,2.084401,3.502043,1.417642,0.525
"2430","ZNF709","hurdle",0.08046270835366,2.448774,3.543346,1.094572,0.524
"2413","ZNF599","hurdle",0.210454693099168,3.550673,4.283737,0.733064,0.524
"2331","ZFP3","hurdle",0.236919815395236,3.208136,4.074079,0.865943,0.524
"2118","TMEM53","hurdle",0.357838764180029,4.735197,5.385698,0.650500999999999,0.524
"2103","TMEM154","hurdle",0.0561774717709275,2.204535,3.937164,1.732629,0.524
"2080","THTPA","hurdle",0.118797680811242,4.685542,5.372159,0.686617,0.524
"2065","TERF2","hurdle",0.123591584157031,3.992074,4.637369,0.645295,0.524
"2033","TASP1","hurdle",0.216955000170093,3.962894,4.838941,0.876047,0.524
"1988","STON2","hurdle",0.208320370679012,3.876877,4.534061,0.657184,0.524
"1698","RBM38","hurdle",0.190019639858297,2.160049,3.09872,0.938671,0.524
"1653","QRSL1","hurdle",0.100369536456412,4.528608,5.304988,0.77638,0.524
"1633","PTBP2","hurdle",0.332498204394956,3.694544,4.225504,0.53096,0.524
"1604","PRIM1","hurdle",0.292983408374263,3.244425,4.329139,1.084714,0.524
"1464","PCDHB16","hurdle",0.26797961477077,3.502423,4.055288,0.552865,0.524
"1451","PATZ1","hurdle",0.474477641573612,4.192558,4.757147,0.564589,0.524
"1416","OLFML3","hurdle",0.161564718656929,2.827233,3.634896,0.807663,0.524
"1389","NRXN2","hurdle",0.0476444459952653,0.9282626,1.6197542,0.6914916,0.524
"1376","NPHP1","hurdle",0.182308166696859,3.631857,4.38353,0.751673,0.524
"1312","MYRIP","hurdle",0.00448639901281544,0.438734,3.150766,2.712032,0.524
"1271","MOK","hurdle",0.237701933523668,3.150888,3.87994,0.729052,0.524
"1222","MBTPS2","hurdle",0.0985268137442162,4.792425,5.603382,0.810957,0.524
"1191","MAP2K6","hurdle",0.203403098766423,2.716031,3.736671,1.02064,0.524
"973","HYDIN","hurdle",0.0687376825706129,2.860419,3.874827,1.014408,0.524
"941","HIVEP3","hurdle",0.296950976000041,4.228543,5.022421,0.793877999999999,0.524
"909","GUF1","hurdle",0.231421974764594,4.2461,5.035599,0.789499,0.524
"757","FBXO36","hurdle",0.100340845624122,2.783607,4.195103,1.411496,0.524
"698","FAM133A","hurdle",0.0202906057686214,0.1607462,2.4451018,2.2843556,0.524
"570","DNAH12","hurdle",0.111553253670428,1.560917,2.362798,0.801881,0.524
"556","DISP1","hurdle",0.079786460589416,3.025918,3.950688,0.92477,0.524
"267","C9orf91","hurdle",0.385395397307409,3.104972,3.79762,0.692648,0.524
"250","C3orf58","hurdle",0.383104849288014,3.722537,4.325121,0.602584,0.524
"205","C11orf84","hurdle",0.282784786719702,2.360385,3.107652,0.747267,0.524
"191","BRIP1","hurdle",0.136795045057367,2.403314,3.582571,1.179257,0.524
"174","BCL2L10","hurdle",0.0110502310426454,-0.02762128,2.5706963,2.59831758,0.524
"104","ARF5","hurdle",0.344507456074974,7.167924,7.699234,0.53131,0.524
"91","APBA1","hurdle",0.0813682763493875,2.075535,3.808187,1.732652,0.524
"84","ANKRD33","hurdle",0.000758669157492739,-1.323852,3.255462,4.579314,0.524
"83","ANKRD18A","hurdle",0.259095768370933,2.410259,2.990477,0.580218,0.524
"33","ADAMTSL1","hurdle",0.0580822446594874,1.613777,3.078948,1.465171,0.524
"21","ACOT11","hurdle",0.326923695372275,3.199371,3.950111,0.75074,0.524
"2441","ZNF775","hurdle",0.0720337949708591,2.202925,3.693514,1.490589,0.523
"2412","ZNF596","hurdle",0.120664149066483,2.620402,4.153612,1.53321,0.523
"2408","ZNF578","hurdle",0.0940399616417771,0.9778453,2.5148417,1.5369964,0.523
"2403","ZNF563","hurdle",0.26994265227642,2.735993,3.451726,0.715733,0.523
"2383","ZNF441","hurdle",0.109777542284555,3.918796,4.604341,0.685545,0.523
"2280","WDR73","hurdle",0.24010479773926,4.881539,5.521363,0.639824,0.523
"2270","WDFY1","hurdle",0.459432949557533,4.876559,5.483418,0.606859,0.523
"2180","TTC12","hurdle",0.177888705513256,2.997988,3.887505,0.889517,0.523
"2055","TCN2","hurdle",0.285589572610959,4.170708,4.754761,0.584053,0.523
"1945","SPATA4","hurdle",0.00701027362915082,-1.18141,1.955014,3.136424,0.523
"1908","SLC8A3","hurdle",0.218116270256391,2.177442,3.216041,1.038599,0.523
"1717","RGL1","hurdle",0.387650759616696,3.995592,4.629048,0.633456,0.523
"1662","RAB39A","hurdle",0.0286776074890409,0.8650994,2.9852838,2.1201844,0.523
"1460","PCDHB10","hurdle",0.217682797662384,2.227355,3.657917,1.430562,0.523
"1411","NXPE3","hurdle",0.20485347219377,3.73116,4.600112,0.868952,0.523
"1403","NUDT7","hurdle",0.0739732996791608,3.552034,4.390795,0.838761,0.523
"1357","NGFR","hurdle",0.00257131172165703,-1.165958,2.448856,3.614814,0.523
"1338","NCS1","hurdle",0.291984879133674,2.572869,4.288763,1.715894,0.523
"1283","MRPL49","hurdle",0.651476959704177,5.994947,6.525057,0.530110000000001,0.523
"1262","MIS12","hurdle",0.421529106795843,4.222042,4.810668,0.588626,0.523
"978","IDO1","hurdle",0.0617019521777058,0.9370518,2.5715012,1.6344494,0.523
"965","HSPA1L","hurdle",0.0370787338912343,0.142752,2.71677,2.574018,0.523
"927","HELZ2","hurdle",0.253050612644326,2.898302,3.534663,0.636361,0.523
"881","GPR19","hurdle",0.0843737942733918,1.829332,3.154312,1.32498,0.523
"854","GLRA3","hurdle",0.0808713637740571,1.529027,3.500454,1.971427,0.523
"760","FBXO5","hurdle",0.154328368929095,1.727884,2.80231,1.074426,0.523
"732","FAM76A","hurdle",0.305091137710767,5.011682,5.681423,0.669740999999999,0.523
"682","EXOSC9","hurdle",0.35657119448816,4.171298,4.760577,0.589278999999999,0.523
"567","DMXL2","hurdle",0.0432655801453564,4.99774,5.596022,0.598281999999999,0.523
"564","DMC1","hurdle",0.0348043322529269,0.13583,2.320422,2.184592,0.523
"513","DBNDD1","hurdle",0.358210560471945,4.070246,4.709551,0.639305,0.523
"487","CSRNP1","hurdle",0.0935118522437765,4.854675,5.442557,0.587882,0.523
"309","CATSPER2","hurdle",0.369693803586978,2.7699,3.396599,0.626699,0.523
"213","C16orf91","hurdle",0.122710503165849,4.55176,5.102255,0.550495000000001,0.523
"74","AMPD3","hurdle",0.131948506114248,3.094541,4.325273,1.230732,0.523
"40","ADSSL1","hurdle",0.233482339328906,3.150315,4.026814,0.876499,0.523
"4","AARD","hurdle",0.059063669991175,1.565468,2.496353,0.930885,0.523
"2425","ZNF674","hurdle",0.155590146245915,1.236456,2.310335,1.073879,0.522
"2411","ZNF594","hurdle",0.311448267714001,2.31191,3.310301,0.998391,0.522
"2326","ZDHHC22","hurdle",0.014528333674999,-0.6760955,2.0792468,2.7553423,0.522
"2190","TTC9","hurdle",0.411153869167472,3.586924,4.18681,0.599886000000001,0.522
"2185","TTC30B","hurdle",0.194118590528119,2.277454,3.218294,0.94084,0.522
"2152","TRIM37","hurdle",0.158150462756126,4.969677,5.54944,0.579763,0.522
"2122","TMEM74","hurdle",0.00438977298142841,-1.312992,2.150254,3.463246,0.522
"2004","SYCP3","hurdle",0.239380039373605,0.0911995,0.8317259,0.7405264,0.522
"1879","SLC25A28","hurdle",0.348941360983951,3.719452,4.3345,0.615048,0.522
"1833","SFRP1","hurdle",0.0453758271429872,0.5627737,2.5338054,1.9710317,0.522
"1832","SFMBT2","hurdle",0.0962520615873073,0.8829491,2.0675644,1.1846153,0.522
"1808","SEC14L4","hurdle",0.114572930709257,1.31281,2.88627,1.57346,0.522
"1772","RSPH4A","hurdle",0.0106188183099617,-1.351909,2.308126,3.660035,0.522
"1682","RAP2A","hurdle",0.151778016341587,3.794139,4.659453,0.865314,0.522
"1480","PCNXL2","hurdle",0.533828152405061,3.535444,4.04163,0.506186,0.522
"1442","PAPOLG","hurdle",0.189696698563218,3.866862,4.579065,0.712203,0.522
"1392","NSMCE2","hurdle",0.116650339682106,4.816268,5.489642,0.673374,0.522
"1303","MYLIP","hurdle",0.428083196999912,4.669388,5.273621,0.604233000000001,0.522
"1128","LIN54","hurdle",0.21643770855854,3.121163,3.685771,0.564608,0.522
"1097","KLHDC1","hurdle",0.156137919631477,2.370197,3.47903,1.108833,0.522
"901","GRM8","hurdle",0.0432277887589462,0.9687769,2.7515316,1.7827547,0.522
"886","GPRIN3","hurdle",0.406282079870972,3.85743,4.398449,0.541019,0.522
"838","GEMIN5","hurdle",0.366257756450072,3.198352,3.712035,0.513683,0.522
"793","FOSB","hurdle",0.18718693966749,4.679929,5.51852,0.838591,0.522
"768","FEM1B","hurdle",0.294256865178209,4.942154,5.704471,0.762316999999999,0.522
"761","FBXO8","hurdle",0.0958073721539436,4.996712,5.734548,0.737836000000001,0.522
"648","EML2","hurdle",0.488535509378551,4.320359,4.986637,0.666278,0.522
"519","DCHS2","hurdle",0.195787745650486,2.699361,3.681121,0.98176,0.522
"467","CPEB1","hurdle",0.0910993824780681,2.43839,4.021401,1.583011,0.522
"450","CNTN3","hurdle",0.167943465640013,2.704185,3.647025,0.94284,0.522
"216","C17orf58","hurdle",0.396534916097731,3.973035,4.576294,0.603259,0.522
"193","BRWD3","hurdle",0.273556914950481,3.547546,4.149538,0.601992,0.522
"82","ANKHD1","hurdle",0.273007131917747,3.760682,4.270143,0.509461,0.522
"2409","ZNF589","hurdle",0.142933358668639,1.574657,2.572296,0.997639,0.521
"2306","ZBTB22","hurdle",0.48170043972437,3.712704,4.285274,0.57257,0.521
"2226","UNC5D","hurdle",0.0259946116722531,0.1417787,2.5652994,2.4235207,0.521
"2168","TRRAP","hurdle",0.272794349355946,4.469031,5.063756,0.594725,0.521
"1946","SPATA5","hurdle",0.310462450083459,2.173153,2.931988,0.758835,0.521
"1779","RWDD2A","hurdle",0.155685710826062,3.743727,4.383434,0.639707,0.521
"1753","RNF219","hurdle",0.430268976201968,3.401094,3.90184,0.500746,0.521
"1607","PRKAR2B","hurdle",0.423092433900183,3.400634,4.354051,0.953417,0.521
"1466","PCDHB7","hurdle",0.061193271133847,1.546302,3.055514,1.509212,0.521
"1406","NUGGC","hurdle",0.0157683737780443,0.6137641,1.7420758,1.1283117,0.521
"1379","NPR2","hurdle",0.362777965142001,2.818975,3.504635,0.68566,0.521
"1317","NAA16","hurdle",0.226658392713173,4.048107,4.591805,0.543698,0.521
"1238","MED30","hurdle",0.531172546402016,3.863186,4.373238,0.510052,0.521
"1228","MDFIC","hurdle",0.279989140194857,4.637006,5.228961,0.591955,0.521
"1195","MAP3K9","hurdle",0.211854262470465,3.960515,4.637532,0.677017,0.521
"1056","KCNN3","hurdle",0.226934467488589,2.790376,3.478055,0.687679,0.521
"1006","INPP5J","hurdle",0.225674126006708,2.02767,3.138507,1.110837,0.521
"851","GLCE","hurdle",0.202212817089723,3.735541,4.484998,0.749457,0.521
"828","GATC","hurdle",0.358096295031163,4.772366,5.273044,0.500678,0.521
"808","FSTL5","hurdle",0.505161146677269,4.67755,5.267057,0.589507,0.521
"747","FBXL13","hurdle",0.216290936850802,1.483658,2.597249,1.113591,0.521
"702","FAM155B","hurdle",0.202043942463319,1.754154,2.822328,1.068174,0.521
"637","EID3","hurdle",0.278059793344092,2.763756,3.506847,0.743091,0.521
"598","DPY19L2","hurdle",0.194754202808804,2.224779,3.096509,0.87173,0.521
"498","CXCL11","hurdle",0.0010826664438082,-0.933784,2.895319,3.829103,0.521
"490","CTC1","hurdle",0.423403122699688,3.946236,4.730899,0.784663,0.521
"447","CNIH3","hurdle",0.180496860116938,3.295247,4.178217,0.88297,0.521
"248","C2orf73","hurdle",0.0169960621580815,-0.6603099,2.3643516,3.0246615,0.521
