"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.delta","log2fold_change","Auc"
"641","ELAVL4","hurdle",4.43041886576963e-09,4.997679,6.587799,1.59012,0.647
"295","CAMK2B","hurdle",7.62144325199075e-08,5.666472,6.94587,1.279398,0.647
"183","BEX5","hurdle",5.85387344754412e-07,5.632911,6.774723,1.141812,0.647
"1437","PAIP2B","hurdle",9.72198619109297e-12,3.438742,5.820405,2.381663,0.646
"970","HTATSF1","hurdle",1.22713716802233e-07,6.165192,7.452332,1.28714,0.642
"165","BAMBI","hurdle",1.6525855464214e-11,3.857812,6.188254,2.330442,0.642
"1564","PNMA2","hurdle",4.78870089716501e-08,5.879693,7.392195,1.512502,0.639
"294","CALY","hurdle",9.66894307530328e-08,5.385749,6.891213,1.505464,0.639
"697","FAM131C","hurdle",5.49059713696314e-08,4.335677,5.853815,1.518138,0.638
"445","CNGA3","hurdle",1.51933080588919e-17,1.308416,5.2583,3.949884,0.638
"777","FHOD3","hurdle",1.09698709263905e-15,1.788529,5.752739,3.96421,0.637
"655","ENPP2","hurdle",3.43767841034731e-06,7.869925,8.435399,0.565474,0.637
"186","BMP5","hurdle",3.81003668446471e-10,4.480689,6.824957,2.344268,0.637
"805","FRZB","hurdle",6.22550269268897e-12,3.574089,6.522323,2.948234,0.636
"1600","PREPL","hurdle",8.74272430034937e-07,6.639228,7.720765,1.081537,0.635
"1051","KCNJ8","hurdle",9.89164340024418e-07,5.653376,6.944075,1.290699,0.635
"2049","TCEAL3","hurdle",1.25651506862526e-05,6.411768,7.353518,0.94175,0.634
"684","EYS","hurdle",8.06361199695488e-14,2.579143,6.02554,3.446397,0.634
"207","C14orf132","hurdle",1.12495225227117e-06,6.054584,7.500591,1.446007,0.634
"1871","SLC22A17","hurdle",5.75946991906101e-05,7.540091,8.070471,0.530379999999999,0.633
"1531","PIPOX","hurdle",1.89768609715646e-09,4.183305,6.475982,2.292677,0.633
"974","ICA1L","hurdle",1.52031123263787e-08,5.172162,6.965645,1.793483,0.633
"845","GHSR","hurdle",2.09927337324688e-21,-0.6331148,5.5696117,6.2027265,0.633
"1780","RXRG","hurdle",3.03941689519872e-10,4.069167,6.021709,1.952542,0.632
"947","HMGCLL1","hurdle",4.90944124196936e-08,5.183229,7.118687,1.935458,0.632
"272","CABP7","hurdle",4.2189316671618e-10,4.145192,6.358541,2.213349,0.632
"1499","PEG10","hurdle",1.44894039349215e-05,8.327295,9.011711,0.684416000000001,0.631
"826","GAS2","hurdle",2.44923454027647e-07,4.762568,6.120637,1.358069,0.631
"1778","RUNX1T1","hurdle",4.10217867002717e-09,4.268246,6.215465,1.947219,0.63
"258","C7orf55","hurdle",2.11860920633536e-05,4.9242,6.020238,1.096038,0.63
"677","EXOC6","hurdle",9.31335743584527e-07,4.936975,6.592821,1.655846,0.629
"375","CDHR3","hurdle",7.81641698089972e-16,0.6617331,5.6269228,4.9651897,0.629
"353","CD200","hurdle",1.63836892238231e-06,5.92032,6.777355,0.857035,0.629
"249","C3orf14","hurdle",5.97680787062116e-06,6.261491,7.307373,1.045882,0.629
"2248","VAT1L","hurdle",1.08663840591332e-13,2.476535,5.564262,3.087727,0.628
"2048","TCEAL2","hurdle",1.36174935497995e-05,5.997927,7.032634,1.034707,0.628
"864","GNG2","hurdle",2.82859966748456e-06,5.943404,7.155126,1.211722,0.628
"639","EIF4E","hurdle",2.16237284616948e-05,5.826133,6.734286,0.908153,0.628
