"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.acinar","log2fold_change","Auc"
"1810","IFNAR2","hurdle",7.20781233214015e-09,4.749637,6.525837,1.7762,0.633
"1796","IDE","hurdle",8.77347547586191e-08,4.227077,6.001227,1.77415,0.633
"975","DCTN6","hurdle",6.99451154153757e-05,6.208535,7.016455,0.807919999999999,0.633
"515","C9orf152","hurdle",1.8119860800984e-15,1.60631,5.57911,3.9728,0.633
"384","BECN1","hurdle",1.65013740099651e-07,5.835736,7.147128,1.311392,0.633
"4514","ZYX","hurdle",3.1843893236728e-06,5.776165,6.572836,0.796671,0.632
"4402","ZNF117","hurdle",7.97939899072446e-12,3.365874,5.988568,2.622694,0.632
"4239","UXT","hurdle",7.67388756719105e-05,7.166647,7.767452,0.600804999999999,0.632
"3598","SMAD3","hurdle",2.15008756582995e-07,4.985008,6.520401,1.535393,0.632
"3301","RPS6KB2","hurdle",2.01041979040806e-05,5.337906,6.468953,1.131047,0.632
"3283","RPS24","hurdle",1.24689544138124e-05,10.04195,10.97316,0.93121,0.632
"1632","GSTZ1","hurdle",1.17373186827128e-05,5.186787,6.386974,1.200187,0.632
"1507","GBP3","hurdle",1.0592273791676e-07,4.804425,6.322828,1.518403,0.632
"1252","ERP44","hurdle",4.78921311863858e-07,6.854919,8.034861,1.179942,0.632
"1099","DUOXA1","hurdle",1.02238827262165e-20,-1.455645,4.913964,6.369609,0.632
"628","CCNO","hurdle",2.26024823179714e-17,0.1839325,5.0534548,4.8695223,0.632
"480","C2CD4B","hurdle",1.43381324239757e-08,4.155111,6.055523,1.900412,0.632
"57","ACTB","hurdle",1.82491406661621e-05,10.82801,11.69574,0.86773,0.632
"4337","YES1","hurdle",1.18383929656234e-06,4.727532,6.112541,1.385009,0.631
"4322","WWP2","hurdle",7.10638494612848e-08,4.421571,6.200401,1.77883,0.631
"3724","STK24","hurdle",7.65154114879751e-06,5.964076,7.058345,1.094269,0.631
"3059","RAB9A","hurdle",1.14467266022468e-06,5.522593,6.848896,1.326303,0.631
"2886","PPP1R14B","hurdle",8.75377919784175e-06,5.269393,6.228816,0.959423,0.631
"2689","PDCD10","hurdle",1.12614397989105e-05,5.978235,6.987237,1.009002,0.631
"2578","OAZ1","hurdle",0.00141684148914949,9.86009,10.37663,0.516540000000001,0.631
"2396","MYO5C","hurdle",1.06278681396988e-08,3.689866,5.796063,2.106197,0.631
"2395","MYO5B","hurdle",3.36197840405696e-08,4.446152,6.654942,2.20879,0.631
"2052","LIMK2","hurdle",1.70450444078295e-12,3.85709,6.5456,2.68851,0.631
"1155","EGFR","hurdle",1.85188352591186e-09,3.435994,5.647525,2.211531,0.631
"860","CRB3","hurdle",1.77248417021137e-06,5.271512,6.651171,1.379659,0.631
"487","C2orf88","hurdle",2.49716984609158e-14,1.257202,5.044811,3.787609,0.631
"335","AURKAIP1","hurdle",0.000108112640643506,7.600771,8.240266,0.639495,0.631
"4109","TSKU","hurdle",7.05926407744393e-10,4.447928,6.187764,1.739836,0.63
"3928","TMEM163","hurdle",7.47699137579589e-09,4.897371,6.974975,2.077604,0.63
"3395","SEPW1","hurdle",2.19785231063102e-05,7.707163,8.451778,0.744614999999999,0.63
"3294","RPS4Y1","hurdle",4.41701314494172e-08,8.476718,9.368252,0.891534,0.63
"2792","PKP4","hurdle",1.79396522876008e-08,3.601894,5.624723,2.022829,0.63
"2074","LPP","hurdle",7.30485803999956e-07,6.869292,7.919244,1.049952,0.63
"2021","LAMTOR5","hurdle",7.39050119051036e-05,8.131491,8.682218,0.550727,0.63
"1856","INHA","hurdle",5.19737655967253e-16,1.616361,5.588258,3.971897,0.63
"1816","IFT20","hurdle",7.17396529730851e-06,5.570505,6.659304,1.088799,0.63
"1567","GNG12","hurdle",1.60526368404812e-06,6.79209,7.900191,1.108101,0.63
"550","CAPN5","hurdle",1.2108276240411e-10,3.347775,5.799024,2.451249,0.63
"3717","STAT6","hurdle",4.29125222976477e-05,5.469555,6.746423,1.276868,0.629
"3338","SAMM50","hurdle",1.48749779791177e-05,5.545072,6.551924,1.006852,0.629
"1959","KIAA1217","hurdle",8.21844391014621e-08,4.67327,6.394931,1.721661,0.629
"1889","ITGA2","hurdle",2.67278902853415e-07,4.965335,6.322774,1.357439,0.629
"1580","GOLPH3L","hurdle",2.71347069169803e-07,5.067193,6.599688,1.532495,0.629
"1500","GATA6","hurdle",2.14195158535249e-07,4.143846,6.108279,1.964433,0.629
"1483","GALM","hurdle",1.63415832308807e-08,4.361059,6.33965,1.978591,0.629
"1296","FAM109A","hurdle",5.72210371929471e-10,2.968527,5.548777,2.58025,0.629
"516","C9orf3","hurdle",2.00552557854897e-05,5.577323,6.737632,1.160309,0.629
"114","AHCY","hurdle",2.05339574441876e-05,5.93959,7.146966,1.207376,0.629
"4336","YDJC","hurdle",3.17893998888028e-06,4.685324,6.085492,1.400168,0.628
"3800","TAX1BP1","hurdle",1.18403309957908e-05,7.599251,8.576713,0.977462,0.628
"3526","SLC30A2","hurdle",3.01996532208904e-17,1.912172,6.680852,4.76868,0.628
"3137","RETSAT","hurdle",1.79592298735153e-07,4.618745,6.164953,1.546208,0.628
"2966","PSMB5","hurdle",0.000236207749196245,8.209781,8.792018,0.582237000000001,0.628
"2589","ONECUT1","hurdle",2.25311141849162e-13,2.295219,5.846902,3.551683,0.628
"2287","MOV10","hurdle",1.10073314429072e-06,4.66816,6.174476,1.506316,0.628
"2271","MLPH","hurdle",1.18872891410164e-07,4.821022,6.252128,1.431106,0.628
"1655","H6PD","hurdle",1.67544998097378e-07,4.466734,6.109108,1.642374,0.628
"1261","ESRRA","hurdle",1.60739368254867e-06,4.325845,5.792847,1.467002,0.628
"689","CEACAM1","hurdle",1.29998238476668e-07,4.69943,6.562523,1.863093,0.628
"212","AP1M2","hurdle",6.66185367194321e-06,6.432756,7.528133,1.095377,0.628
"4090","TRIP6","hurdle",2.71422213621862e-07,5.219181,6.380787,1.161606,0.627
"3859","TGM2","hurdle",6.4389067932804e-08,6.737332,8.049643,1.312311,0.627
"3282","RPS23","hurdle",8.44924189251242e-05,10.5901,11.4382,0.848100000000001,0.627
"3011","PTPRK","hurdle",4.22133154332034e-07,5.439308,6.883366,1.444058,0.627
"2440","NDRG2","hurdle",1.35678153305559e-06,5.670941,6.553951,0.88301,0.627
"2405","MZT2A","hurdle",0.000289595881169349,6.868875,7.728177,0.859302,0.627
"1841","IL4R","hurdle",2.49051894742739e-10,3.540832,5.310354,1.769522,0.627
"1630","GSTM4","hurdle",5.49965566218219e-07,4.86026,6.31146,1.4512,0.627
"1618","GRPEL1","hurdle",5.249245403878e-06,5.676764,6.771752,1.094988,0.627
"1386","FBXW5","hurdle",6.16187536880952e-06,6.863594,7.766817,0.903223,0.627
"1156","EGLN1","hurdle",1.50639013987892e-05,5.423947,6.512618,1.088671,0.627
"584","CBX3","hurdle",1.09406410088768e-06,6.314127,7.32435,1.010223,0.627
"3723","STK17A","hurdle",2.2234349213282e-06,5.209705,6.66439,1.454685,0.626
"3566","SLC44A2","hurdle",1.6042908822174e-07,4.974391,6.536025,1.561634,0.626
"3333","SAMD12","hurdle",1.18604913650852e-06,4.472079,5.806212,1.334133,0.626
"2963","PSMB2","hurdle",9.55048360282148e-06,7.213724,7.983753,0.770029,0.626
"2827","PMPCB","hurdle",0.000125800517715906,6.304757,7.196918,0.892161,0.626
"2545","NSMCE4A","hurdle",1.38991947704648e-05,4.940403,6.145142,1.204739,0.626
"1757","HSBP1L1","hurdle",2.78470339656721e-06,4.525922,5.914522,1.3886,0.626
"1637","GTF3A","hurdle",3.66865545262997e-05,7.129238,8.021086,0.891848,0.626
"1420","FNDC3B","hurdle",0.000322520855106982,6.938749,7.680649,0.7419,0.626
"764","CITED4","hurdle",1.24818571306314e-09,3.96599,5.383873,1.417883,0.626
"616","CCL20","hurdle",6.09791613375078e-16,3.029613,9.270401,6.240788,0.626
"4001","TNFRSF12A","hurdle",5.64954909547804e-05,8.115066,9.069248,0.954181999999999,0.625
"3561","SLC40A1","hurdle",1.219432330705e-05,6.79053,7.792619,1.002089,0.625
"3287","RPS27A","hurdle",0.00108317038763094,10.72577,11.86565,1.13988,0.625
"2990","PTBP3","hurdle",2.84686970331553e-05,5.931742,6.859541,0.927799,0.625
"2942","PRSS16","hurdle",7.48243931239251e-11,3.096697,5.314644,2.217947,0.625
"2843","POLD4","hurdle",1.25514261384482e-07,5.562186,7.250952,1.688766,0.625
"2650","PARM1","hurdle",1.21253951144713e-07,7.547208,8.967711,1.420503,0.625
"2311","MRPL20","hurdle",0.000412936173613476,7.266832,7.788956,0.522124,0.625
"2184","MBOAT1","hurdle",6.29101375334721e-12,2.755249,5.736439,2.98119,0.625
"1738","HNF4A","hurdle",4.55679422847245e-07,4.929489,6.603253,1.673764,0.625
"1609","GPT2","hurdle",4.315894179155e-08,3.814531,5.874482,2.059951,0.625
"588","CCDC124","hurdle",0.000257490943629549,6.063495,6.964306,0.900811,0.625
"491","C4BPA","hurdle",4.63377298780433e-16,2.125561,7.029545,4.903984,0.625
"1","AADAC","hurdle",7.5589553642627e-24,-3.321928,5.788374,9.110302,0.625
"4112","TSPAN1","hurdle",3.74051567451486e-06,6.467719,7.911758,1.444039,0.624
"4055","TRAPPC1","hurdle",3.93533619376757e-05,7.205371,7.89366,0.688288999999999,0.624
"3943","TMEM220","hurdle",4.24050890105918e-06,4.414779,5.893598,1.478819,0.624
"3665","SPPL2A","hurdle",7.84531215449052e-05,6.343387,7.344954,1.001567,0.624
"3567","SLC44A3","hurdle",5.06514042649746e-07,4.763529,6.031604,1.268075,0.624
"3212","ROMO1","hurdle",6.93833277315352e-05,7.829505,8.562254,0.732748999999999,0.624
"3024","PXDC1","hurdle",3.37265307664511e-09,3.482275,5.216799,1.734524,0.624
"2962","PSMB10","hurdle",1.90649388356189e-10,5.555719,7.545582,1.989863,0.624
"2713","PDXK","hurdle",0.000655448358249312,6.434502,7.237075,0.802573,0.624
"2130","MACC1","hurdle",1.41531340663944e-07,4.262576,6.178484,1.915908,0.624
"1615","GRHL2","hurdle",3.32346540681604e-13,1.899831,4.982653,3.082822,0.624
"1606","GPRC5C","hurdle",4.18344848722333e-05,6.137273,7.280993,1.14372,0.624
"1190","EIF6","hurdle",5.5014272041514e-07,7.167863,8.280228,1.112365,0.624
"1089","DSC2","hurdle",8.19514851495439e-06,5.26566,6.438961,1.173301,0.624
"1028","DIAPH1","hurdle",5.54887219597854e-07,5.367283,6.933239,1.565956,0.624
"3264","RPN1","hurdle",6.7208180177128e-07,7.895362,9.024888,1.129526,0.623
"2456","NET1","hurdle",3.98016663007985e-08,4.338611,6.095753,1.757142,0.623
"2292","MPP7","hurdle",1.15460970428273e-07,3.601513,5.539284,1.937771,0.623
"2179","MAT2A","hurdle",6.66018335172725e-07,6.338754,7.787095,1.448341,0.623
"1809","IFNAR1","hurdle",2.29529105936307e-06,5.566184,6.828261,1.262077,0.623
"1170","EIF2S2","hurdle",0.000191539497845454,7.211163,7.796702,0.585539,0.623
"870","CRK","hurdle",0.000113948775704248,5.879624,6.897552,1.017928,0.623
"623","CCNG1","hurdle",0.000124797357188379,6.472926,7.712015,1.239089,0.623
"555","CAPZA1","hurdle",3.11999758299826e-09,6.745195,8.137249,1.392054,0.623
"527","CAB39","hurdle",2.90320233573544e-08,4.928117,6.592282,1.664165,0.623
"445","C12orf49","hurdle",1.08770355472276e-06,4.494846,5.799301,1.304455,0.623
"206","ANXA3","hurdle",1.01704214185006e-07,5.328744,6.643614,1.31487,0.623
"3851","TFIP11","hurdle",7.26841768979286e-07,4.207298,5.986251,1.778953,0.622
"3718","STAU1","hurdle",9.87437450874917e-08,6.716333,7.785095,1.068762,0.622
"3611","SMUG1","hurdle",1.94097328716277e-06,5.044564,6.341527,1.296963,0.622
"3553","SLC38A5","hurdle",1.98104589911576e-15,1.339398,5.618534,4.279136,0.622
"3483","SLC16A7","hurdle",8.02566010046351e-08,4.333214,6.058958,1.725744,0.622
"3429","SGSH","hurdle",3.1112729511105e-07,4.256986,5.903339,1.646353,0.622
"3136","REST","hurdle",2.97826509106488e-07,5.235044,6.213521,0.978477,0.622
"2885","PPP1R13L","hurdle",5.05529872184546e-08,3.528834,5.213658,1.684824,0.622
"2664","PCBD1","hurdle",0.00031308566160298,7.319921,7.903219,0.583298,0.622
"2327","MRPS15","hurdle",1.58369538532815e-05,6.46848,7.385985,0.917505,0.622
"1915","JUND","hurdle",9.63575960096552e-06,6.094291,7.135913,1.041622,0.622
"1719","HLA-DQB1","hurdle",3.56163127577736e-10,4.244695,5.695447,1.450752,0.622
"1428","FOXA3","hurdle",1.79312401806913e-06,4.114471,5.742348,1.627877,0.622
"1107","DUSP22","hurdle",7.20781201166788e-08,4.269555,6.056603,1.787048,0.622
"627","CCNL1","hurdle",7.19920771904621e-05,6.285503,7.235369,0.949866,0.622
"40","ACO1","hurdle",4.72373317473368e-10,5.697872,7.406612,1.70874,0.622
"4321","WWP1","hurdle",1.18922239573283e-06,4.415873,5.735303,1.31943,0.621
"4116","TSPAN3","hurdle",1.92365342174327e-05,8.861008,10.311942,1.450934,0.621
"4046","TRABD","hurdle",9.07832266885694e-06,5.086617,6.283088,1.196471,0.621
"3565","SLC44A1","hurdle",0.000216649072969404,6.272178,7.148267,0.876088999999999,0.621
"3445","SHC2","hurdle",4.38493778213422e-06,4.654713,6.02156,1.366847,0.621
"3232","RPL22L1","hurdle",4.28674531039686e-06,5.432184,6.942034,1.50985,0.621
"1709","HKDC1","hurdle",4.06101319197269e-11,3.590891,5.772922,2.182031,0.621
"1550","GLTP","hurdle",7.67457001152539e-05,5.180728,6.258607,1.077879,0.621
"1186","EIF4G1","hurdle",4.18456509338872e-05,7.007778,7.982243,0.974465,0.621
"804","CNIH4","hurdle",9.03700410771305e-05,6.293152,7.162911,0.869759,0.621
"615","CCL2","hurdle",2.87250292360917e-05,7.558097,9.824291,2.266194,0.621
"334","AUP1","hurdle",0.00250032575017845,7.241368,7.963064,0.721696000000001,0.621
"4279","VTI1B","hurdle",0.000329375065373364,6.095787,6.89778,0.801993,0.62
"4039","TPM3","hurdle",2.91552365832125e-05,7.429411,8.094718,0.665307,0.62
"3774","SYTL2","hurdle",1.15152521305052e-11,1.818703,5.133827,3.315124,0.62
"3600","SMAGP","hurdle",2.00430912505238e-09,3.219265,5.484086,2.264821,0.62
"3189","RNF128","hurdle",5.30505430067087e-06,5.832521,7.385498,1.552977,0.62
"3044","RAB18","hurdle",4.09164573244078e-06,7.074905,7.967454,0.892549,0.62
"3027","PYCR1","hurdle",5.6495820285423e-06,5.758784,7.069737,1.310953,0.62
"2933","PRR13","hurdle",1.52143086488345e-06,6.751424,7.472986,0.721562,0.62
"2669","PCCB","hurdle",1.37044737567876e-05,5.548923,6.856278,1.307355,0.62
"2634","PAK1","hurdle",2.61688011090847e-05,5.356449,6.619929,1.26348,0.62
"2628","PABPC4","hurdle",1.2994775893792e-05,5.622046,6.746708,1.124662,0.62
"2243","MGMT","hurdle",5.52039842139566e-05,5.562598,6.524985,0.962387,0.62
"1436","FPGS","hurdle",7.64412080302996e-08,5.318698,7.250699,1.932001,0.62
"1049","DNAJB11","hurdle",1.23914332542636e-05,6.529786,7.441764,0.911978,0.62
"464","C1orf116","hurdle",1.0527131088798e-06,5.231457,6.835236,1.603779,0.62
"372","BCL10","hurdle",5.32053380699153e-07,4.885722,6.501091,1.615369,0.62
"4060","TRAPPC6A","hurdle",5.08959604634792e-05,5.260447,6.230755,0.970308,0.619
"3975","TMEM87B","hurdle",1.92188753293603e-07,5.410834,6.940396,1.529562,0.619
"3736","STT3B","hurdle",1.42467510148793e-05,6.299157,7.639987,1.34083,0.619
"3693","SRPK1","hurdle",6.05035935407733e-08,4.769556,6.512381,1.742825,0.619
"3374","SEC61A1","hurdle",5.13573671774184e-05,7.747102,8.559259,0.812157000000001,0.619
"3274","RPS15A","hurdle",0.0001966663276664,10.23941,11.41421,1.1748,0.619
"3159","RHOB","hurdle",6.41668603003054e-05,6.189148,6.944772,0.755624,0.619
"2949","PSAT1","hurdle",2.32036764368062e-07,4.76383,6.378016,1.614186,0.619
"2925","PROM1","hurdle",5.29863834289393e-09,4.434439,6.315057,1.880618,0.619
"2099","LRRFIP1","hurdle",0.000803391465524491,6.978701,7.793875,0.815174,0.619
"1958","KIAA1161","hurdle",1.56667168336063e-09,3.456712,5.556609,2.099897,0.619
"1956","KIAA0922","hurdle",7.77904092146596e-10,2.868171,5.596866,2.728695,0.619
"1747","HPCAL1","hurdle",1.73714997998811e-05,4.934211,6.324321,1.39011,0.619
"1644","GUCD1","hurdle",1.63335717605048e-07,5.140651,6.79385,1.653199,0.619
"1280","F11","hurdle",3.06313731781964e-09,3.307473,5.408565,2.101092,0.619
"1101","DUS1L","hurdle",2.2222173526215e-06,4.315179,5.865958,1.550779,0.619
"759","CISD2","hurdle",6.52144231109316e-05,6.618708,7.299673,0.680965,0.619
"711","CEP70","hurdle",4.60944633272614e-07,4.2503,6.033264,1.782964,0.619
"383","BDH2","hurdle",5.46155364868272e-06,4.631559,5.847797,1.216238,0.619
"275","ARSD","hurdle",6.8679895478864e-06,5.342509,6.747131,1.404622,0.619
"163","ALOX5","hurdle",6.14705364072409e-09,3.60219,6.124347,2.522157,0.619
"4201","UGT2A3","hurdle",9.60061063222114e-09,4.243182,5.995041,1.751859,0.618
"4159","TYMP","hurdle",1.5012445736943e-05,5.524538,6.856156,1.331618,0.618
"3279","RPS2","hurdle",0.000104032027956709,11.1974,12.16857,0.971170000000001,0.618
"3273","RPS15","hurdle",0.000830814800265585,10.31895,11.48039,1.16144,0.618
"3211","RNPEPL1","hurdle",4.82041300126342e-06,4.751138,5.99274,1.241602,0.618
"2511","NOP10","hurdle",0.000170238339436195,7.534585,8.119919,0.585334,0.618
"2467","NFIA","hurdle",6.31083777886349e-05,5.417561,6.573342,1.155781,0.618
"2320","MRPL43","hurdle",0.00027806760289623,6.673045,7.372661,0.699616,0.618
"2089","LRRC16A","hurdle",4.41420811184944e-06,4.454034,5.757464,1.30343,0.618
"1924","KCNE3","hurdle",2.07931299277727e-18,-0.5936274,5.0314067,5.6250341,0.618
"1759","HSD17B11","hurdle",1.52313050491685e-05,5.960614,7.143823,1.183209,0.618
"1506","GBP2","hurdle",7.11660012121674e-07,4.318352,6.378638,2.060286,0.618
"771","CLDN12","hurdle",5.65448115634758e-06,5.645868,7.109331,1.463463,0.618
"507","C6orf62","hurdle",0.000274951875005292,7.534837,8.400131,0.865294,0.618
"490","C3orf52","hurdle",7.76811072315853e-11,2.713635,5.506673,2.793038,0.618
"458","C19orf48","hurdle",1.64623413651966e-06,4.797533,6.45261,1.655077,0.618
"81","ADCK3","hurdle",1.76535653793485e-06,5.007345,6.567084,1.559739,0.618
"4141","TUBB2A","hurdle",0.000155211422181824,6.325939,7.18909,0.863151,0.617
"3726","STK38L","hurdle",4.6753362884216e-06,4.76256,5.939408,1.176848,0.617
"3056","RAB5C","hurdle",0.000375142726697095,6.995729,7.596413,0.600684,0.617
"2842","POLD3","hurdle",1.60603138314008e-07,4.044678,6.175877,2.131199,0.617
"2831","PNP","hurdle",1.39404136943513e-08,4.046847,6.332387,2.28554,0.617
"2670","PCDH1","hurdle",2.23155732626061e-07,4.05048,6.213022,2.162542,0.617
"2527","NR0B2","hurdle",7.64400832409471e-07,5.171237,6.805031,1.633794,0.617
"2103","LSM1","hurdle",0.000294410139948851,6.052965,6.807477,0.754511999999999,0.617
"2073","LPGAT1","hurdle",6.75770555199669e-05,6.264906,7.208481,0.943575,0.617
"1880","IRF1","hurdle",1.09969450498405e-05,5.627849,7.067698,1.439849,0.617
"1018","DHRS12","hurdle",9.09687868778237e-06,4.547686,5.795818,1.248132,0.617
"3995","TNFAIP3","hurdle",1.38983378328532e-08,3.715432,6.132083,2.416651,0.616
"3712","STAMBP","hurdle",3.21525728332118e-05,4.830155,6.168217,1.338062,0.616
"3477","SLC12A7","hurdle",5.31370515478149e-06,5.043179,6.729574,1.686395,0.616
"3408","SERPING1","hurdle",3.39924999426974e-05,7.992253,8.82124,0.828987,0.616
"3297","RPS6KA1","hurdle",3.01453107586708e-08,3.228867,5.076148,1.847281,0.616
"3245","RPL34","hurdle",0.000345341074172382,10.91037,11.94268,1.03231,0.616
"3231","RPL22","hurdle",0.00046212803794357,8.994837,9.922723,0.927885999999999,0.616
"3169","RIPK3","hurdle",1.50774408635379e-12,1.88415,4.909488,3.025338,0.616
"3168","RIPK2","hurdle",2.30968248450524e-06,4.32567,5.994046,1.668376,0.616
"2778","PIN4","hurdle",0.000189705474996648,5.89361,6.543294,0.649684000000001,0.616
"2653","PARP4","hurdle",2.41977930760839e-06,5.067373,6.385664,1.318291,0.616
"2267","MKNK2","hurdle",4.35167235856767e-05,5.303051,6.739871,1.43682,0.616
"1817","IFT57","hurdle",0.000203921743753384,6.469228,7.455649,0.986421,0.616
"1708","HK2","hurdle",5.15774511283113e-11,2.012858,4.987495,2.974637,0.616
"1674","HDGF","hurdle",0.000213794413274408,6.187841,7.280403,1.092562,0.616
"1134","EDEM3","hurdle",3.0488907434951e-07,6.091119,7.472115,1.380996,0.616
"723","CFLAR","hurdle",1.25643636992083e-05,5.881823,7.060236,1.178413,0.616
"720","CFH","hurdle",1.04588947416986e-07,4.397867,6.452729,2.054862,0.616
"4290","WDFY2","hurdle",3.78633182195206e-06,4.774761,6.287942,1.513181,0.615
"3910","TMED9","hurdle",0.000290250037668363,8.180733,8.80941,0.628677,0.615
"3874","TIMM13","hurdle",0.00035514655864815,7.482594,8.130696,0.648102000000001,0.615
"3700","SSNA1","hurdle",0.000343612672054972,6.295095,7.053494,0.758399,0.615
"3485","SLC18B1","hurdle",5.61058741478317e-06,4.717912,6.19962,1.481708,0.615
"3372","SEC24A","hurdle",2.9142219068642e-06,4.338461,6.041951,1.70349,0.615
"3227","RPL15","hurdle",0.000391037392892827,10.90624,11.735,0.828759999999999,0.615
"3218","RPIA","hurdle",6.03289028571174e-07,4.116646,5.424387,1.307741,0.615
"3067","RAF1","hurdle",9.13511969498654e-07,5.016755,6.650073,1.633318,0.615
"2818","PLS1","hurdle",5.97398785188611e-07,5.902218,7.38327,1.481052,0.615
"2756","PHYHD1","hurdle",3.08341393860383e-10,2.544819,5.459731,2.914912,0.615
"2551","NUB1","hurdle",6.27317626708733e-05,5.308459,6.432359,1.1239,0.615
"2198","MCU","hurdle",1.31660850289979e-07,4.339273,6.191504,1.852231,0.615
"1218","ENY2","hurdle",0.00137083350551105,6.895565,7.426436,0.530870999999999,0.615
"1198","ELOVL1","hurdle",1.62400285587786e-06,6.65171,8.020279,1.368569,0.615
"861","CREB3","hurdle",5.77310613294296e-06,6.064713,7.148794,1.084081,0.615
"534","CADPS2","hurdle",1.84288552275873e-09,2.889144,5.455602,2.566458,0.615
"477","C20orf24","hurdle",0.000430301748994701,5.569959,6.48624,0.916281,0.615
"444","C12orf45","hurdle",2.35344473160029e-05,4.430976,5.784373,1.353397,0.615
"248","ARHGDIB","hurdle",2.66466717346162e-07,4.091502,5.817631,1.726129,0.615
"4148","TWF1","hurdle",0.000366345857053492,5.468147,6.276348,0.808201,0.614
"4017","TOMM22","hurdle",0.000329556671352384,6.51722,7.216607,0.699387,0.614
"3493","SLC22A18","hurdle",2.79005952549951e-08,4.635255,5.641335,1.00608,0.614
"2531","NR2F6","hurdle",2.43920722580898e-05,5.22106,6.356566,1.135506,0.614
"2200","MDM2","hurdle",0.000100633950577706,4.981247,6.019924,1.038677,0.614
"1895","ITGB4","hurdle",3.29637860893895e-09,3.448854,5.884444,2.43559,0.614
"1771","HSPA5","hurdle",0.000370982993325678,9.088702,9.88815,0.799448,0.614
"1616","GRHPR","hurdle",0.000393922486705751,6.363429,7.273746,0.910317,0.614
"1456","FUT4","hurdle",9.04101383401701e-10,2.772796,5.73344,2.960644,0.614
"1321","FAM177A1","hurdle",0.000505773269372548,6.58317,7.224988,0.641818,0.614
"1048","DNAJB1","hurdle",5.96128198950567e-05,6.464588,7.493714,1.029126,0.614
"976","DCTPP1","hurdle",9.66107772948674e-06,5.670683,6.847769,1.177086,0.614
"945","CYP4F11","hurdle",2.71175977704413e-13,1.358121,4.875092,3.516971,0.614
"739","CHMP4A","hurdle",2.83897903350903e-05,6.234935,7.187083,0.952148,0.614
"124","AK2","hurdle",0.000227339093392155,6.822886,7.453045,0.630159000000001,0.614
"4016","TOMM20","hurdle",0.000468270933847019,6.780404,7.517514,0.73711,0.613
"3908","TMED10","hurdle",0.000299940233369649,8.837662,9.398608,0.560946,0.613
"3308","RRAS2","hurdle",4.23240085915476e-06,4.044544,5.384934,1.34039,0.613
"3268","RPS10","hurdle",0.0185963226789032,8.100456,9.32316,1.222704,0.613
"3156","RHEB","hurdle",0.000222512586000026,6.694594,7.342557,0.647963,0.613
"3053","RAB4A","hurdle",0.00333849587840909,6.321807,7.088312,0.766505,0.613
"2957","PSMA3","hurdle",5.62355236355742e-05,7.153938,7.994898,0.84096,0.613
"2857","PON2","hurdle",0.000199081466907003,6.993124,7.86565,0.872526,0.613
"2692","PDCD5","hurdle",0.000549427128123327,6.41542,6.992829,0.577409,0.613
"2149","MAP2K2","hurdle",0.000117818652304878,5.455736,6.319617,0.863881,0.613
"1783","HYAL2","hurdle",6.57712741822094e-05,5.466685,6.64488,1.178195,0.613
"1477","GADD45B","hurdle",4.30795639641928e-05,5.227348,6.247486,1.020138,0.613
"1264","ETFA","hurdle",5.62827646828978e-09,6.50576,7.770859,1.265099,0.613
"1052","DNAJC10","hurdle",0.00116495110263444,6.759774,7.589553,0.829779,0.613
"816","COA6","hurdle",0.000177850151065373,5.332598,6.348782,1.016184,0.613
"722","CFL1","hurdle",0.000526609910765414,9.934666,10.453092,0.518426,0.613
"603","CCDC58","hurdle",4.57115841893782e-06,3.031785,4.843615,1.81183,0.613
"108","AGPAT3","hurdle",4.49451480912641e-05,4.843804,6.140505,1.296701,0.613
"33","ACADS","hurdle",1.95693827536807e-05,4.943431,6.562582,1.619151,0.613
"25","ABRACL","hurdle",0.000144705339750691,5.99311,7.019585,1.026475,0.613
"3","AAMDC","hurdle",0.000230274331028693,5.266627,6.324588,1.057961,0.613
"4196","UGCG","hurdle",1.01253420145711e-05,4.618208,6.021962,1.403754,0.612
"4086","TRIOBP","hurdle",7.20376294021825e-05,4.827952,5.97449,1.146538,0.612
"3529","SLC30A7","hurdle",2.35516641765468e-06,5.319452,6.678071,1.358619,0.612
"3346","SBF1","hurdle",1.41757743285261e-05,4.424334,5.870516,1.446182,0.612
"3207","RNF7","hurdle",0.000263906152814695,7.413753,8.013326,0.599572999999999,0.612
"3071","RALY","hurdle",7.73990651784335e-06,6.787781,7.667044,0.879263,0.612
"2983","PSME4","hurdle",8.06178247561227e-05,4.67959,5.949093,1.269503,0.612
"2346","MT1H","hurdle",4.8508778007531e-15,0.8422926,8.2108341,7.3685415,0.612
"2057","LLGL2","hurdle",5.64767044071861e-05,6.59333,7.556866,0.963536,0.612
"1950","KHDRBS3","hurdle",1.40708441396461e-07,3.335218,5.493388,2.15817,0.612
"1761","HSD17B4","hurdle",1.97579558669115e-05,6.076383,7.532594,1.456211,0.612
"1657","HABP2","hurdle",1.21644916159225e-08,4.208859,6.35671,2.147851,0.612
"1176","EIF3G","hurdle",0.000510400959156171,6.965612,7.579449,0.613837,0.612
"1149","EFNA1","hurdle",8.4866303086308e-07,5.272063,7.644162,2.372099,0.612
"1103","DUSP1","hurdle",0.00011394200102531,7.528939,8.711346,1.182407,0.612
"932","CYB561D2","hurdle",2.33470077055274e-05,5.635742,6.669345,1.033603,0.612
"866","CREG1","hurdle",0.000453717935224754,6.158573,7.429192,1.270619,0.612
