"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.gamma","log2fold_change","Auc"
"1389","FBLIM1","hurdle",0.0335365907309264,5.966193,6.533455,0.567262,0.567
"1016","DDX23","hurdle",0.0292298025500535,5.106143,5.796224,0.690080999999999,0.567
"991","DCAF5","hurdle",0.0187744617443102,5.394277,5.946097,0.55182,0.567
"598","CAMSAP3","hurdle",0.00134424627475496,4.059561,5.130888,1.071327,0.567
"467","C11orf1","hurdle",0.0185623933702676,5.191651,5.77398,0.582329,0.567
"415","BHMT2","hurdle",0.000439327642154384,3.302046,4.337153,1.035107,0.567
"168","ANKMY2","hurdle",0.00512143036550528,4.042351,5.122995,1.080644,0.567
"155","ANAPC13","hurdle",0.0825346257897975,6.996747,7.673666,0.676919,0.567
"4691","ZNFX1","hurdle",0.0276170193425888,5.698186,6.204158,0.505972,0.566
"4460","ZMAT1","hurdle",0.00256904737383912,3.785547,4.701488,0.915941,0.566
"4443","ZFP90","hurdle",0.00590288192290292,4.273284,5.348707,1.075423,0.566
"4376","YTHDC2","hurdle",0.0141399172967916,4.855763,5.412215,0.556452,0.566
"4258","USP45","hurdle",0.00321500678934011,3.07474,4.507492,1.432752,0.566
"4205","UBXN7","hurdle",0.0196270215207683,4.385507,5.142886,0.757379,0.566
"4179","UAP1L1","hurdle",0.00640421320812939,4.002177,5.43711,1.434933,0.566
"4010","TMPRSS6","hurdle",0.000173713814538269,3.536435,5.077871,1.541436,0.566
"3999","TMEM68","hurdle",0.0221249875081816,4.670605,5.754323,1.083718,0.566
"3900","TEAD1","hurdle",0.0240734559459333,5.575053,6.254025,0.678972000000001,0.566
"3887","TCERG1","hurdle",0.0187474369468909,5.633283,6.501392,0.868109,0.566
"3864","TBC1D30","hurdle",0.00324161543970912,4.009509,5.118927,1.109418,0.566
"3834","SYVN1","hurdle",0.0239469277642446,5.278212,6.232424,0.954212,0.566
"3743","SSH2","hurdle",0.0076031017010902,4.512887,5.485681,0.972793999999999,0.566
"3694","SPATS2","hurdle",0.0381974408407338,5.311463,6.071589,0.760126000000001,0.566
"3649","SNIP1","hurdle",0.00550707437286438,3.507975,4.590969,1.082994,0.566
"3472","SFMBT1","hurdle",0.00381031974204755,3.906331,4.813102,0.906771,0.566
"3317","RORA","hurdle",0.0149238560697211,4.978726,5.568231,0.589505,0.566
"3188","RB1","hurdle",0.0347554266479094,4.929854,5.593933,0.664079,0.566
"3103","PURB","hurdle",0.0187374334483296,4.443956,5.514606,1.07065,0.566
"3014","PPWD1","hurdle",0.00969870696273851,4.293507,5.357616,1.064109,0.566
"3011","PPP6C","hurdle",0.0567097953129052,6.068957,6.753412,0.684455,0.566
"2865","PIK3C2B","hurdle",0.000486724486545842,2.382062,4.036847,1.654785,0.566
"2809","PEX11B","hurdle",0.0356878652118075,5.506769,6.308469,0.801699999999999,0.566
"2464","NAA35","hurdle",0.00533156597098861,4.373806,4.98671,0.612904,0.566
"2330","MFSD4","hurdle",0.000278439630976528,2.928033,4.826247,1.898214,0.566
"2292","MDC1","hurdle",0.00164157004876798,3.749991,5.399061,1.64907,0.566
"2253","MARK1","hurdle",0.0101734797388604,4.472859,5.543485,1.070626,0.566
"2166","LRRC8B","hurdle",0.00459827000331355,4.40566,5.053436,0.647775999999999,0.566
"2062","KNDC1","hurdle",0.000117094599711349,2.397601,4.617003,2.219402,0.566
"2016","KIF1B","hurdle",0.0297537684965461,5.801998,6.468706,0.666708,0.566
"2004","KIAA1671","hurdle",0.00641792831089282,4.574511,5.245768,0.671257,0.566
"1977","KIAA0040","hurdle",0.0057009525081129,4.539268,5.228396,0.689128,0.566
"1957","KCTD6","hurdle",0.00573787365184201,4.111471,5.231505,1.120034,0.566
"1898","JAZF1","hurdle",0.0243012305150847,4.638986,5.298644,0.659658,0.566
"1807","IGF1R","hurdle",0.0515908741259603,5.429543,6.068284,0.638741,0.566
"1806","IFT80","hurdle",0.0108643503345855,4.277167,5.355124,1.077957,0.566
"1739","HIRIP3","hurdle",0.0071865572307003,4.367614,5.690162,1.322548,0.566
"1710","HDAC9","hurdle",0.00152976944341299,3.460791,4.363422,0.902631,0.566
"1527","GALNT12","hurdle",0.000966074902419116,3.164927,4.865835,1.700908,0.566
"1509","FXR2","hurdle",0.0159185199910486,4.14743,5.289275,1.141845,0.566
"1471","FNIP1","hurdle",0.027750418096111,5.995779,6.639914,0.644135,0.566
"1153","DTNB","hurdle",0.00604680263805026,4.043447,5.103681,1.060234,0.566
"1143","DSCAM","hurdle",9.3470435559437e-05,2.320797,4.187669,1.866872,0.566
"993","DCAF8","hurdle",0.089669732854334,5.943786,6.605104,0.661318,0.566
"894","CRBN","hurdle",0.0492796817125497,5.708006,6.390593,0.682587,0.566
"440","BRIP1","hurdle",4.07415925203784e-06,1.742055,4.563797,2.821742,0.566
"99","AGFG2","hurdle",0.00608256209028533,4.089797,5.280076,1.190279,0.566
"4701","ZSCAN18","hurdle",0.0143708850694838,5.419749,5.999797,0.580048,0.565
"4616","ZNF606","hurdle",0.00367259054547457,3.564107,4.412767,0.84866,0.565
"4184","UBE2O","hurdle",0.00190348673370345,4.089577,5.393656,1.304079,0.565
"3997","TMEM64","hurdle",0.0103930865911358,4.706316,5.277589,0.571273,0.565
"3903","TEF","hurdle",0.00487794082118445,3.954241,5.666841,1.7126,0.565
"3892","TCTN1","hurdle",0.0410716773092253,5.850849,6.594723,0.743874,0.565
"3888","TCF20","hurdle",0.0123383428687744,3.864399,4.87288,1.008481,0.565
"3875","TBL1XR1","hurdle",0.0590970955818737,6.164763,6.819064,0.654301,0.565
"3789","STXBP5L","hurdle",0.0004391718785368,4.222144,4.723754,0.501609999999999,0.565
"3647","SNHG7","hurdle",0.102320566177309,6.525311,7.102575,0.577264,0.565
"3538","SLC25A22","hurdle",0.0195073433728449,4.913644,5.53959,0.625946,0.565
"3488","SH3GLB2","hurdle",0.0331611191238848,4.663842,5.442745,0.778903000000001,0.565
"3422","SEC16A","hurdle",0.0385889048758014,5.653956,6.318567,0.664611,0.565
"3391","SCARB1","hurdle",0.00744657258437737,4.846812,5.987088,1.140276,0.565
"3361","RUNDC3B","hurdle",1.23890599509989e-05,1.452378,3.783808,2.33143,0.565
"3354","RTN2","hurdle",0.00404938122385943,3.201375,4.173004,0.971629,0.565
"3111","PXN","hurdle",0.019490937134493,5.613416,6.392697,0.779281,0.565
"2905","PLD3","hurdle",0.00357004787388049,8.684733,9.523427,0.838694,0.565
"2727","PCDH9","hurdle",0.000318788626438082,3.84883,5.614617,1.765787,0.565
"2639","NXF1","hurdle",0.0366522895136065,5.741923,6.396548,0.654625,0.565
"2630","NUMBL","hurdle",0.00151241347245791,3.155654,4.286529,1.130875,0.565
"2197","MAGEE1","hurdle",2.65561583942799e-05,1.521619,3.959827,2.438208,0.565
"2173","LSAMP","hurdle",0.00672835874301987,4.849374,5.51839,0.669016,0.565
"2096","LECT1","hurdle",1.08744288309381e-08,0.6782904,6.4084524,5.730162,0.565
"2092","LDLRAD4","hurdle",0.0015285141656116,3.288109,4.771625,1.483516,0.565
"1975","KHNYN","hurdle",0.0234154637834877,4.467923,5.376256,0.908333,0.565
"1956","KCTD2","hurdle",0.00122870226060774,2.974413,4.64472,1.670307,0.565
"1354","FAM217B","hurdle",0.00442537830878902,3.869802,4.99132,1.121518,0.565
"1348","FAM208B","hurdle",0.0153715240889735,4.813833,5.318606,0.504773,0.565
"1302","FAM120B","hurdle",0.029653514281316,5.318876,6.115378,0.796501999999999,0.565
"1058","DIABLO","hurdle",0.00770905530041528,5.819727,6.409052,0.589325,0.565
"1055","DHX40","hurdle",0.0114443834139852,5.058881,5.600218,0.541337,0.565
"1031","DENND5B","hurdle",0.00764629946519863,4.204415,5.459654,1.255239,0.565
"910","CRNKL1","hurdle",0.012263845665348,4.728749,5.520264,0.791515,0.565
"782","CHD7","hurdle",0.0147092711816332,5.681342,6.271627,0.590285,0.565
"701","CDC27","hurdle",0.0778637997382505,5.648804,6.425126,0.776322,0.565
"655","CCDC28A","hurdle",0.0381384002298569,5.345831,6.089532,0.743701,0.565
"474","C12orf65","hurdle",0.0180648549074562,5.174704,5.731837,0.557132999999999,0.565
"448","BTAF1","hurdle",0.0325056411269267,4.840396,5.823064,0.982667999999999,0.565
"235","ARG2","hurdle",0.037983874420171,5.516776,6.137294,0.620518,0.565
"4564","ZNF468","hurdle",0.00863006320647703,3.89611,5.434251,1.538141,0.564
"4509","ZNF280C","hurdle",1.60298219159016e-05,1.60817,4.000604,2.392434,0.564
"4438","ZFP36","hurdle",0.0589287915619363,6.357067,7.266003,0.908936000000001,0.564
"4374","YRDC","hurdle",0.0128194604711124,4.444878,5.354492,0.909613999999999,0.564
"4359","XPO4","hurdle",0.00658240666247068,3.42839,4.339695,0.911305,0.564
"4170","TXLNA","hurdle",0.0685292202453165,6.07485,6.975815,0.900965,0.564
"4110","TRPS1","hurdle",0.00694567850741978,3.873826,5.038335,1.164509,0.564
"3910","TESK1","hurdle",0.0192687278312325,4.67845,5.571427,0.892977,0.564
"3868","TBC1D9","hurdle",0.0257091302748634,5.091085,5.745706,0.654621000000001,0.564
"3746","SSTR3","hurdle",0.00485949278095711,4.072673,5.392255,1.319582,0.564
"3730","SRRT","hurdle",0.0306960360923988,5.415107,6.076283,0.661176,0.564
"3723","SRBD1","hurdle",0.00764798910433961,4.82452,5.495721,0.671201,0.564
"3678","SOX5","hurdle",0.0015051843865145,2.92667,4.133784,1.207114,0.564
"3667","SOGA1","hurdle",0.00297310518884869,3.079523,3.872124,0.792601,0.564
"3580","SLC4A8","hurdle",0.00101722907983854,4.350252,4.973058,0.622806,0.564
"3440","SENP5","hurdle",0.0472614876517626,5.471743,6.287099,0.815356,0.564
"3435","SEMA4D","hurdle",0.001360501255687,3.552332,4.588486,1.036154,0.564
"3389","SCAP","hurdle",0.0286086134725811,5.231031,5.756956,0.525925,0.564
"3231","REPS1","hurdle",0.0204492108763957,4.551829,5.475172,0.923343,0.564
"3213","RBM4B","hurdle",0.0135825344680177,4.342365,5.172071,0.829706,0.564
"3137","RAB3A","hurdle",0.00965759383643353,4.046039,5.184637,1.138598,0.564
"3045","PRPF18","hurdle",0.0217174282400576,4.640516,5.39083,0.750314,0.564
"2870","PIK3R3","hurdle",0.00225645996078208,3.586373,4.755253,1.16888,0.564
"2610","NSF","hurdle",0.0690217570513699,5.927527,6.506893,0.579365999999999,0.564
"2363","MLLT6","hurdle",0.0208054984887447,4.814134,5.521227,0.707093,0.564
"2279","MBTPS1","hurdle",0.065369817838779,6.151321,6.825258,0.673937,0.564
"1983","KIAA0355","hurdle",0.00017225528235587,4.252571,5.599121,1.34655,0.564
"1960","KDM1A","hurdle",0.0483474858938564,4.90198,5.84284,0.94086,0.564
"1953","KCTD13","hurdle",0.0147355275850939,4.825154,5.692765,0.867610999999999,0.564
"1462","FMNL2","hurdle",0.00265657637789354,3.557132,4.542367,0.985234999999999,0.564
"1406","FBXO27","hurdle",0.00249954411509116,3.027785,4.568914,1.541129,0.564
"1388","FAXC","hurdle",0.000283352455472733,2.930456,4.240409,1.309953,0.564
"1277","EXD2","hurdle",0.0231365932761656,4.648537,5.535122,0.886585,0.564
"1224","ELOVL7","hurdle",0.000800547631273939,3.092982,4.240234,1.147252,0.564
"1026","DENND1A","hurdle",0.00609090919627907,3.491398,4.847822,1.356424,0.564
"950","CUL3","hurdle",0.0461226856192759,5.46016,6.197496,0.737336,0.564
"814","CLCN6","hurdle",0.0251398172585526,4.255558,5.324133,1.068575,0.564
"658","CCDC64","hurdle",0.00132813956667043,2.844465,4.674828,1.830363,0.564
"557","C9orf64","hurdle",0.00762897471673642,4.216848,4.854376,0.637528000000001,0.564
"314","ATG4B","hurdle",0.0931945568468293,5.732218,6.242875,0.510657,0.564
"160","ANGPTL3","hurdle",1.10523223378391e-07,0.6248462,3.9489698,3.3241236,0.564
"4461","ZMAT3","hurdle",0.045001063452424,5.354173,5.981926,0.627752999999999,0.563
"4198","UBR1","hurdle",0.0246971015738103,4.992325,5.507533,0.515207999999999,0.563
"4050","TPCN1","hurdle",0.0260808357299539,5.067439,5.765605,0.698166,0.563
"3962","TMEM131","hurdle",0.0377341430496257,5.58119,6.092583,0.511393,0.563
"3855","TARBP1","hurdle",0.00966946314981677,3.770846,4.97467,1.203824,0.563
"3854","TAPT1","hurdle",0.0177359002483763,4.815148,5.33712,0.521972,0.563
"3484","SH2D3C","hurdle",6.21381936323776e-05,2.630289,4.561231,1.930942,0.563
"3357","RUFY2","hurdle",0.00400448885591841,4.169432,5.202203,1.032771,0.563
"3307","RNF41","hurdle",0.0266806395412939,5.369662,6.042793,0.673131,0.563
"3300","RNF216","hurdle",0.0498174603581676,5.466902,6.169776,0.702874,0.563
"3202","RBM22","hurdle",0.0257121368876701,5.295925,5.85322,0.557295,0.563
"3180","RASAL2","hurdle",0.0168782282610636,4.187695,5.276888,1.089193,0.563
"3146","RAB6B","hurdle",0.000610700711037443,3.635523,4.878888,1.243365,0.563
"3044","PROS1","hurdle",0.00851859088630426,4.210675,5.0411,0.830425,0.563
"2687","PAFAH2","hurdle",0.00725471069997403,4.710785,5.418382,0.707597000000001,0.563
"2625","NUDT16L1","hurdle",0.0356191127999659,5.773138,6.365933,0.592795,0.563
"2595","NR2C2","hurdle",0.0127242997740807,4.223446,5.340187,1.116741,0.563
"2560","NLGN1","hurdle",0.000109801924794748,2.739386,3.891828,1.152442,0.563
"2549","NIPA1","hurdle",0.00815563610245314,4.447942,5.743289,1.295347,0.563
"2548","NICN1","hurdle",0.000423762701089367,3.52519,5.086993,1.561803,0.563
"2539","NFS1","hurdle",0.0217182985857346,4.495111,5.662012,1.166901,0.563
"2520","NEK1","hurdle",0.0454117789915978,5.13295,5.8699,0.73695,0.563
"2307","MED29","hurdle",0.0340750240640372,5.636008,6.378768,0.74276,0.563
"2302","MED13L","hurdle",0.0291214256815491,4.808471,5.440859,0.632388,0.563
"2156","LRRC37B","hurdle",0.00108183642344627,2.369262,3.532773,1.163511,0.563
"2030","KLC2","hurdle",0.0456580711035812,5.204438,5.974188,0.76975,0.563
"1959","KCTD9","hurdle",0.0109163360896655,3.347465,4.092675,0.74521,0.563
"1676","GSTM2","hurdle",0.00520252315083326,2.939944,4.275327,1.335383,0.563
"1386","FASTKD1","hurdle",0.0194304598632071,4.213532,5.159984,0.946452,0.563
"1322","FAM160B2","hurdle",0.0340969108479386,4.709268,5.813283,1.104015,0.563
"1312","FAM13B","hurdle",0.0225524933502787,4.479508,5.173961,0.694453,0.563
"1120","DNM3","hurdle",0.000167809120523708,2.858643,4.030938,1.172295,0.563
"229","ARAP1","hurdle",0.0455561516811381,5.321472,6.117513,0.796041,0.563
"198","ANP32A","hurdle",0.0759880191801843,5.665318,6.244645,0.579327,0.563
"129","AKT1","hurdle",0.0544486883067544,5.045921,5.774569,0.728648,0.563
"4651","ZNF700","hurdle",0.000777943943756879,3.244136,5.165914,1.921778,0.562
"4543","ZNF410","hurdle",0.0220195296701628,4.788877,5.468041,0.679164,0.562
"4450","ZFYVE9","hurdle",0.00831352412356053,3.946738,4.736186,0.789448,0.562
"4394","ZBTB41","hurdle",0.0357495464805153,4.997983,5.553187,0.555204000000001,0.562
"4269","UTP14C","hurdle",0.0143392377923933,4.499348,5.463517,0.964169,0.562
"4242","USP15","hurdle",0.0217830018806847,5.296986,6.076489,0.779502999999999,0.562
"4164","TUBGCP6","hurdle",0.00528189163052472,4.175955,5.311448,1.135493,0.562
"4096","TRIP12","hurdle",0.063071114250268,5.942057,6.448178,0.506121,0.562
"4063","TRAF3IP2","hurdle",0.0393876978053768,5.13499,5.768719,0.633729,0.562
"3808","SWT1","hurdle",0.00180265587523045,2.59568,3.65589,1.06021,0.562
"3305","RNF38","hurdle",0.0210125760550737,4.378614,5.023596,0.644982000000001,0.562
"3249","RGL2","hurdle",0.0373148855108159,4.969478,6.196755,1.227277,0.562
"3245","RFX7","hurdle",0.00479227757682944,3.438017,4.829907,1.39189,0.562
"3216","RC3H1","hurdle",0.0156088799537468,4.631173,5.523899,0.892726,0.562
"3173","RAPGEF1","hurdle",0.018122493339966,4.516586,5.07183,0.555244,0.562
"3020","PREB","hurdle",0.0410916431898532,5.820878,6.477765,0.656886999999999,0.562
"3012","PPP6R1","hurdle",0.0522181136791728,5.377946,5.911761,0.533815000000001,0.562
"3000","PPP1R3E","hurdle",0.016887529997642,4.351801,5.241361,0.88956,0.562
"2847","PHLPP2","hurdle",0.00189823876396856,3.160547,4.897389,1.736842,0.562
"2788","PDP2","hurdle",0.00552467007838368,3.783877,4.940136,1.156259,0.562
"2755","PCGF3","hurdle",0.0492546494643463,5.244171,6.049882,0.805711000000001,0.562
"2701","PAPSS1","hurdle",0.0626239762242354,6.072391,7.056254,0.983863,0.562
"2684","PACS2","hurdle",0.0318949078139863,4.942562,5.727449,0.784887,0.562
"2470","NAIP","hurdle",5.06412704703065e-05,1.786617,3.775039,1.988422,0.562
"2415","MTG1","hurdle",0.0227390598413884,5.148103,6.169526,1.021423,0.562
"2385","MPHOSPH6","hurdle",0.00560327824487512,4.749974,5.919643,1.169669,0.562
"2230","MAPK1","hurdle",0.0473187036046119,6.242695,6.770567,0.527871999999999,0.562
"2162","LRRC57","hurdle",0.0115643113549238,3.965297,4.922551,0.957254,0.562
"2008","KIAA2013","hurdle",0.0176220746007582,4.966455,5.720797,0.754342,0.562
"1971","KDM6A","hurdle",0.0096320352192673,3.864941,4.60936,0.744419,0.562
"1912","KAT2B","hurdle",0.0220328852744794,4.00994,5.060717,1.050777,0.562
"1861","IPO8","hurdle",0.022559218778647,4.51795,5.131354,0.613404,0.562
"1851","INTS2","hurdle",0.00161949959346567,2.603573,4.090099,1.486526,0.562
"1786","HYDIN","hurdle",0.00206738859663598,2.806291,4.024571,1.21828,0.562
"1654","GRASP","hurdle",0.00286009335403719,3.009645,4.538767,1.529122,0.562
"1465","FNBP1","hurdle",0.00868593420650905,4.486223,5.115738,0.629515,0.562
"1397","FBXL18","hurdle",0.00546253753239326,3.339351,4.765964,1.426613,0.562
"1122","DNMT3A","hurdle",0.0180580040335764,4.550203,5.590172,1.039969,0.562
"895","CRCP","hurdle",0.0240892764016468,4.633096,5.15143,0.518334,0.562
"530","C2orf69","hurdle",0.0319197739840123,5.011958,5.692071,0.680113,0.562
"392","BCDIN3D","hurdle",0.00134681021452059,3.206558,4.745925,1.539367,0.562
"48","ACOT7","hurdle",0.00137505897785788,4.190896,5.790765,1.599869,0.562
"4688","ZNF860","hurdle",1.87389781597031e-05,1.153725,3.09079,1.937065,0.561
"4323","WDR5","hurdle",0.0348428586264612,4.461666,5.247848,0.786182,0.561
"4305","VWA8","hurdle",0.0119645678251668,3.778683,4.848064,1.069381,0.561
"4243","USP19","hurdle",0.0184972948205481,4.506506,5.518366,1.01186,0.561
"4085","TRIM37","hurdle",0.023874120253809,4.948165,5.632707,0.684542,0.561
"3993","TMEM55A","hurdle",0.0474494561930037,5.187568,5.898048,0.71048,0.561
"3983","TMEM238","hurdle",0.000145885121426522,1.189093,3.268782,2.079689,0.561
"3950","TLK2","hurdle",0.0251789333391258,4.23048,4.756215,0.525735,0.561
"3798","SUOX","hurdle",0.0183589860375144,4.932037,5.688866,0.756829,0.561
"3716","SPRY2","hurdle",0.00179032776897661,3.244332,4.69508,1.450748,0.561
"3554","SLC2A4RG","hurdle",0.0127637032516346,3.442219,4.345855,0.903636,0.561
"3386","SCAI","hurdle",0.00544602092982241,2.993337,4.437442,1.444105,0.561
"3343","RSAD1","hurdle",0.0130706633847945,5.200173,5.869947,0.669773999999999,0.561
"3197","RBM12B","hurdle",0.0127486496241194,3.817746,5.156406,1.33866,0.561
"3124","RAB11FIP2","hurdle",0.0455988205028592,4.841927,5.703228,0.861301,0.561
"3057","PRR14L","hurdle",0.0353621271118247,5.293413,6.172656,0.879243,0.561
"2973","PPFIA1","hurdle",0.0617257142263627,5.354795,6.043193,0.688397999999999,0.561
"2828","PHC1","hurdle",0.00424016802779042,2.818411,4.09857,1.280159,0.561
"2715","PATZ1","hurdle",0.00210618821137407,4.046388,5.233162,1.186774,0.561
"2348","MINK1","hurdle",0.00207694152815733,4.359931,5.604543,1.244612,0.561
"2133","LPCAT4","hurdle",0.0190526432944028,3.572192,4.78692,1.214728,0.561
"1623","GPATCH8","hurdle",0.0785782205011889,5.73387,6.39185,0.65798,0.561
"1512","FYCO1","hurdle",0.0165111745666865,4.363863,5.423271,1.059408,0.561
"1479","FOXJ2","hurdle",0.0132904606759356,4.219923,4.923435,0.703512,0.561
"1478","FOXJ1","hurdle",0.00023342251737362,3.154592,4.425493,1.270901,0.561
"1270","ETNK2","hurdle",0.0163576906802427,4.286165,5.400189,1.114024,0.561
"1142","DROSHA","hurdle",0.02229539958116,4.139504,5.147792,1.008288,0.561
"1119","DNM1L","hurdle",0.0613158679651424,5.9863,6.592473,0.606173,0.561
"1071","DLEU1","hurdle",0.0207288793039442,4.497568,5.351302,0.853733999999999,0.561
"1019","DDX50","hurdle",0.0724083156258042,4.977249,5.582976,0.605727000000001,0.561
"958","CXorf23","hurdle",0.00801744109787956,3.452327,4.501744,1.049417,0.561
"888","CPSF1","hurdle",0.0156979235354258,4.483544,5.395276,0.911732,0.561
"862","COG3","hurdle",0.0261552905867018,4.680074,5.263215,0.583140999999999,0.561
"813","CLCN5","hurdle",0.0139389435876323,4.255917,5.286331,1.030414,0.561
"612","CARKD","hurdle",0.0215397420061148,5.568551,6.523922,0.955371,0.561
"600","CAND2","hurdle",0.000217537040613009,2.519582,4.262091,1.742509,0.561
"556","C9orf114","hurdle",0.0268840335166782,4.119849,5.257907,1.138058,0.561
"510","C1orf210","hurdle",0.0432661956115994,5.216383,6.057016,0.840633,0.561
"426","BMP8B","hurdle",0.000174112741723988,1.926605,3.018284,1.091679,0.561
"413","BHLHB9","hurdle",0.00318528727165138,2.961919,4.27977,1.317851,0.561
"382","BBS1","hurdle",0.0117058799474455,4.45879,5.546871,1.088081,0.561
"261","ARIH1","hurdle",0.0610448785623451,5.090415,5.999303,0.908888,0.561
"213","APBB3","hurdle",0.000790972507061342,4.03042,5.334078,1.303658,0.561
"95","AGAP6","hurdle",0.0007689528074808,1.509227,3.223215,1.713988,0.561
"4360","XPO5","hurdle",0.0175340648621542,4.085279,5.400009,1.31473,0.56
"4333","WDTC1","hurdle",0.0270499973654714,4.269128,5.525269,1.256141,0.56
"4320","WDR35","hurdle",0.00443574936452498,3.473366,5.034857,1.561491,0.56
"4222","UNC45A","hurdle",0.0903778021547356,5.660491,6.208982,0.548490999999999,0.56
"4218","ULK2","hurdle",0.014615050711114,3.814668,4.758222,0.943554,0.56
"4114","TSC2","hurdle",0.0771488647338396,5.110964,6.060006,0.949041999999999,0.56
"4056","TPPP","hurdle",0.000478274120720405,2.351582,3.950273,1.598691,0.56
"3966","TMEM145","hurdle",0.00100941723447462,2.036477,3.517192,1.480715,0.56
"3901","TECPR1","hurdle",0.035798557214599,4.357072,5.394658,1.037586,0.56
"3826","SYT14","hurdle",0.00698305530265167,4.292173,4.863053,0.57088,0.56
"3699","SPEG","hurdle",0.00368491452658456,3.158648,4.659995,1.501347,0.56
"3575","SLC46A3","hurdle",0.0245522256014711,5.079486,5.892966,0.81348,0.56
"3380","SAP30L","hurdle",0.018179660217121,3.657421,4.666728,1.009307,0.56
"3294","RNF180","hurdle",0.0113811178096003,4.263692,5.345884,1.082192,0.56
"3013","PPP6R2","hurdle",0.0609324317657965,5.352771,6.140058,0.787287,0.56
"2626","NUDT19","hurdle",0.0339620240317869,4.767469,5.657635,0.890166,0.56
"2188","LZTR1","hurdle",0.0256530393649838,4.358652,5.316992,0.95834,0.56
"2146","LRP3","hurdle",0.00649586076628163,4.216975,4.861129,0.644154,0.56
"2110","LIG4","hurdle",0.0206653414805899,4.132217,5.098227,0.96601,0.56
"1881","ITFG1","hurdle",0.0273088787180284,7.189114,7.707573,0.518459,0.56
"1631","GPR107","hurdle",0.045813924666291,4.973509,5.644147,0.670638,0.56
"1617","GOLGA8B","hurdle",0.0404401941412722,4.207036,4.823754,0.616718,0.56
"1481","FOXK1","hurdle",0.0129721211541268,4.226726,4.81469,0.587963999999999,0.56
"1207","EID2","hurdle",0.0206286339033563,4.200617,4.796638,0.596020999999999,0.56
"1171","DZANK1","hurdle",3.13148146366819e-05,1.350438,3.977329,2.626891,0.56
"1086","DMXL1","hurdle",0.02334383406338,4.912803,5.954786,1.041983,0.56
"1068","DKC1","hurdle",0.0575593401088175,5.692338,6.683667,0.991328999999999,0.56
"1056","DHX57","hurdle",0.00892866891085664,3.660144,4.795554,1.13541,0.56
"1041","DGCR2","hurdle",0.0319919850385029,5.719114,6.771066,1.051952,0.56
"938","CTCF","hurdle",0.0270175647734935,5.192173,6.080586,0.888413,0.56
"881","CPEB3","hurdle",0.00764127955537684,3.419066,4.083133,0.664067,0.56
"531","C2orf72","hurdle",0.000135254010793698,2.828835,4.907998,2.079163,0.56
"523","C21orf91","hurdle",0.00361522130087459,3.802862,4.610429,0.807567,0.56
"520","C20orf27","hurdle",0.00980569970445502,5.367286,6.459172,1.091886,0.56
"360","B3GALT4","hurdle",0.000812527129609499,4.303324,4.909438,0.606114,0.56
"163","ANKEF1","hurdle",0.0112462930857162,3.493262,4.372802,0.87954,0.56
"119","AKAP10","hurdle",0.0277179634870765,4.15572,5.007034,0.851314,0.56
"4678","ZNF814","hurdle",0.0228747402906279,3.866881,5.072103,1.205222,0.559
"4661","ZNF761","hurdle",0.0147598243891961,3.802328,5.026159,1.223831,0.559
"4535","ZNF365","hurdle",0.000180239205981349,2.054751,3.828921,1.77417,0.559
"4336","WHSC1L1","hurdle",0.119572545470659,6.27669,6.780709,0.504019,0.559
"4152","TTLL6","hurdle",7.68695089936607e-05,1.610657,4.317867,2.70721,0.559
"4099","TRMT1L","hurdle",0.0487484363453533,4.83925,5.435023,0.595773,0.559
"4047","TP53INP1","hurdle",0.0328090989657809,5.305685,6.234024,0.928338999999999,0.559
"3891","TCTA","hurdle",0.136545961076837,6.373483,6.874832,0.501348999999999,0.559
"3819","SYNJ1","hurdle",0.00477801355825923,3.115512,4.896761,1.781249,0.559
"3787","STXBP4","hurdle",0.00825283563124243,3.215462,4.786414,1.570952,0.559
"3355","RTN4RL1","hurdle",7.08877283937144e-06,1.534657,2.993391,1.458734,0.559
"3329","RPRD1B","hurdle",0.0244243571142277,4.068797,4.848251,0.779454,0.559
"3194","RBM10","hurdle",0.0418134626916697,5.254007,5.838405,0.584398,0.559
"3193","RBL2","hurdle",0.0670786532816479,5.31568,6.195373,0.879693,0.559
"3094","PTPN23","hurdle",0.0243400801633168,4.464126,5.36445,0.900323999999999,0.559
"3054","PRPSAP2","hurdle",0.064057059040663,4.940117,5.63466,0.694543,0.559
"2990","PPP1R12B","hurdle",0.0219566753651286,3.928902,4.915603,0.986701,0.559
"2504","NCSTN","hurdle",0.017665093273426,6.874363,7.38536,0.510997000000001,0.559
"2476","NAP1L5","hurdle",0.00767523859462928,4.619688,5.706544,1.086856,0.559
"2410","MSL2","hurdle",0.0198095369959683,4.026989,4.560197,0.533207999999999,0.559
"2231","MAPK10","hurdle",0.0307197523870266,4.867492,5.602563,0.735071,0.559
"2226","MAP4K3","hurdle",0.0345275075942168,4.322791,5.540997,1.218206,0.559
"2189","MAATS1","hurdle",0.000160312484949969,2.67657,4.546865,1.870295,0.559
"2140","LRFN3","hurdle",0.00880089150289007,3.269906,4.587577,1.317671,0.559
"1886","ITGB8","hurdle",0.018545135952301,4.926127,5.64691,0.720783,0.559
"1820","IL13RA2","hurdle",4.45323782367463e-07,0.7617774,4.262651,3.5008736,0.559
"1818","IKZF5","hurdle",0.0252109488455846,3.903895,4.840019,0.936124,0.559
